,Division Placement,Points For,Points for Per Game,Points For Ranking,Points Against,Points Against Per Game,Points Against Ranking,Expected Wins,Expected Losses,Team Rating SRS,SRS rank,Strength of Schedule
1960,4,309,22.1,6,393,28.1,7,5.1,8.9,-5.25,18,.75
1961,3,251,17.9,7,432,30.9,7,3.0,11.0,-11.31,19,1.62
1962,2,353,25.2,3,334,23.9,5,7.5,6.5,1.19,10,-0.17
1963,4,301,21.5,7,473,33.8,8,3.6,10.4,-10.75,21,1.54
1964,4,240,17.1,8,438,31.3,8,2.7,11.3,-12.38,21,1.77
1965,4,303,21.6,4,392,28.0,7,4.9,9.1,-5.56,16,.80
1966,4,196,14.0,9,381,27.2,8,2.4,11.6,-12.05,22,1.16
1967,4,256,18.3,7,409,29.2,9,3.5,10.5,-8.38,22,2.55
1968,4,255,18.2,7,404,28.9,9,3.5,10.5,-8.92,21,1.73
1969,4,297,21.2,4,344,24.6,8,5.8,8.2,-2.00,15,1.36
1970,4,253,18.1,18,264,18.9,12,6.6,7.4,-2.60,19,-1.81
1971,4,203,14.5,24,275,19.6,11,4.6,9.4,-4.52,21,.62
1972,3,325,23.2,9,350,25.0,21,6.4,7.6,-1.85,17,-0.07
1973,3,354,25.3,3,296,21.1,15,8.5,5.5,2.92,10,-1.23
1974,2,302,21.6,7,294,21.0,22,7.2,6.8,.64,13,.07
1975,2,254,18.1,17,307,21.9,18,5.5,8.5,-3.45,14,.34
1976,2,315,22.5,7,206,14.7,6,10.3,3.7,6.95,8,-0.84
1977,1,274,19.6,10,148,10.6,3,11.4,2.6,11.33,1,2.33
1978,1,282,17.6,15,198,12.4,2,11.2,4.8,5.03,4,-0.22
1979,2,289,18.1,20,262,16.4,5,8.9,7.1,4.11,6,2.42
1980,4,310,19.4,16,323,20.2,16,7.6,8.4,.47,14,1.29
1981,2,321,20.1,17,289,18.1,9,9.0,7.0,1.33,14,-0.67
1982,5,148,16.4,20,226,25.1,25,2.4,6.6,-9.74,27,-1.08
1983,3,302,18.9,21,327,20.4,9,7.2,8.8,-2.81,21,-1.25
1984,1,353,22.1,11,241,15.1,2,11.4,4.6,7.65,4,.65
1985,2,380,23.8,8,329,20.6,13,9.4,6.6,3.63,9,.44
1986,1,378,23.6,6,327,20.4,15,9.4,6.6,5.16,8,1.97
1987,1,379,25.3,4,288,19.2,7,9.9,5.1,4.14,5,-1.93
1988,2,327,20.4,15,352,22.0,20,7.3,8.7,-3.33,20,-1.77
1989,1,362,22.6,8,226,14.1,1,12.1,3.9,9.34,2,.84
1990,5,331,20.7,16,374,23.4,23,6.9,9.1,-0.80,15,1.89
1991,1,304,19.0,12,235,14.7,3,10.4,5.6,3.37,10,-0.94
1992,3,262,16.4,22,329,20.6,19,5.9,10.1,-3.35,20,.83
1993,3,373,23.3,3,284,17.8,10,10.5,5.5,5.04,4,-0.53
1994,4,347,21.7,10,396,24.8,25,6.8,9.2,-3.35,20,-0.29
1995,4,388,24.3,9,345,21.6,17,9.1,6.9,3.09,8,.40
1996,1,391,24.4,4,275,17.2,7,11.2,4.8,7.58,3,.33
1997,2,472,29.5,1,287,17.9,6,12.2,3.8,10.71,1,-0.86
1998,1,501,31.3,2,309,19.3,8,12.1,3.9,8.87,5,-3.13
1999,5,314,19.6,18,318,19.9,11,7.9,8.1,3.39,9,3.64
2000,2,485,30.3,2,369,23.1,23,10.5,5.5,5.05,7,-2.21
2001,3,340,21.3,10,339,21.2,21,8.0,8.0,-0.47,15,-0.53
2002,2,392,24.5,7,344,21.5,15,9.2,6.8,4.89,7,1.89
2003,2,381,23.8,10,301,18.8,9,10.2,5.8,5.47,8,.47
2004,2,381,23.8,9,304,19.0,9,10.1,5.9,5.86,8,1.05
2005,1,395,24.7,7,258,16.1,3,11.7,4.3,10.79,2,2.23
2006,3,319,19.9,17,305,19.1,8,8.4,7.6,1.32,14,.45
2007,2,320,20.0,21,409,25.6,28,5.7,10.3,-3.95,23,1.62
2008,2,370,23.1,16,448,28.0,30,6.2,9.8,-5.79,26,-0.91
2009,2,326,20.4,20,324,20.3,12,8.1,7.9,.32,17,.20
2010,4,344,21.5,19,471,29.4,32,5.2,10.8,-8.91,29,-0.97
2011,1,309,19.3,25,390,24.4,24,5.8,10.2,-5.30,25,-0.23
2012,1,481,30.1,2,289,18.1,4,12.3,3.7,10.10,4,-1.90
2013,1,606,37.9,1,399,24.9,22,11.7,4.3,11.37,2,-1.57
2014,1,482,30.1,2,354,22.1,16,10.8,5.2,9.58,2,1.58
2015,1,355,22.2,19,296,18.5,4,9.7,6.3,5.78,9,2.09
2016,3,333,20.8,22,297,18.6,4,9.1,6.9,4.05,6,1.80
2017,4,289,18.1,27,382,23.9,22,5.4,10.6,-6.73,29,-0.91
2018,3,329,20.6,24,349,21.8,13,7.4,8.6,-0.51,19,.74
2019,2,282,17.6,28,316,19.8,10,6.9,9.1,-2.12,22,.00
2020,4,323,20.2,28,446,27.9,25,5.1,10.9,-6.01,28,1.68
2021,1,50,25.0,13,26,13.0,5,1.6,0.4,-3.20,19,-15.20
