Player,09/12vs. OAK,09/18vs. CIN,09/25vs. TEN,10/02vs. GNB,10/09vs. SDG,10/23vs. MIA,10/30vs. DET,11/06vs. OAK,11/13vs. KAN,11/17vs. NYJ,11/27vs. SDG,12/04vs. MIN,12/11vs. CHI,12/18vs. NWE,12/24vs. BUF,01/01vs. KAN,01/08vs. PIT,01/14vs. NWE
Champ Bailey,,O,O,O,P,,,,,,,,,,,,,
David Bruton,P,,,,,,,,,,P,P,P,O,P,P,P,P
Brodrick Bunkley,P,,,,,,,,,,,,,,P,,,
Quinton Carter,P,,,,,,,P,,,,,P,,,P,,
Ryan Clady,,,,,,,,,,P,,P,P,,,,,
Chris Clark,,,,,,,,,,P,,,,,,,,
Brian Dawkins,,,,,Q,P,P,,P,P,P,,,O,,D,O,D
Eric Decker,,,,,,,,,,,,,,,,,,O
Elvis Dumervil,,O,O,P,,,D,,,,,,,,,,,P
Daniel Fells,,,,,P,,,,,,P,P,,,P,,,P
Orlando Franklin,,,,,,,,P,,,,,,,,,,
Virgil Green,,,,,,,,O,P,,,,,,,,,
Jamel Hamler,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Harris Jr.,,,,,,,,,,,,,,,,P,,
Jeremiah Johnson,,,,,,,,,,,,,P,,,,,
Chris Kuper,P,,,,,,,,,,,,,,,,IR,IR
Spencer Larsen,,,,,,,,,P,,,,,P,,,D,IR
Brandon Lloyd,,O,P,,,,,,,,,,,,,,,
Willis McGahee,,,,,,P,O,P,P,P,P,P,P,,P,,,
Von Miller,,,,,,,,,,,,D,P,P,P,P,P,P
Brandon Minor,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Rahim Moore,,,,,P,,,,P,,,,,,,,,
Knowshon Moreno,,O,P,P,P,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Lonie Paxton,,,,,,,,,,,,,,,,,,O
Eddie Royal,,,O,O,O,P,,,,,,Q,Q,P,,,P,
Demaryius Thomas,O,O,O,O,O,P,,,,,,,,,,,,
Julius Thomas,,,O,O,O,Q,P,P,,O,O,,,,,,,
Marcus Thomas,O,O,O,O,P,,P,,,,,,,,,,,
Syd'Quan Thompson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mitch Unrein,,,,,,,,,,,,,P,,,,,
Cassius Vaughn,,,,,,,,O,O,P,P,IR,IR,IR,IR,IR,IR,IR
Kevin Vickerson,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ty Warren,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jonathan Wilhite,,,,,O,P,,,,,,,,,,,P,
D.J. Williams,O,O,P,P,,,,,,,,,,,,,,
Matt Willis,P,,,,,,,,,,,,,,,,,
Wesley Woodyard,,,,,,,,,O,P,,,,,,,,
