Player,09/09vs. PIT,09/17vs. ATL,09/23vs. HOU,09/30vs. OAK,10/07vs. NWE,10/15vs. SDG,10/28vs. NOR,11/04vs. CIN,11/11vs. CAR,11/18vs. SDG,11/25vs. KAN,12/02vs. TAM,12/06vs. OAK,12/16vs. BAL,12/23vs. CLE,12/30vs. KAN,01/12vs. BAL
Mike Adams,,,,,,,P,P,,,,,,,P,P,P
Robert Ayers,,,,,,,,,,P,P,Q,P,,,,
Lance Ball,,,,,,P,,,,,,,,,,,
Jeremy Beal,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Philip Blake,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Omar Bolden,,,,,,,,,,,D,,,,,,Q
Keith Brooking,,,,,,P,,,,,,,,,,,
Quinton Carter,,,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tony Carter,,,,,,P,,,,,,,,,,,
Ryan Clady,,,,,,P,,,,,,,,,,P,P
Chris Clark,,,,,,,,,,,,Q,,,,,
Eric Decker,,,,,,,,,P,,,,,,P,,
Joel Dreessen,,,P,,,,,,,,,,,,,,
Elvis Dumervil,,,,,,,,,Q,P,,,,,,,
Mario Fannin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Orlando Franklin,,,,,,,,,,,,,,,,,P
D'Andre Goodwin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Virgil Green,,,,P,,,,,P,,P,P,P,,,,
Tyler Grisham,IR,,,,,,,,,,,,,,,,
Chris Gronkowski,,,,,,P,,,,,,,,,Q,P,Q
Chris Harris Jr.,,Q,P,P,P,P,P,,,,,,,,,,
Ronnie Hillman,,,,,,,,,,,P,,,,,,
Trindon Holliday,,,,,,,,,,,,,,P,P,D,P
Jason Hunter,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Nate Irving,,,,D,P,,,,,,,,,,,,
Malik Jackson,,,,,,,,,,,,P,,,,,
Dan Koppen,,,,,,,,,,,,,,,P,,
Chris Kuper,O,O,O,D,P,P,P,,O,D,P,P,P,Q,D,Q,P
Jim Leonhard,,,,,,,,,P,P,,,,,P,P,P
Peyton Manning,,,,,,,,P,,,,,,,,,
Joe Mays,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Willis McGahee,,,,P,,,,,P,,IR,IR,IR,IR,IR,IR,IR
Von Miller,,,P,,,,,,P,,,,,,,,
Knowshon Moreno,,,,,,,,,,,P,,,,P,P,Q
Tracy Porter,,,P,P,P,,P,O,O,O,P,P,Q,,,O,O
Manuel Ramirez,,P,,,,,,,,,,P,P,,,,
Brandon Stokley,,,P,,,,,,P,,,Q,,,,P,
Jacob Tamme,,,Q,P,,,P,P,,,,,,,,,
Demaryius Thomas,,P,,,,P,,P,Q,,P,P,Q,P,,,
Danny Trevathan,,,,,,,P,,,,,,,,,P,
Kevin Vickerson,,,,,,,,,,P,,,,,P,,
J.D. Walton,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ty Warren,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
D.J. Williams,,,,,,,,,,P,,,,,,,
Matt Willis,,,,Q,P,,P,,,,,,P,P,P,P,P
Derek Wolfe,,,,,,,,,,,P,,,,,,
Wesley Woodyard,,,,,,,,,,,,Q,D,Q,P,,
