Player,09/07vs. IND,09/14vs. KAN,09/21vs. SEA,10/05vs. ARI,10/12vs. NYJ,10/19vs. SFO,10/23vs. SDG,11/02vs. NWE,11/09vs. OAK,11/16vs. STL,11/23vs. MIA,11/30vs. KAN,12/07vs. BUF,12/14vs. SDG,12/22vs. CIN,12/28vs. OAK,01/11vs. IND
C.J. Anderson,,,,,,,,,,,,,P,P,P,P,
Kenny Anunike,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Montee Ball,,,,,O,O,O,O,D,,O,O,O,IR,IR,IR,IR
Lamin Barrow,,,,,,,,P,,,,,,,,P,
Omar Bolden,,,,,,P,D,P,,,,,,,,,
David Bruton,,O,P,O,P,P,,,,,P,P,,P,,P,P
Isaiah Burse,P,,,,,,,,,,,,,,,,
Andre Caldwell,,,,,P,,,,,,,,,,,,
Quinton Carter,,,P,P,,,P,O,P,P,P,Q,O,D,IR,IR,IR
Ryan Clady,,P,P,,,,,,,P,P,,,,Q,P,
Chris Clark,,,,,,,,,,,,,,,P,P,
Britton Colquitt,,,,,,,,,,,P,,,,,P,
Paul Cornick,,,,,,,,,Q,P,P,,P,O,O,O,O
Orlando Franklin,,,,,,,,,,P,,,,,,,P
Ben Garland,O,D,O,,,,,,,,,,,,,,
Virgil Green,,,,P,,,,O,Q,D,Q,P,,,,,
Chris Harris Jr.,P,P,P,,P,P,P,P,,,,,,,,,
Ronnie Hillman,O,,,,,,,P,,O,O,O,O,O,Q,P,
Nate Irving,,P,,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR
Malik Jackson,,,,,,,,,,,,,,P,,,
Steven Johnson,,,,,,,O,O,P,P,P,,,,,,
Terrance Knighton,P,,,,,,,,,,,,P,,,,
Cody Latimer,,,,,,,,,,,,,O,O,P,,
Greg Latta,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,
Peyton Manning,,,,,,,,,,,,,,,P,P,P
Brandon Marshall,,,,,,,,,,,,P,,,O,O,Q
Lerentee McCray,,,O,O,O,Q,,,,,,,P,,,,
Brandon McManus,,,P,P,P,P,P,P,P,,,,,,,,
Von Miller,,,P,,,,,,,,,,,,,,
Will Montgomery,,,,,,,,,,,,,P,P,P,P,P
Corey Nelson,,,,,,P,,,,,,,,,,,
Jordan Norwood,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Matt Prater,S,S,S,S,,,,,,,,,,,,,
Manuel Ramirez,,P,,,,,,,,,,,,,,P,
Emmanuel Sanders,P,,,,,,,,,,P,,,,Q,Q,
Quanterus Smith,,,,,,,,,,,,P,Q,P,,,IR
Aqib Talib,,,,,,,,,,,,O,P,,,,P
Jacob Tamme,,,,,,,,,,,,,Q,O,P,P,
Demaryius Thomas,,,,,,,,,,,,,P,P,P,P,P
Julius Thomas,,,,,,,,,,,O,O,Q,P,P,P,P
Juwan Thompson,,,,,P,P,P,P,P,P,P,P,P,P,Q,O,O
Danny Trevathan,O,O,O,P,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mitch Unrein,,,,,,,,,,,,,,,,O,O
Louis Vasquez,P,,,P,,,,P,,,,,,,,,
T.J. Ward,,,,,,,P,,,,,,,,,O,P
DeMarcus Ware,,P,,,,,,,,,,,,,,,
Kayvon Webster,P,P,,,,,,,,,,O,D,O,Q,P,P
Wes Welker,S,S,P,,,,,,P,,,,,P,,,
Derek Wolfe,,,,,,,,,,,,,Q,,,P,
John Youboty,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
