Player,09/08vs. CAR,09/18vs. IND,09/25vs. CIN,10/02vs. TAM,10/09vs. ATL,10/13vs. SDG,10/24vs. HOU,10/30vs. SDG,11/06vs. OAK,11/13vs. NOR,11/27vs. KAN,12/04vs. JAX,12/11vs. TEN,12/18vs. NWE,12/25vs. KAN,01/01vs. OAK
C.J. Anderson,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kapri Bibbs,,,,,,,,,,,,,IR,IR,IR,IR
Sam Brenner,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marlon Brown,,,,,,,,,,,,,IR,IR,IR,IR
Todd Davis,,,,,,,,,,,,,,Q,,
A.J. Derby,,,,,,,,,,,,,,,O,O
James Ferentz,Q,,,,,,,,,,,,,,,
Bennie Fowler,O,O,Q,,,,,,,,,O,Q,,,
Garrett Graham,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Virgil Green,,,O,O,Q,,,,,,,,,,O,
Jeff Heuerman,Q,,,,,,,,,,,,,,,
Andy Janovich,,,,,,,,,,,,O,IR,IR,IR,IR
Casey Kreiter,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Brandon Marshall,,,,,,,,Q,,,,,O,O,O,Q
Corey Nelson,,,Q,,,,,,,,,,,,,
Matt Paradis,,,,,,,,Q,,,,,,,,
Ty Sambrailo,Q,Q,,,,,,,,,,,,,,
Trevor Siemian,,,,,Q,Q,,,,,,O,Q,,,
Justin Simmons,,,Q,,,,,,,,,,,,,
Donald Stephenson,,,O,O,Q,,,,,,,,,,,
Aqib Talib,,,,,,,,Q,,,,,,,,
Demaryius Thomas,,Q,,,,,,,,,,,,,,
Vance Walker,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
T.J. Ward,,,,,,,,,,,,,,,O,O
DeMarcus Ware,,,O,O,O,O,,Q,,,,,,,,IR
Kayvon Webster,,,,,,,,,,,,,,,,IR
Derek Wolfe,,Q,,,,,,,,,,,,,,O
