Player,09/09vs. OAK,09/15vs. CHI,09/22vs. GNB,09/29vs. JAX,10/06vs. LAC,10/13vs. TEN,10/17vs. KAN,10/27vs. IND,11/03vs. CLE,11/17vs. MIN,11/24vs. BUF,12/01vs. LAC,12/08vs. HOU,12/15vs. KAN,12/22vs. DET,12/29vs. OAK
De'Vante Bausby,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jake Butt,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Bryce Callahan,Q,Q,Q,O,O,O,O,O,O,IR,IR,IR,IR,IR,IR,IR
Bradley Chubb,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ryan Crozier,IR,,,,,,,,,,,,,,,
Todd Davis,D,Q,Q,,,,,,,,,,,,,
Duke Dawson,,,,,,Q,,,,,,Q,,,,
Joe Dineen,IR,,,,,,,,,,,,,,,
Nico Falah,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Noah Fant,,,,,,,,,,,,,,Q,Q,
Joe Flacco,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Austin Fort,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Adam Gotsis,,,,,,,,,,,,,,O,O,IR
DaeSean Hamilton,,,,,,,,,,Q,,,,,,
Shelby Harris,,,,,,,,,,,,Q,,,,
Jeff Heuerman,,,,,,,,,O,D,Q,,,,,
Justin Hollins,,,,,,,,Q,,,O,,,,,
Kareem Jackson,,,,Q,Q,,,,,,,,,,,
Ja'Wuan James,,O,O,O,Q,Q,Q,Q,O,D,Q,Q,Q,O,O,O
Andy Janovich,O,O,O,Q,,,,,,,IR,IR,IR,IR,IR,IR
Josey Jewell,,,,Q,Q,,,,,,,Q,,,,
Alexander Johnson,,,,,,,,,,,,Q,,,,
Cyrus Jones,,,,,,,,,,,O,IR,IR,IR,IR,IR
Dre'Mont Jones,,,,,,,,,,,,,,Q,Q,
Joseph Jones,O,O,O,Q,,,,,,,Q,,,Q,,
Ronald Leary,,,,,,,,,,,Q,,O,O,O,O
Drew Lock,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Trey Marshall,,,,,,Q,,,,,,,,,,
Connor McGovern,,,,,,,,,,,Q,,,,,
Von Miller,,,,,,,,,,,,Q,Q,,,
Corey Nelson,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Dadi Nicolas,IR,IR,IR,IR,,,,,,,,,,,,
Will Parks,,,,,,,,O,O,,,,,,,
Tim Patrick,,IR,IR,IR,IR,IR,IR,IR,IR,IR,Q,,,,,
Kyle Peko,,,,,,,,,,,,,,,Q,
Malik Reed,,,,,,,,,,,,,Q,,,
Horace Richardson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Theo Riddick,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dalton Risner,,,,,,,,,,,Q,,,,Q,
Dymonte Thomas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
DeMarcus Walker,,,,,,,,,Q,,,,,O,Q,Q
Elijah Wilkinson,,,,,,,,,,,,,,,,O
Juwann Winfree,,,,,,,,,,,,,,O,IR,IR
Billy Winn,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Derek Wolfe,,,,Q,,,,,,,,,IR,IR,IR,IR
