,Division Placement,Points For,Points for Per Game,Points For Ranking,Points Against,Points Against Per Game,Points Against Ranking,Expected Wins,Expected Losses,Team Rating SRS,SRS rank,Strength of Schedule
1930,7,176,12.6,4,161,11.5,8,7.7,6.3,.41,6,-0.66
1931,2,175,12.5,3,77,5.5,1,12.2,1.8,4.10,3,-2.90
1932,3,116,9.7,3,71,5.9,3,9.1,2.9,4.65,3,.90
1933,2,128,11.6,3,87,7.9,4,7.9,3.1,5.12,4,1.39
1934,2,238,18.3,2,59,4.5,1,12.5,0.5,12.23,2,-1.54
1935,1,191,15.9,2,111,9.3,5,9.4,2.6,7.79,3,1.13
1936,3,235,19.6,2,102,8.5,2,10.5,1.5,10.97,3,-0.11
1937,2,180,16.4,4,105,9.5,2,8.6,2.4,7.73,3,.91
1938,2,119,10.8,8,108,9.8,2,6.1,4.9,.23,4,-0.77
1939,3,145,13.2,6,150,13.6,3,5.3,5.7,1.82,6,2.27
1940,3,138,12.5,7,153,13.9,5,4.8,6.2,-0.80,6,.56
1941,3,121,11.0,7,195,17.7,6,2.7,8.3,-2.65,7,4.08
1942,5,38,3.5,10,263,23.9,10,0.1,10.9,-17.62,10,2.84
1943,3,178,17.8,6,218,21.8,5,3.8,6.2,-2.62,6,1.38
1944,2,216,21.6,4,151,15.1,4,7.0,3.0,3.42,5,-3.08
1945,2,195,19.5,5,194,19.4,5,5.0,5.0,.72,5,.62
1946,5,142,12.9,9,310,28.2,10,1.5,9.5,-13.58,18,1.69
1947,5,231,19.3,8,305,25.4,8,4.1,7.9,-3.35,11,2.82
1948,5,200,16.7,7,407,33.9,10,1.9,10.1,-13.36,16,3.89
1949,4,237,19.8,7,259,21.6,5,5.4,6.6,-0.67,8,1.17
1950,4,321,26.8,3,285,23.8,6,6.8,5.2,-1.59,8,-4.59
1951,2,336,28.0,2,259,21.6,5,7.8,4.2,4.28,5,-2.14
1952,1,344,28.7,2,192,16.0,1,9.6,2.4,11.27,1,-1.40
1953,1,271,22.6,5,205,17.1,2,7.9,4.1,3.39,5,-2.11
1954,1,337,28.1,1,189,15.8,3,9.6,2.4,14.86,1,2.53
1955,6,230,19.2,8,275,22.9,9,4.7,7.3,-6.55,11,-2.80
1956,2,300,25.0,2,188,15.7,3,9.0,3.0,8.67,2,-0.67
1957,1,251,20.9,6,231,19.3,7,6.6,5.4,2.05,5,.38
1958,5,261,21.8,5,276,23.0,7,5.6,6.4,1.05,6,2.30
1959,5,203,16.9,11,275,22.9,8,3.9,8.1,-3.72,10,2.28
1960,2,239,19.9,9,212,17.7,3,6.8,5.2,1.17,10,-1.08
1961,2,270,19.3,11,258,18.4,3,7.4,6.6,3.31,8,2.45
1962,2,315,22.5,5,177,12.6,2,11.2,2.8,12.39,2,2.53
1963,4,326,23.3,5,265,18.9,4,8.7,5.3,3.74,10,-0.62
1964,4,280,20.0,9,260,18.6,3,7.6,6.4,4.09,7,2.66
1965,6,257,18.4,12,295,21.1,5,5.9,8.1,3.97,8,6.69
1966,6,206,14.7,14,317,22.6,9,3.7,10.3,-4.95,20,2.98
1967,3,260,18.6,12,259,18.5,5,7.0,7.0,1.78,10,1.71
1968,4,207,14.8,14,241,17.2,5,5.8,8.2,-1.96,14,.47
1969,2,259,18.5,14,188,13.4,2,9.5,4.5,6.64,6,1.57
1970,2,347,24.8,2,202,14.4,2,11.0,3.0,14.05,2,3.69
1971,2,341,24.4,3,286,20.4,16,8.4,5.6,4.14,9,.21
1972,2,339,24.2,6,290,20.7,17,8.3,5.7,4.45,10,.95
1973,2,271,19.4,13,247,17.6,12,7.8,6.2,2.00,11,.29
1974,2,256,18.3,14,270,19.3,15,6.6,7.4,-1.56,15,-0.56
1975,2,245,17.5,18,262,18.7,8,6.4,7.6,-1.91,13,-0.69
1976,3,262,18.7,16,220,15.7,10,8.4,5.6,2.77,13,-0.23
1977,3,183,13.1,23,252,18.0,18,4.5,9.5,-7.42,24,-2.50
1978,3,290,18.1,13,300,18.8,19,7.7,8.3,-1.79,18,-1.17
1979,5,219,13.7,28,365,22.8,23,3.7,12.3,-11.05,28,-1.92
1980,2,334,20.9,11,272,17.0,5,9.9,6.1,1.68,11,-2.20
1981,2,397,24.8,4,322,20.1,13,9.9,6.1,5.26,5,.57
1982,4,181,20.1,15,176,19.6,14,4.6,4.4,1.33,11,.77
1983,1,347,21.7,15,286,17.9,2,9.8,6.2,2.07,7,-1.74
1984,4,283,17.7,21,408,25.5,23,4.7,11.3,-6.25,23,1.56
1985,4,307,19.2,19,366,22.9,19,6.4,9.6,-1.67,19,2.02
1986,3,277,17.3,22,326,20.4,13,6.5,9.5,-4.29,23,-1.22
1987,5,269,17.9,25,384,25.6,26,4.5,10.5,-9.90,27,-2.23
1988,4,220,13.8,28,313,19.6,10,4.8,11.2,-4.03,22,1.78
1989,3,312,19.5,19,364,22.8,19,6.6,9.4,-3.48,20,-0.23
1990,3,373,23.3,5,413,25.8,26,7.0,9.0,-1.62,18,.88
1991,1,339,21.2,9,295,18.4,11,9.3,6.7,.97,14,-1.78
1992,5,273,17.1,19,332,20.8,20,6.2,9.8,-1.87,17,1.81
1993,1,298,18.6,16,292,18.3,15,8.2,7.8,-0.32,16,-0.69
1994,3,357,22.3,6,342,21.4,19,8.4,7.6,2.37,10,1.44
