Player,09/13vs. NOR,09/20vs. MIN,09/27vs. WAS,10/04vs. CHI,10/11vs. PIT,10/18vs. GNB,11/01vs. STL,11/08vs. SEA,11/15vs. MIN,11/22vs. CLE,11/26vs. GNB,12/06vs. CIN,12/13vs. BAL,12/20vs. ARI,12/27vs. SFO,01/03vs. CHI
Cliff Avril,,D,D,P,P,,,,,,,,,,,
Aaron Brown,,,,,,,,,,,,,,P,,
Copeland Bryan,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Phillip Buchanon,O,P,P,,,,,,,Q,P,,,,O,P
Daniel Bullocks,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Gosder Cherilus,,,,,O,P,P,,,,,,,,,
Vinny Ciurciu,,,,,,,,,,,,,,,P,
Joe Cohen,,,,,,,,,P,P,P,,P,P,O,O
Damion Cook,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Daunte Culpepper,,,,,,,,,,,,,,,,
Jared DeVries,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Louis Delmas,,,,,,,,,Q,P,P,P,,D,P,P
Jordon Dizon,,,,,,P,P,P,P,P,P,,,,,P
Demarcus Faggins,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jerome Felton,,,P,,,P,O,O,P,P,P,,,,,
Yamon Figurs,P,,,,,,,,,,,,,,,
Casey Fitzsimmons,P,,,,,P,P,,,,,,O,IR,IR,IR
Andre Fluellen,,P,P,,,,,,,,,P,D,D,,
Zack Follett,,,,,,,P,,,P,P,P,,,,
Larry Foote,,,,,,,,,P,P,P,,,,O,O
Jason Hanson,P,P,,,,,,,,,,,,,,
Nick Harris,,,,,,,,,,,,,P,P,,
Anthony Henry,P,,,,,,,,,,,,,,,
Sammie Lee Hill,,,P,D,O,D,P,P,P,,,,,,,
Jason Hunter,P,,,,,D,O,P,P,P,P,,,,,
Grady Jackson,P,P,P,P,P,P,P,O,P,P,P,P,P,P,P,P
Calvin Johnson,,,,,,O,O,P,P,P,P,P,,P,P,
Eric King,,P,D,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Daniel Loper,,O,O,,,,,,,,P,O,O,,,
Marquand Manuel,,P,P,,,,,,,IR,IR,IR,IR,IR,IR,IR
Turk McBride,,,,,,,P,,,,,,,,,
Maurice Morris,,,,,,O,,,,,,,,,,
Don Muhlbach,,,,,,,,,,,,,,D,P,
Dennis Northcutt,P,,,,,,,,,,,,,P,P,
Kalvin Pearson,,,,D,P,,,,,O,O,O,D,,,
Stephen Peterman,P,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Will Peterson,,P,,,,,,,,,,,P,,,
Brandon Pettigrew,,,,,P,P,,,,,,IR,IR,IR,IR,IR
Dominic Raiola,,,,,,,,,,,,,,,P,
Chris Roberson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ko Simpson,,,,,O,D,P,,,P,IR,IR,IR,IR,IR,IR
Ernie Sims,,,D,D,P,P,P,,O,O,O,O,P,,,
Kevin Smith,,,Q,D,P,,,P,,,P,,,IR,IR,IR
Terrelle Smith,,,,,,,P,,,,,,,,,
Cody Spencer,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Matthew Stafford,,,,,O,D,P,P,P,P,P,,D,D,IR,IR
Drew Stanton,O,O,O,O,,,,,,,,,,,,P
Dewayne White,,,,D,O,O,P,P,P,P,D,P,O,P,P,P
Derrick Williams,,,,,,,,,,O,O,,,,,
Jack Williams,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Brian Witherspoon,,,,,,,,,,,,,,,,O
