Player,09/12vs. CHI,09/19vs. PHI,09/26vs. MIN,10/03vs. GNB,10/10vs. STL,10/17vs. NYG,10/31vs. WAS,11/07vs. NYJ,11/14vs. BUF,11/21vs. DAL,11/25vs. NWE,12/05vs. CHI,12/12vs. GNB,12/19vs. TAM,12/26vs. MIA,01/02vs. MIN
Cliff Avril,,O,P,P,,,,,O,O,P,P,Q,P,P,
Aaron Berry,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jahvid Best,,P,,P,P,P,P,P,P,P,D,P,P,P,P,P
Aaron Brown,,,,O,D,O,O,O,O,,,,,,,
C.C. Brown,P,P,P,P,Q,,,D,P,,,,,,,
Copeland Bryan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Nate Burleson,,P,O,D,P,P,,,,,,P,P,,,
Bobby Carpenter,,,,,,,,,,P,P,,,,,
Gosder Cherilus,,,,,,,,,,,,P,D,IR,IR,IR
Vinny Ciurciu,,,,,,,,,,,,,,O,P,
Joe Cohen,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jared DeVries,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Louis Delmas,P,P,P,P,P,P,P,P,,,,,,,O,
Richard Dickson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jordon Dizon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Isaiah Ekejiuba,,,,,,,,O,D,O,P,,IR,IR,IR,IR
Andre Fluellen,,,,,,,P,,,,,,,,,
Zack Follett,,,D,P,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dylan Gandy,,,,,,,,,,,P,,,,,
Jason Hanson,,,,,,,,P,O,O,D,IR,IR,IR,IR,IR
Spencer Havner,,,,,,O,,,,,,,,,,
Sammie Lee Hill,,,,D,P,,,,,,,,,,,
Shaun Hill,,,,,,,,D,P,,P,O,,Q,P,
Tye Hill,,,,,,,,,,,,,,,,Q
Corey Hilliard,,,,,,,,,,,,,,,,Q
Chris Houston,,,,P,,,,,P,P,P,,,P,Q,D
Lawrence Jackson,,,,,,,,,,,D,,,,P,P
Bryant Johnson,,,,,,,P,P,,,,,,,,
Calvin Johnson,,,,,,Q,,P,,P,P,,P,,Q,Q
Landon Johnson,,,O,P,,D,Q,,,,,,,D,P,IR
DeAndre Levy,D,O,P,D,O,O,P,P,,,P,P,P,P,,
Stefan Logan,,,,,,P,,,,,,,,,,
Turk McBride,,,,,,O,P,P,P,P,P,,,P,P,
Brandon McDonald,,,,,,,,,,,,,,IR,IR,IR
Maurice Morris,,,,,,,,,,,,,,P,P,
Ashlee Palmer,,,P,,,,,P,,,,,,,,
Stephen Peterman,,,,P,,,,,P,,,,,,,
Brandon Pettigrew,,,,,,,,P,,,,,,,,
Tony Scheffler,,,,,P,,,,,,D,P,,,,
Alphonso Smith,,,,,,,,,P,P,P,,IR,IR,IR,IR
Kevin Smith,,,,,,,,P,P,IR,IR,IR,IR,IR,IR,IR
Amari Spievey,,,,P,,,,,,,,,,,P,
Matthew Stafford,,O,O,O,O,O,Q,P,O,O,O,O,O,O,IR,IR
Drew Stanton,,,,,,,,,,,,,,P,Q,P
Kyle Vanden Bosch,,,,P,,,,,P,,P,D,IR,IR,IR,IR
Nathan Vasher,,,,,,O,Q,,,,,,,,,
Jonathan Wade,P,,,,,,,,,,,,,,,
Corey Williams,,,,,,,,,P,P,P,P,,,,
Derrick Williams,,,,,,,,,,,,,IR,IR,IR,IR
Jack Williams,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,,,
Jahi Word-Daniels,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
