Player,09/09vs. STL,09/16vs. SFO,09/23vs. TEN,09/30vs. MIN,10/14vs. PHI,10/22vs. CHI,10/28vs. SEA,11/04vs. JAX,11/11vs. MIN,11/18vs. GNB,11/22vs. HOU,12/02vs. IND,12/09vs. GNB,12/16vs. ARI,12/22vs. ATL,12/30vs. CHI
Cliff Avril,,,,,P,P,Q,P,Q,P,P,P,,,,
Jeff Backus,,,,,,,,,P,Q,D,Q,Q,,,
Bill Bentley,,D,P,,,D,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jahvid Best,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,IR,IR,IR,IR,IR,IR,IR,IR
Ryan Broyles,,,,,,,,,,,,Q,IR,IR,IR,IR
Nate Burleson,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Don Carey,,,,,,,,,,,,,,P,P,P
Shaun Chapas,,,,,,,,,,,,,,,,Q
Gosder Cherilus,,,,,,,,,,,,,P,,,
Erik Coleman,,,,,,,,,P,P,P,,,,,
Louis Delmas,D,D,D,D,Q,P,Q,O,O,D,P,Q,Q,Q,Q,Q
Justin Durant,,,,Q,,,,P,,,,,,,,
Nick Fairley,,,,,,,,,,,Q,,Q,D,IR,IR
Drayton Florence,,,O,O,O,O,IR,IR,IR,IR,D,,,,,
Ben Graham,,,Q,IR,,,,,,,,,,,,
Jonte Green,,,,,,,,,,,,P,,,,
Chris Greenwood,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP
Jason Hanson,,,,,,,,,,P,P,,,,,
Jerome Harrison,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Sammie Lee Hill,,,,,Q,,,,,,P,,,,,IR
Corey Hilliard,,,,P,Q,,,,Q,,,,,P,Q,
Chris Houston,D,D,P,,,,,,Q,P,P,P,Q,P,P,Q
Lawrence Jackson,,Q,,Q,,,,,,,,,P,,,
Calvin Johnson,,P,P,P,,,P,P,P,Q,P,P,,P,P,P
Jacob Lacey,,,Q,,,D,O,P,,,Q,Q,Q,P,IR,IR
Mikel Leshoure,,,,P,,,,,P,,,Q,,,P,
DeAndre Levy,,,,,,,D,Q,P,,,,,,P,
Ronnell Lewis,,,,,,P,,,,,,,,Q,,
Travis Lewis,,D,D,D,P,,,,,,,,,,,
Bill Nagy,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kassim Osgood,,,,,,,,,,,,,P,,,
Ashlee Palmer,,,,,,,,,,P,P,P,P,,,
Brandon Pettigrew,,,,,P,P,P,P,,,,,,D,D,D
Tony Scheffler,,,D,Q,,,,,,,,,,,,
Jonathan Scott,IR,IR,IR,IR,IR,IR,,,,,,,,,,
Rob Sims,,,,P,,,,,,,P,P,,,,
Kevin Smith,Q,,,,,,,,,,,,,,,P
Amari Spievey,,,,Q,P,,O,O,D,IR,IR,IR,IR,IR,IR,IR
Matthew Stafford,,,,P,,,,,,,,,,,,
Ndamukong Suh,,,,,,,,,,,P,,,,,
Stephen Tulloch,,,,,,P,P,P,P,,,,,,,
Kyle Vanden Bosch,,,,,,,,,,,,Q,,,,
Corey Williams,,Q,Q,O,O,P,P,P,P,O,Q,Q,Q,IR,IR,IR
Titus Young,,,,P,P,P,Q,P,P,P,,P,IR,IR,IR,IR
