Player,09/08vs. MIN,09/15vs. ARI,09/22vs. WAS,09/29vs. CHI,10/06vs. GNB,10/13vs. CLE,10/20vs. CIN,10/27vs. DAL,11/10vs. CHI,11/17vs. PIT,11/24vs. TAM,11/28vs. GNB,12/08vs. PHI,12/16vs. BAL,12/22vs. NYG,12/29vs. MIN
Ezekiel Ansah,D,,,Q,P,,,Q,D,O,P,,,Q,,
Joique Bell,,,,,,,P,,,,P,,,,,P
Bill Bentley,,,,,,,,Q,D,D,P,,,,,D
Ryan Broyles,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Nate Burleson,,,,O,O,O,O,O,O,D,P,,,,,
Reggie Bush,,Q,Q,P,,,,P,P,P,,,P,P,,
Don Carey,,D,D,Q,,,,,,,,,,,,
Louis Delmas,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Dorin Dickerson,,,,,,,,,,,,,,,,IR
Patrick Edwards,,,D,D,P,,,,,,,,,,,
Nick Fairley,,Q,Q,,,,,,,,,,,,,
Andre Fluellen,,,,,,,,P,,,P,,,,,
Jason Fox,Q,O,D,Q,P,D,D,Q,,,,,,,,
Dylan Gandy,,,,,,,,,,,,,,,,O
Jonte Green,,,,,,,,,,,P,,,,,O
Chris Greenwood,,,,,,,,,,,,,,,,P
Cory Greenwood,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Corey Hilliard,,,,Q,,,,O,D,Q,P,O,,,,
Chris Houston,,,,P,Q,P,,,,,Q,D,P,D,P,D
Israel Idonije,,,,,P,,,,,,Q,P,P,P,,IR
Calvin Johnson,,,,P,P,Q,P,P,P,P,P,P,P,P,Q,O
Jason Jones,P,P,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
DeAndre Levy,,,,P,,,,,,,,,,,Q,P
Travis Lewis,,,,,,,,,P,,,,,,,
Sam Martin,,,,,,,,,,,,,,,P,
Rashean Mathis,,,,,P,Q,P,P,,,,,,,P,P
Montell Owens,IR,IR,IR,IR,IR,IR,IR,IR,P,D,Q,IR,IR,IR,IR,IR
Ashlee Palmer,,P,P,P,P,P,,P,,,,,,,,
Brandon Pettigrew,,,,,,,,P,,,P,,,,O,IR
Glover Quin,,,,,Q,P,,,P,,P,P,,,,
Riley Reiff,,,,,,,,P,,,,,,,,
Theo Riddick,,,,,,O,Q,P,,,,,,,,
Tony Scheffler,,,,,,O,O,,,,,,,,,
Rob Sims,,,P,P,P,,,,,,,,,,,
Darius Slay,,,,,,,,,,,,,IR,D,D,D
Ndamukong Suh,,,,P,,,,,,,,,,,,
LaAdrian Waddle,,,,,,,,,,,,,,P,,O
Larry Warford,,,,,,,,,,,P,,,,,
John Wendling,,P,,,,,,,,,,,,P,P,P
Michael Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
