Player,09/08vs. NYG,09/14vs. CAR,09/21vs. GNB,09/28vs. NYJ,10/05vs. BUF,10/12vs. MIN,10/19vs. NOR,10/26vs. ATL,11/09vs. MIA,11/16vs. ARI,11/23vs. NWE,11/27vs. CHI,12/07vs. TAM,12/14vs. MIN,12/21vs. CHI,12/28vs. GNB,01/04vs. DAL
Ezekiel Ansah,,,Q,P,,,P,P,P,,,P,,,,,P
Joique Bell,,,P,P,D,P,,,,,P,,,,,P,
Bill Bentley,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Reggie Bush,,P,,,,D,,D,P,O,O,O,P,P,,,
Josh Bynes,,,,,,,,,,,,,,P,,,
Don Carey,O,O,,D,P,,,,,,,,,,P,,
Jerome Couplin,,,,,,P,,,,,,,,,,,
Eric Ebron,,,,,,,D,D,D,,P,,,,,,
Nick Fairley,,,P,Q,P,,,,O,O,O,O,O,O,O,O,D
Joseph Fauria,,,,O,D,O,O,D,O,P,,,Q,IR,IR,IR,IR
Corey Hilliard,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
James Ihedigbo,O,D,IR,P,,,,,,P,,P,,,,,
Calvin Johnson,,,,P,,D,D,O,P,P,P,P,P,P,P,P,P
George Johnson,,,Q,P,,,,,P,,,P,,,P,,
T.J. Jones,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP
Nevin Lawson,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Travis Lewis,,,O,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Rashean Mathis,,,,,,,,,,,,P,,,,,
C.J. Mosley,,,,,,,,S,P,,,,,,,,
Don Muhlbach,,,,,,,,,,P,,,,,,,
Montell Owens,,,D,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ashlee Palmer,,,,,,,,,,,,P,,,P,,
Brandon Pettigrew,,P,,,,,,D,P,O,P,,,,,,
Glover Quin,,,,,,,,,,,,P,,,,,
Dominic Raiola,,,,,,,,,,,,,,,,O,P
Caraun Reid,P,,,,,,,,,,,,,,,,
Riley Reiff,,,,,,,,,,,,D,P,,,,
Theo Riddick,,,,,O,,D,P,,,,,P,,,,
Jeremy Ross,,,,,,,P,,,,,,,,,,
Mohammed Seisay,,,,,,,,,,,,,,,O,P,
Rob Sims,,,,,,,,,,,,,,,P,,
Darius Slay,,,,,,,,,,,,,,P,,,
Ndamukong Suh,,,,,,,,,,,,,,P,,,
Golden Tate,,,,,P,,,,,,,,,,,,
Devin Taylor,,,,,P,,,,,P,,,,,,,
Stephen Tulloch,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kyle Van Noy,IR,IR,IR,IR,IR,IR,IR,IR,P,,,,,,,,
Cassius Vaughn,,,O,O,D,P,,,,,,,,,,,
LaAdrian Waddle,,O,O,D,P,,,O,P,,P,,,P,IR,IR,IR
Larry Warford,,,,,,,,,,O,O,O,P,,,,D
Tahir Whitehead,,,,,,,,,,,,,,Q,,,
