Player,09/13vs. SDG,09/20vs. MIN,09/27vs. DEN,10/05vs. SEA,10/11vs. ARI,10/18vs. CHI,10/25vs. MIN,11/01vs. KAN,11/15vs. GNB,11/22vs. OAK,11/26vs. PHI,12/03vs. GNB,12/13vs. STL,12/21vs. NOR,12/27vs. SFO,01/03vs. CHI
Isa Abdul-Quddus,,,,,,,,,Q,,,,,,,Q
Ameer Abdullah,,,,,,,,,,,,,,,,Q
Ezekiel Ansah,,,P,Q,P,,,,,P,,,Q,,,
Joique Bell,,,,O,O,Q,P,P,,P,,,,,,
Bill Bentley,,,,,,,,,,,,,,,Q,
Crezdon Butler,,,,,,,,,,,P,,,,,
Josh Bynes,,,,,,,P,,,,,,,,Q,P
Don Carey,,,P,,,,,,,Q,Q,,,,,
Alex Carter,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Eric Ebron,P,,,,O,O,P,,,,P,,,Q,,
Andre Fluellen,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
James Ihedigbo,,,P,,Q,Q,P,,P,,,P,,,,
Calvin Johnson,,,,,,,P,P,Q,P,Q,Q,Q,Q,Q,Q
Jason Jones,,,,P,,P,P,,,P,,,,,,D
Darren Keyton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Nevin Lawson,,,,,,,,,,Q,,,,,,Q
DeAndre Levy,IR,IR,IR,IR,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Travis Lewis,,,,,P,,,,P,,,,Q,,,
Cornelius Lucas,,,P,,,,,,,,,,,,,
Sam Martin,,,,,P,,P,P,,P,,,,,,
Rashean Mathis,,,,,P,,,IR,O,IR,IR,IR,IR,IR,IR,IR
Lance Moore,,,,,P,,,,,,,O,Q,P,,
Haloti Ngata,,Q,,,O,O,P,,,,,,,Q,Q,Q
Michael Ola,,,,,,,,,,,,,Q,Q,Q,Q
Chris Owens,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Brandon Pettigrew,,O,O,O,P,,O,P,,,,,,IR,IR,IR
Matt Prater,,,,,,,,,,,,Q,,,,
Glover Quin,,,P,,,,,,,P,,Q,Q,Q,Q,
Caraun Reid,O,Q,,,,,,,,,Q,Q,Q,,Q,
Theo Riddick,,,,,,Q,P,,,,,,,,,
Corey Robinson,,,,D,P,,,,,,,,,,,
Darius Slay,,P,,,P,P,,,P,,Q,,,,,
Matthew Stafford,,P,P,,,,,P,,,,,,,,
Travis Swanson,,,,,,,,,,,,Q,Q,,,O
Darryl Tapp,,,,,,P,,,,,,,,,,
Golden Tate,,P,,,,P,P,,,,,P,,,,
Stephen Tulloch,,,,,,,,P,,,,,,,,
LaAdrian Waddle,Q,P,,,,P,,Q,,,,,,,,
Tyrunn Walker,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Larry Warford,O,P,P,Q,Q,P,,,,,,Q,,,Q,
Tahir Whitehead,P,,,,,,P,,,,,,,,,
Josh Wilson,,,,Q,,,Q,,P,IR,IR,IR,IR,IR,IR,IR
Gabe Wright,,,,,,,,,,O,Q,P,,,,
Zach Zenner,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
