Player,09/11vs. IND,09/18vs. TEN,09/25vs. GNB,10/02vs. CHI,10/09vs. PHI,10/16vs. LAR,10/23vs. WAS,10/30vs. HOU,11/06vs. MIN,11/20vs. JAX,11/24vs. MIN,12/04vs. NOR,12/11vs. CHI,12/18vs. NYG,12/26vs. DAL,01/01vs. GNB,01/07vs. SEA
Ameer Abdullah,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
Adairius Barnes,,Q,Q,Q,,,,,Q,,,,,,,,
Anquan Boldin,,,,,,Q,,,,,,,,,,,
Jonathan Bostic,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Armonty Bryant,,,,,,,,,,,,,IR,IR,IR,IR,IR
Josh Bynes,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,
Don Carey,,,,,Q,Q,,,,,Q,Q,Q,,,,
Stefan Charles,,,,,,,,,,,,,,,,IR,IR
Taylor Decker,,,,,,,,,Q,,,,,,,,
Quandre Diggs,,,,,,,,,,,,,IR,IR,IR,IR,IR
Eric Ebron,Q,,Q,Q,O,O,O,Q,,,,,Q,Q,,,
Corey Fuller,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Wallace Gilberry,,,,,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,,IR
Graham Glasgow,Q,,,,,,,,,,Q,,,,,,
Asa Jackson,,,,,,,,,,,,,,,,,IR
Marvin Jones,,,,Q,Q,,,,,,,Q,Q,,,,
Jimmy Landes,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Nevin Lawson,,,,,,,,Q,,,,,,,,,
DeAndre Levy,,D,D,O,O,O,O,O,O,D,Q,Q,Q,Q,Q,Q,Q
Haloti Ngata,,,,,,O,O,Q,Q,,,,,,,,
Brandon Pettigrew,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Theo Riddick,,,,,,O,O,,Q,Q,Q,Q,IR,IR,IR,O,IR
A'Shawn Robinson,,,,,,Q,,,,,,,,,,,
Corey Robinson,Q,,,,,,O,Q,,,,,,,,,IR
Darius Slay,,,,,,,,O,Q,,,,,Q,D,Q,
Ryan Spadola,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Travis Swanson,,,,,,,,,,,,,O,O,O,D,Q
Golden Tate,Q,,,,,,,,,,,,,,,,
Devin Taylor,,,Q,Q,,,,,,,,,,,,,
Khyri Thornton,,,,,,,,,,,Q,,,,,,
Laken Tomlinson,,,,,,Q,,,,,,,,,,,
Dwayne Washington,,,,,D,Q,Q,,,,,,Q,,,,
Ian Wells,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tahir Whitehead,,,,,,,Q,,,,,Q,Q,,,,
Cole Wick,,Q,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Antwione Williams,,,D,Q,,,,,,,,,,,,,
Tavon Wilson,,,,Q,Q,,,,,,,,,,,,
Tim Wright,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Zach Zenner,,,,,,,,,,,,,,Q,,,
