Player,09/10vs. NYJ,09/16vs. SFO,09/23vs. NWE,09/30vs. DAL,10/07vs. GNB,10/21vs. MIA,10/28vs. SEA,11/04vs. MIN,11/11vs. CHI,11/18vs. CAR,11/22vs. CHI,12/02vs. LAR,12/09vs. ARI,12/16vs. BUF,12/23vs. MIN,12/30vs. GNB
Jamal Agnew,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,Q,Q
Ezekiel Ansah,,Q,Q,O,O,Q,Q,Q,Q,Q,Q,,,IR,IR,IR
Brandon Barnes,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Trevor Bates,,,,,,,,,,,,Q,O,Q,,
Nick Bawden,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Nick Bellore,,,,,,,,,,,,O,Q,Q,,
LeGarrette Blount,,Q,,,,,,,,,,,,,Q,Q
Marcus Cooper,,,,,,,,,,,,,,Q,,
Marcus Cromartie,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jarrad Davis,,,,Q,,,Q,,,,,,,,,
Taylor Decker,,,,,,,,,,,,,,Q,,
Quandre Diggs,,,,,Q,,,,,,,,,,,Q
Andrew Donnal,O,O,O,,,,,,,,,,,,,
Bruce Ellington,,,,,,,,,,,Q,Q,Q,IR,O,IR
Kenny Golladay,,,,,,,,,,,,,,,Q,Q
Da'Shawn Hand,,,,,Q,,,,,,,,,IR,IR,IR
Eli Harold,,,Q,,Q,,,,D,,,,,,,
Damon Harrison,,,,,,,,,,Q,Q,,,,Q,Q
Kerry Hyder,,,,,,,,,,,,,Q,,,
Kerryon Johnson,,,,,,,,,Q,,IR,IR,IR,IR,IR,IR
Andy Jones,IR,IR,IR,IR,IR,IR,IR,,IR,,,,,,,
Marvin Jones,,,Q,,Q,,,,,IR,IR,IR,IR,IR,IR,IR
Devon Kennard,,,,,,,,,,,,,Q,Q,Q,
T.J. Lang,,O,Q,,O,Q,,Q,IR,IR,IR,IR,IR,IR,IR,IR
Nevin Lawson,,,,,Q,,,,,,,,,,,Q
Steve Longa,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Powell,,,,,,,,,,,,O,Q,,,
Jalen Reeves-Maybin,,,,,,,,D,Q,,Q,Q,IR,IR,IR,IR
Theo Riddick,,,,,,O,O,,,,,,,,,
Michael Roberts,,,Q,O,O,Q,,,,O,Q,D,Q,IR,IR,IR
A'Shawn Robinson,,,,,,,,,,O,Q,,,,,O
DeShawn Shead,,,,,,,,,,,,,,,,O
Darius Slay,,,Q,,,,,Q,O,,Q,,Q,,,
Matthew Stafford,,,,,,,,,,,,,Q,Q,Q,
Golden Tate,,,,Q,,,,,,,,,,,,
Ricky Wagner,,,,,,,,,,,,,,O,,
Tracy Walker,,,,,Q,,,,,,,,,,,
Charles Washington,,,,,,,,,,,,,,IR,O,IR
Cornelius Washington,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Luke Willson,,,,,,,,,Q,,,,,,,O
Tavon Wilson,,,,,Q,,,,,,,,,,,
Zach Zenner,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,
