Player,09/08vs. ARI,09/15vs. LAC,09/22vs. PHI,09/29vs. KAN,10/14vs. GNB,10/20vs. MIN,10/27vs. NYG,11/03vs. OAK,11/10vs. CHI,11/17vs. DAL,11/24vs. WAS,11/28vs. CHI,12/08vs. MIN,12/15vs. TAM,12/22vs. DEN,12/29vs. GNB
Jamal Agnew,,,,,,,,,,,O,O,Q,,,
Danny Amendola,,,,Q,Q,,,,,,,,,,,
John Atkins,,,,,,,,,,,,,,Q,,
Nick Bawden,,,,,,Q,Q,,,Q,IR,IR,IR,IR,IR,IR
Austin Bryant,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,D,,,
Tra Carson,,,,,,,,IR,IR,,,,,,,
Joe Dahl,,,,,,,,,Q,,,,,IR,IR,IR
Mike Daniels,,,,O,O,O,O,D,Q,,,,,,IR,IR
Jarrad Davis,Q,Q,Q,,,,,,,,,,,O,IR,IR
Taylor Decker,,Q,Q,,,,,,,,,,,,,
Quandre Diggs,,,,,Q,Q,,,,,,,,,,
Jeff Driskel,,,,,,,,,,,,Q,IR,IR,IR,IR
Trey Flowers,,,,,,,,,,,O,Q,,,,
Graham Glasgow,,,,,,,,Q,Q,,,,,,,
Marvin Hall,,,,,,,,,,,,O,IR,IR,IR,IR
Da'Shawn Hand,O,Q,O,Q,Q,Q,,,O,O,O,Q,O,IR,IR,IR
Damon Harrison,,,,,,,Q,Q,Q,Q,,Q,,,,
T.J. Hockenson,,,,,Q,,,,,,,Q,IR,IR,IR,IR
Kerryon Johnson,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,
Christian Jones,,,,,,,,,,,,,,Q,IR,IR
Marvin Jones,,,,,,,,,,,,,,IR,IR,IR
Jermaine Kearse,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Devon Kennard,,,,,,,,,,,,,,,Q,Q
Darius Kilgo,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Miles Killebrew,,,,,,,,,O,,,,,,,
Tre Lamar,IR,IR,,,,,,,,,,,,,,
Steve Longa,,,,,,,,,,,,,,,,Q
Sam Martin,,,,,,,,,Q,Q,,,,,,
Rashaan Melvin,Q,,Q,,,,,,,,Q,O,Q,,,
C.J. Moore,,,Q,,,,,,,,,,,,,
Romeo Okwara,,,,,,,,,Q,Q,,,,,,
Amani Oruwariye,,,,,O,O,O,Q,,,,,,,,
Matt Prater,,,,,,,,,,,,,,,,Q
Frank Ragnow,Q,,,,,,,,,,O,,,,,
A'Shawn Robinson,,,,,Q,,,Q,Q,,,,,O,O,O
Bo Scarbrough,,,,,,,,,,,,,,Q,Q,
Darius Slay,,,,Q,Q,Q,O,Q,,,,,,,,
Matthew Stafford,,,,Q,,,,,Q,O,O,O,O,O,IR,IR
Kevin Strong,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Jahlani Tavai,,,,,,,,,,,,,,,,IR
Ricky Wagner,,,,,,Q,,,,O,,,,O,O,Q
Tracy Walker,,,,,,,,O,O,Q,O,Q,,,,
Kenny Wiggins,,,,,,,,,,,,,,,IR,IR
Tavon Wilson,,,,,,,,,,,,,,,,Q
