Player,09/13vs. CHI,09/20vs. GNB,09/27vs. ARI,10/04vs. NOR,10/18vs. JAX,10/25vs. ATL,11/01vs. IND,11/08vs. MIN,11/15vs. WAS,11/22vs. CAR,11/26vs. HOU,12/06vs. CHI,12/13vs. GNB,12/20vs. TEN,12/26vs. TAM,01/03vs. MIN
Jamal Agnew,,,,,,,,O,Q,,,,,,,
Geronimo Allison,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Danny Amendola,Q,,,,,,,,,O,O,,,,,
John Atkins,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Nick Bawden,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,
Russell Bodine,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Austin Bryant,,,,,,,,,,Q,O,Q,Q,,,
Hunter Bryant,O,O,O,Q,IR,IR,IR,IR,IR,IR,IR,,,,,
Justin Coleman,,IR,IR,IR,IR,IR,IR,,,,,,,,,
Jamie Collins,,,,,,,,,,,,,,,Q,Q
Jashon Cornell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tyrell Crosby,,,,,,,,,,,,,O,O,O,O
Joe Dahl,,O,IR,IR,IR,,,Q,Q,,,,,,,O
Jarrad Davis,,,,,,,,C19,Q,Q,,,,,,
Taylor Decker,,,,,,,Q,,,,,,,,Q,
Trey Flowers,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mike Ford,IR,IR,IR,IR,IR,IR,,,,,O,,,,,
Kenny Golladay,D,O,Q,,,,,O,O,O,O,O,O,O,O,O
Everson Griffen,,,,,,,,,,,,,C19,C19,C19,
Da'Shawn Hand,Q,,,Q,,,,,,Q,O,O,Q,O,,
Will Harris,,,,,,,,,,Q,,,,,,
T.J. Hockenson,,,,,,,,,Q,,,,,,,
Christian Jones,,,,Q,,,,Q,,,,,,,,
Jayron Kearse,,,,,,,,,,,,,,,Q,
Tony McRae,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
C.J. Moore,O,Q,Q,O,Q,,,,,,,,Q,,,
Jeff Okudah,Q,,,,,,,,,,O,O,O,IR,IR,IR
Julian Okwara,Q,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
Amani Oruwariye,,,,,,,,,,,Q,,,,,
John Penisini,,,,,,,,,,,,,Q,Q,,
Matt Prater,,,,,,,,,,,,,,,Q,
Reggie Ragland,,,,,,,,,,,Q,,,,,
Frank Ragnow,,,,,Q,,,,,,,,,Q,Q,Q
Jalen Reeves-Maybin,,,,,,,Q,,,,,,,,,
Darryl Roberts,Q,Q,,Q,,,Q,IR,IR,IR,IR,IR,,O,Q,
Bo Scarbrough,IR,IR,IR,IR,IR,IR,,,,,,,,,,
Danny Shelton,,,,,,,,,,,,IR,IR,IR,IR,IR
Dan Skipper,IR,IR,,,,,,,,,,,,,,
Matthew Stafford,,,,,,,,C19,,Q,,Q,Q,Q,Q,Q
D'Andre Swift,,,,,,,,,,O,Q,Q,Q,,,
Desmond Trufant,,O,D,Q,O,O,Q,,,,,IR,IR,IR,IR,IR
Halapoulivaati Vaitai,O,Q,Q,,,,,Q,Q,Q,IR,IR,IR,IR,Q,
Tracy Walker,,,,,,,,O,,,,Q,,,,
Jonathan Williams,,,,,,,,,,,,Q,,,,
Nick Williams,,Q,,,,,,,Q,,,,,,,
