Player,09/12vs. PHI,09/19vs. BUF,09/27vs. CHI,10/03vs. DET,10/10vs. WAS,10/17vs. MIA,10/24vs. MIN,10/31vs. NYJ,11/07vs. DAL,11/21vs. MIN,11/28vs. ATL,12/05vs. SFO,12/12vs. DET,12/19vs. NWE,12/26vs. NYG,01/02vs. CHI,01/09vs. PHI,01/15vs. ATL,01/23vs. CHI,02/06vs. PIT
Nick Barnett,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Atari Bigby,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,O,D,O,P,,O,O,O,,
Desmond Bishop,P,O,P,,,,,,,,,,,,,,,,,
Diyral Briggs,,,,,,,,,,,,,,,O,Q,,P,P,
Bryan Bulaga,P,,,,,,,,,,,P,,,,,,P,,
Morgan Burnett,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Chillar,,,,O,O,O,P,,,P,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chad Clifton,P,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Daryn Colledge,,P,P,,,,,,P,,,,,P,,,,,,
Nick Collins,,,,P,P,P,P,P,P,,,P,,,Q,P,P,,,
Tom Crabtree,,,P,,,,,,,,,,,,,,,,,
Donald Driver,,,,,,P,P,Q,O,P,P,,P,P,,,,P,,P
Jermichael Finley,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ryan Grant,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Korey Hall,,O,P,,,,,,,O,Q,,O,P,,O,O,O,,
Justin Harrell,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Al Harris,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,,,,
Spencer Havner,,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
A.J. Hawk,,,,,,,P,,,,,,,,,,,,,
Cullen Jenkins,P,P,P,P,P,Q,P,P,P,,P,,O,O,O,O,P,P,P,
Greg Jennings,,,,,,,,,,,,P,,,,,,,,
Quinn Johnson,,,,,O,P,,,,,,,,,,,,,,
Brad Jones,P,P,Q,P,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
John Kuhn,,,,,,,,,,,,,,,,,,,P,
Donald Lee,,,,,,P,,,,,,,,,,,,,,
Pat Lee,,,,,,,,,O,P,,O,D,O,P,,,,O,
Derrick Martin,P,P,P,P,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Clay Matthews,P,P,P,,,D,P,,P,P,P,P,P,P,P,P,P,P,P,
Dimitri Nance,,,,,,,,,P,,,O,P,,,,,,,
Mike Neal,O,Q,Q,P,,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marshall Newhouse,,,,,,,D,O,,,,,,,O,IR,IR,IR,IR,IR
Charlie Peprah,,,Q,O,P,,,,,,,,,,,,,,,
Ryan Pickett,,,Q,,,O,Q,O,,D,P,P,P,P,P,P,P,P,P,
Brady Poppinga,P,,P,P,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Andrew Quarless,,,,,,,,,O,P,,,,,,,,,,
B.J. Raji,,P,,,,,,,,,,,,,,,,,,
Aaron Rodgers,,,,,,P,,,P,,,,,O,P,,,,,
Sam Shields,,,,D,O,P,,,,,,,,,,P,,,,
Josh Sitton,,,,,,,,,,,,,,P,,,,,,
Anthony Smith,,,,,,,,,,,D,D,O,IR,IR,IR,IR,IR,IR,IR
Jason Spitz,,,,,,,,,,,,,,,,,,P,P,P
James Starks,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,P,,,,,,,,,,
Brett Swain,,,,,,,,,,,,,P,,,,,,,
Mark Tauscher,,,,,D,D,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Underwood,D,O,P,,,,,,,,,,,,,,,,,
Erik Walden,,,,,,,,,,,,,,,P,P,,,,O
Scott Wells,,,,,,,,,,P,P,,,,P,P,,,,
Charles Woodson,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,
Frank Zombo,,,,,,,,,,,,,,D,O,O,O,O,D,P
