Player,09/08vs. NOR,09/18vs. CAR,09/25vs. CHI,10/02vs. DEN,10/09vs. ATL,10/16vs. STL,10/23vs. MIN,11/06vs. SDG,11/14vs. MIN,11/20vs. TAM,11/24vs. DET,12/04vs. NYG,12/11vs. OAK,12/18vs. KAN,12/25vs. CHI,01/01vs. DET,01/15vs. NYG
Desmond Bishop,,,,,,,,,,,,O,O,O,P,,
Bryan Bulaga,,,,O,O,P,,,,,,,,,O,D,P
Morgan Burnett,,,,,,P,P,,P,P,,,,,,,
Chad Clifton,P,P,P,P,P,O,O,O,O,O,O,O,O,O,D,P,P
Randall Cobb,P,,,,,,,,,,,,,,,D,P
Nick Collins,,P,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Evan Dietrich-Smith,,,,,,P,,,,,,,,,,,P
Donald Driver,Q,,,,P,,,,,,,,,,,,
Jermichael Finley,P,P,P,P,,,,,,,P,,,,,P,
Rob Francois,,,,,,,,,,,,,,,,,D
Ryan Grant,,,,O,P,,,,,Q,,,,,,,
Alex Green,,O,O,P,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Howard Green,,,,,,,,,,,,,,,P,,
Lawrence Guy,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
A.J. Hawk,,,,,,,,,,,,O,O,P,,,
Davon House,O,O,O,Q,,,,,,,,,,,,,
Greg Jennings,,,,,,P,,P,,,P,,,O,D,O,P
Brad Jones,,,,O,P,,,,,,,,,,,,
Jamari Lattimore,,,,O,P,,O,O,Q,,,,,,,,
Pat Lee,,,,P,P,P,,,,,,,,,,,
Clay Matthews,,,P,P,P,P,P,P,P,P,P,,,,,O,
Mike Neal,O,O,O,O,O,O,O,O,O,P,,,,,P,,
Marshall Newhouse,,,,,,,,,,,P,,,,,,
Ryan Pickett,,,P,P,,,P,,,,,,,O,O,P,
Andrew Quarless,,,,,D,O,P,,,,,,IR,IR,IR,IR,IR
Aaron Rodgers,,,,,,,,,,,,,,,,O,
Brandon Saine,,,,,,,,,,,,,,D,P,,
Derek Sherrod,,,,,,,,,,,,,,,IR,IR,IR
Sam Shields,,,,,,,D,P,,,,,,,,,
Josh Sitton,,,,,,P,P,P,P,P,P,O,O,P,,,
Shaky Smithson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Vic So'oto,O,O,O,P,,,,,,,,,O,O,,,
James Starks,,,,,,,,,,,D,P,O,D,,D,P
Ryan Taylor,O,P,,,P,,,,,,,,,,,,Q
Brandon Underwood,Q,,,,,,,,,,,,,,,,
Erik Walden,,,,,,,,,,,,,P,,,,
Tramon Williams,,O,P,P,P,,,,,,,,,,,,
Charles Woodson,,,P,P,P,P,P,,,,,,P,,,O,
Frank Zombo,O,O,O,O,O,P,O,P,O,D,D,,,,,,
