Player,09/09vs. SFO,09/13vs. CHI,09/24vs. SEA,09/30vs. NOR,10/07vs. IND,10/14vs. HOU,10/21vs. STL,10/28vs. JAX,11/04vs. ARI,11/18vs. DET,11/25vs. NYG,12/02vs. MIN,12/09vs. DET,12/16vs. CHI,12/23vs. TEN,12/30vs. MIN,01/05vs. MIN,01/12vs. SFO
Don Barclay,,,,,,,,,,,,,,,Q,,,
Cedric Benson,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Desmond Bishop,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jarrett Boykin,,,,,,,,,,,,,,,,,D,O
Jaymes Brooks,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,,
Bryan Bulaga,,,,P,,,,,D,IR,IR,IR,IR,IR,IR,IR,IR,IR
Randall Cobb,,,P,,,,,,,,,,,,,Q,P,P
DeMarco Cosby,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tom Crabtree,P,,Q,P,,,,,,,,,,,O,P,,
Mason Crosby,,,,,,,,,,,,,,,,P,,
Evan Dietrich-Smith,,,,,,,,,,,,,,,,P,,
Ray Dominguez,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Donald Driver,,,,,,,,P,P,P,P,Q,P,P,,,,
Jermichael Finley,,,,,,D,P,P,P,,,,,,,,P,P
Rob Francois,P,,,,,,,,,,,,,,,,,
Alex Green,P,Q,,,,,P,,,P,,,,,Q,P,P,P
Davon House,O,D,D,Q,P,P,P,,,,,,,P,,D,P,Q
Greg Jennings,,D,Q,P,D,D,D,O,O,O,Q,P,,,,,,
M.D. Jennings,,,,Q,P,,,,,,,P,,,,,,
Johnny Jones,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
John Kuhn,,,,,,,,O,O,P,P,,,,,,,
T.J. Lang,,,,,,,,P,Q,P,,,Q,P,P,,,
Jamari Lattimore,O,Q,O,P,,,,,,,,,,,,,,
Terrell Manning,,O,P,,,,,,,Q,O,D,Q,Q,,,,
Clay Matthews,,,,,,,,,,O,O,D,D,P,,,,P
Mike McCabe,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jerron McMillian,,,,,,,,,Q,,,,,P,,,,
Dezman Moses,,,,,,,,,,,,,,,,,,P
Mike Neal,,,,,,,Q,,P,D,,,O,P,,,,
Jordy Nelson,,,,,,,,Q,D,P,,Q,D,D,D,P,P,P
Marshall Newhouse,,,,,,,,,,,,P,,P,,,,
Nick Perry,,,P,,,,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ryan Pickett,,,,Q,P,,,,,,,P,,,,,,
Andrew Quarless,,,,,,,,,,O,Q,IR,IR,IR,IR,IR,IR,IR
B.J. Raji,P,,,,Q,Q,O,P,P,,P,,,,,,,
Sean Richardson,P,Q,Q,O,D,O,P,,,,,IR,IR,IR,IR,IR,IR,IR
Aaron Rodgers,,,,P,,,P,P,P,,,,,,P,,,
Brandon Saine,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jeff Saturday,,,,,,,,P,,,,,P,,O,Q,Q,
Derek Sherrod,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,IR,IR,IR,IR,IR,IR,IR,IR,IR
Sam Shields,,,,,,,O,O,O,Q,O,O,P,,,,,
Josh Sitton,,,P,,,,,,,,,,,,,P,,
D.J. Smith,,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Shaky Smithson,IR,,,,,,,,,,,,,,,,,
Vic So'oto,IR,IR,,,,,,,,,P,,,,,,,
James Starks,O,D,Q,P,,,,P,,,,,O,O,O,O,Q,P
Ryan Taylor,,,,,,,,,,P,,,,,,,,
Greg Van Roten,,,,,,,,,,,,,,,Q,,,
Erik Walden,,P,,,,,,,,,P,,,,P,,,
Johnny White,,,,,,,,,,P,,O,IR,IR,IR,IR,,
D.J. Williams,,,,,,Q,P,,,P,,,,,,,,
Tramon Williams,,,,,,,,,,,,,,,,,P,
C.J. Wilson,,Q,Q,,,,,,,,,O,O,P,O,P,,
Charles Woodson,,,,,,,,O,O,O,O,O,O,O,O,O,P,
Jerel Worthy,,,,P,,,,Q,O,P,,,,,Q,P,O,O
Frank Zombo,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,Q,,,,,,,,
