Player,09/09vs. CHI,09/16vs. MIN,09/23vs. WAS,09/30vs. BUF,10/07vs. DET,10/15vs. SFO,10/28vs. LAR,11/04vs. NWE,11/11vs. MIA,11/15vs. SEA,11/25vs. MIN,12/02vs. ARI,12/09vs. ATL,12/16vs. CHI,12/23vs. NYJ,12/30vs. DET
Davante Adams,,Q,,,Q,,,,,,,,,,,Q
Jaire Alexander,,,,,Q,Q,,,,,,,,,,Q
Geronimo Allison,,,,,Q,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR
David Bakhtiari,,,,,,,,,,,,Q,,,,Q
Byron Bell,,,,,,,,,,,,,IR,IR,IR,IR
Hunter Bradley,,,,,,,,,,,,,Q,,,
Bashaud Breeland,,,,,Q,Q,,,,Q,Q,Q,Q,Q,,
Kentrell Brice,,,,,Q,,,,,O,Q,O,Q,,,Q
Fadol Brown,,,,,,,,,,,,,,,,Q
Bryan Bulaga,,,,,,Q,,,Q,,,,D,D,,
Oren Burks,Q,Q,Q,,,,,,,,,,,,,
Ibraheim Campbell,,,,,,,,,,,,,IR,IR,IR,IR
Tra Carson,,,,,,,,,,,,IR,IR,IR,IR,IR
Kenny Clark,,,,,,,,,,,,,,IR,O,IR
Michael Clark,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Randall Cobb,,,,Q,O,Q,Q,Q,Q,O,Q,Q,,,D,
James Crawford,Q,,,,,,,,,,,,,,,
Mike Daniels,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Trevor Davis,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,O,IR,IR,IR,IR
Jimmy Graham,,,,,,,,,,,Q,,,,,
Raven Greene,,,,,,,,,,,IR,IR,O,IR,IR,IR
Davon House,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Aaron Jones,,,,,,,,,,,,,,,IR,IR
Josh Jones,O,O,Q,Q,,,,,,,,,,,,
Kevin King,,,O,Q,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Jake Kumerow,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Q,
Cole Madison,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Blake Martinez,,,,,,,,,Q,Q,,,,,,
Justin McCray,,,,D,Q,Q,,,,,,,,,,
Kyle Murphy,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Lucas Patrick,,,,,Q,,,,,D,Q,,,,,Q
Nick Perry,,,,Q,,,,Q,,O,O,IR,IR,IR,IR,IR
Will Redmond,,,,,,,,,,,,,,,O,IR
Aaron Rodgers,,Q,Q,Q,,,,,,,,,,,,
Jake Ryan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jason Spriggs,,,,,,Q,Q,,,,,,,,D,D
Lane Taylor,,,,,,,,,,,,Q,Q,,,Q
Jermaine Whitehead,,,,,Q,Q,,Q,,,,,,,,
Muhammad Wilkerson,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
