Player,09/05vs. CHI,09/15vs. MIN,09/22vs. DEN,09/26vs. PHI,10/06vs. DAL,10/14vs. DET,10/20vs. OAK,10/27vs. KAN,11/03vs. LAC,11/10vs. CAR,11/24vs. SFO,12/01vs. NYG,12/08vs. WAS,12/15vs. CHI,12/23vs. MIN,12/29vs. DET,01/12vs. SEA,01/19vs. SFO
Davante Adams,,,,,O,O,O,D,Q,,,,,,,,,
Montravius Adams,,,D,O,Q,,,,,,,,,,,,,
Jaire Alexander,,,,,,,,,,Q,,,,,,,,
Geronimo Allison,,,,,,,D,,,,,,,,,,,
Adrian Amos,,,,,,,,,,Q,,,,,,,,
DaShaun Amos,,,,,,,,,,,,,,,,,,/
David Bakhtiari,,Q,,,,,,,,,,,,,,,,
Reggie Begelton,,,,,,,,,,,,,,,,,/,/
Curtis Bolton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tony Brown,,,,,O,D,Q,,,,,Q,Q,,,,,
Bryan Bulaga,,,,,Q,,,,,,,Q,,,,,,
Oren Burks,O,O,O,O,Q,,,,,,,,,,,,,
Ibraheim Campbell,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,
Kenny Clark,,,,,,,Q,,,,,,,,,,Q,
Kyler Fackrell,,,Q,Q,Q,,,,,,,,,,,,,
Jimmy Graham,,,Q,,,,,,,,,,,Q,,,,
Raven Greene,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ka'dar Hollman,Q,Q,,,,,,,,,,,,,,,,
Malcolm Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kevin King,,,,,D,,,,,,,,Q,Q,,,,
Jake Kumerow,,,Q,Q,,,,,,,,,,,,Q,,
Tyler Lancaster,,,,,,,,,,,,,,,,,Q,
Corey Linsley,,,,,,,,Q,,,,,,,,,,
Dean Lowry,,,,,,,,,,,,,,,Q,,,
Cole Madison,,,,,,,,,,,O,IR,IR,IR,IR,IR,IR,IR
Yosuah Nijman,,,,,,,,,,,,,,,IR,IR,IR,IR
Will Redmond,,,,,,,,,,,,Q,,,,D,,
Greg Roberts,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP
Darnell Savage Jr.,,,,,,O,O,Q,,,,,,,,,,
JK Scott,,,,,,,,,,,,,,,,,,Q
Darrius Shepherd,O,O,Q,,,,,,,,,,,,,,,
Za'Darius Smith,,,,Q,,,,,,,,,,,,,,
Jason Spriggs,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Equanimeous St. Brown,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jace Sternberger,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,
Lane Taylor,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Robert Tonyan,,,,,,O,D,D,Q,D,Q,,,,,,,
Billy Turner,,,,,,,,,,,,,Q,,,,,
Marquez Valdes-Scantling,,,,,,,Q,,,,,,,,,,,
Danny Vitale,,,,,,,,,,,Q,,,,,D,Q,Q
Elijah Wellman,,,,,,,,,,,,,,,,,/,/
Dexter Williams,,,,,,,,,,,,,,,,,Q,
Jamaal Williams,,,,,O,,,,,,,,,,,D,,
