Player,09/12vs. IND,09/19vs. WAS,09/26vs. DAL,10/03vs. OAK,10/10vs. NYG,10/17vs. KAN,11/01vs. IND,11/07vs. SDG,11/14vs. JAX,11/21vs. NYJ,11/28vs. TEN,12/02vs. PHI,12/13vs. BAL,12/19vs. TEN,12/26vs. DEN,01/02vs. JAX
Xavier Adibi,,,,P,,D,P,O,D,P,O,O,P,P,,
David Anderson,,,,,,,,,,,O,P,,IR,IR,IR
Mark Anderson,,,,,,,,,P,P,,,,,P,
Dominique Barber,,P,,,P,P,,,IR,IR,IR,IR,IR,IR,IR,IR
Connor Barwin,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kevin Bentley,,,,O,O,D,P,P,P,P,P,P,,,,
Darnell Bing,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mike Brisiel,,,,,,D,Q,P,P,P,,,P,IR,IR,IR
Duane Brown,P,P,,,,,P,,,,,,,,P,
Antoine Caldwell,,,,,,,,,,,,,,,,P
James Casey,,,P,,,,,,,,,,,,,
Shaun Cody,,,,,,,,P,P,P,P,,,,,Q
Brian Cushing,,,,,P,P,,,,,P,P,P,P,P,P
Owen Daniels,P,P,P,P,P,P,P,O,O,D,O,O,P,P,,P
Andre' Davis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dorin Dickerson,,,,,,O,O,,,,,,,,,
Zach Diles,,,,,,,,,,O,P,,,,,
Joel Dreessen,,,P,,,,,,,,,P,P,,,
Arian Foster,,,,,,P,,,,,,,,,P,
Garrett Graham,,,,,,,O,P,P,,,,O,O,O,D
Anthony Hill,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,
Trindon Holliday,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kareem Jackson,P,,,,,,,,,P,,,,,,
Andre Johnson,,P,P,O,P,P,P,P,P,P,P,P,P,P,O,D
Jacoby Jones,,,,,D,P,,,,,,P,,,,
Stanford Keglar,,,,,,,,P,P,P,,,,,,
Vonta Leach,,P,P,,,,,,,,,,,,,
Sherrick McManis,,,,,,D,P,,,,,,,,,IR
Earl Mitchell,,,,,,,D,P,P,,,,,,,Q
Antwaun Molden,D,O,P,,,,,,,,,,,,,
Chris Myers,,,,,,,,,,P,,,,,,
Jesse Nading,,,,,P,O,D,O,O,O,O,O,IR,IR,IR,IR
Amobi Okoye,,P,P,,,,,,,,,,,,,
Karl Paymah,,,,,,,O,O,IR,IR,IR,IR,IR,IR,IR,IR
Bernard Pollard,,,,,P,P,,,,,,,,,,O
Glover Quin,,,,,,,,,P,,P,P,P,P,,
Neil Rackers,,P,,,,,,,,,,,,P,P,P
DeMeco Ryans,,,,P,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Matt Schaub,,,,,,,,,P,P,P,P,P,P,P,
Darryl Sharpton,,,,O,P,O,O,P,,,,,,P,,IR
Steve Slaton,P,,,,,,,,,,,,,,,
Antonio Smith,,P,,,,,,,,,,,,,,
Ben Tate,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Matt Turk,,,,,,,,,,P,,,,,,
Kevin Walter,,P,,,,,,,,P,,P,,P,,
Derrick Ward,,,,,P,P,,,,,,,,,,
Jon Weeks,,,,,,,,,,,P,,,,,
Mario Williams,P,P,P,P,P,P,,P,P,P,P,P,P,IR,IR,IR
Torri Williams,,,,,,,,,,,,IR,IR,IR,IR,IR
Eugene Wilson,,P,,D,P,,,,,,,,,,,
Eric Winston,,,,,,,,,,,,P,P,P,,
