Player,09/11vs. IND,09/18vs. MIA,09/25vs. NOR,10/02vs. PIT,10/09vs. OAK,10/16vs. BAL,10/23vs. TEN,10/30vs. JAX,11/06vs. CLE,11/13vs. TAM,11/27vs. JAX,12/04vs. ATL,12/11vs. CIN,12/18vs. CAR,12/22vs. IND,01/01vs. TEN,01/07vs. CIN,01/15vs. BAL
Mister Alexander,,,,,,,,,,P,P,P,P,P,P,,,P
Jason Allen,,P,,,P,P,,,P,P,P,P,P,P,P,P,P,P
Thomas Austin,,O,O,O,P,O,,O,O,O,,,,,,,,
Dominique Barber,,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Connor Barwin,,,,,,,,,P,P,,,,,,,,
Bryan Braman,,,,P,,,,P,P,P,P,,,,,,P,P
Mike Brisiel,,,P,P,,P,P,P,P,P,,P,P,O,O,O,P,P
Duane Brown,,,,,,,P,,P,P,,,,,,,,
Tim Bulman,,,,,,,,P,,,O,O,O,O,P,,,P
Rashad Butler,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Antoine Caldwell,P,P,,,,,O,O,O,P,,,,,P,,P,
Roc Carmichael,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
James Casey,,,,,,D,D,P,P,P,P,,P,,P,,P,P
Shaun Cody,,P,,,,,,,,,,P,,,P,P,P,P
Brian Cushing,,,P,,,,P,P,P,P,,P,P,,,,,
Owen Daniels,,,,,,,,,,,P,P,,,P,O,P,P
Devard Darling,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jake Delhomme,,,,,,,,,,,,,P,,,,,
Tim Dobbins,,,,,D,P,,,,,,P,,,,,,
Joel Dreessen,,,,P,,P,,,,,,P,P,P,P,P,P,P
Arian Foster,Q,,D,P,P,P,,,,,,,,,,,P,
Garrett Graham,,,,,,P,,,,,D,O,O,O,Q,,,
Brandon Harris,,P,,,,O,,,,,,,O,P,P,,,
Brett Hartmann,,,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Kareem Jackson,,,,O,Q,P,,,,,,,,,,,,
Tim Jamison,,,,,,,,,,,,,,,P,,,
Lestar Jean,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Andre Johnson,,,,P,O,O,O,O,O,D,P,P,O,D,O,P,P,P
Bryant Johnson,,,,,Q,P,,,,,,,,,,P,P,
Jacoby Jones,,,Q,P,P,P,P,,,,,,,,P,,,
Johnathan Joseph,,,P,P,P,P,P,P,,,,P,,,P,,P,P
Matt Leinart,,,,,,,P,Q,,,,IR,IR,IR,IR,IR,IR,IR
Jeff Maehl,,,,,,,,,,,,,,,P,P,,
Danieal Manning,,,,,,,P,O,O,O,P,P,,,,,,
Brice McCain,,,,,P,P,,,,,,,P,,,,,
Sherrick McManis,,P,O,D,Q,P,,,P,O,,,,O,O,O,P,P
Earl Mitchell,P,P,,,,,,,,P,P,,,,P,P,,
Chris Myers,,,,,P,,,P,P,,,,,P,P,P,P,P
Jesse Nading,,,,,,,,,,,P,,,P,P,,,
Derek Newton,,,,,,,,,,,,,,,,P,P,
Troy Nolan,,,,,,,,,,,,,,,O,O,O,O
Glover Quin,P,,,,,,,,,,,P,P,,P,,P,
Neil Rackers,,,,,,,,,,,,,,,P,,,
Brooks Reed,P,P,,,,,,,,,,,,,,,,P
DeMeco Ryans,P,P,P,P,Q,Q,P,P,P,,P,,,,,,,
Matt Schaub,,,P,,,P,P,,,,IR,IR,IR,IR,IR,IR,IR,IR
Darryl Sharpton,,,,,,,P,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Antonio Smith,,P,,,P,P,,,,P,P,P,P,,P,,,
Wade Smith,,,,,,,,,,P,,P,,,,,,
Ben Tate,,P,P,P,Q,P,,,P,P,,,,,P,,,P
Lawrence Vickers,,,,P,,,,,,,O,O,P,P,,,,
Kevin Walter,,D,P,P,,P,,P,P,P,,,P,P,P,,,
Derrick Ward,,O,O,D,Q,P,,,,,,,,,,,,
J.J. Watt,,,,,,,,,,,,P,,P,,,,
Jon Weeks,P,,,,,,,,,,,,,,,,,
Mario Williams,P,P,P,P,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Eric Winston,,,,,,,,P,P,P,,,P,,,P,P,P
T.J. Yates,,,,,,,,,,,,,,P,P,P,P,P
