Player,09/09vs. SDG,09/15vs. TEN,09/22vs. BAL,09/29vs. SEA,10/06vs. SFO,10/13vs. STL,10/20vs. KAN,11/03vs. IND,11/10vs. ARI,11/17vs. OAK,11/24vs. JAX,12/01vs. NWE,12/05vs. JAX,12/15vs. IND,12/22vs. DEN,12/29vs. TEN
Alan Bonner,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
A.J. Bouye,P,,,,,,,,,,,,,,,
Bryan Braman,,,,,P,P,,,,,,,,,,
Brandon Brooks,,,,,D,P,P,P,P,P,,,,,,
Duane Brown,,P,O,Q,Q,P,P,P,,,P,,,,,
Jake Byrne,,,,,,,,,,,,,,Q,,
Brian Cushing,P,P,P,,P,P,P,IR,IR,IR,IR,IR,IR,IR,IR,IR
Owen Daniels,,P,Q,P,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tim Dobbins,,,Q,O,D,D,O,,,,,,,,,
Arian Foster,P,P,P,P,P,P,,,O,IR,IR,IR,IR,IR,IR,IR
Andrew Gardner,,,,,,,,,P,P,,,,,,
Tavares Gooden,,,,,,,,,Q,,,,,,,
Garrett Graham,P,P,P,P,P,,,,P,,,,,O,D,IR
Ryan Griffin,,,,,,,,,,O,P,,,,,P
Ryan Harris,,,,,,P,,,,,,,,,,
DeAndre Hopkins,P,,,,,,,,,,P,,,Q,P,P
Kareem Jackson,,,,Q,,,,,,D,O,Q,P,P,,
Tim Jamison,,P,,,,,,,,,,,,,,
Andre Johnson,,,P,Q,P,Q,P,,,,,,,,P,P
Dennis Johnson,,,,,,,,,,,,,,,,D
Ben Jones,,,,,,,,,,P,P,,,,,
Greg Jones,,,,,P,,Q,,,,,,Q,P,Q,P
Johnathan Joseph,,,,Q,,,,,,,,,P,P,,IR
Deji Karim,,,,,,,,,,,,,,,,IR
Case Keenum,,,,,,,,,,,,,,P,O,O
Shiloh Keo,,P,,,,,,P,P,P,P,P,P,P,,
Shane Lechler,,,,,,,,,,Q,,,,,,
Alec Lemon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Elbert Mack,,,,,,,,,,O,O,P,,,,
Danieal Manning,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Keshawn Martin,,,,,,Q,P,P,P,P,,,,,,
Joe Mays,,P,P,,,,,,,Q,P,P,P,P,P,O
Brice McCain,P,P,P,P,P,P,P,P,P,P,,Q,P,P,,
Whitney Mercilus,P,,,,,,,,,,,,,,,
Earl Mitchell,,,,,,,,P,P,,,,,,,
Mike Mohamed,,,,,,,,,O,Q,Q,P,P,,,
Sam Montgomery,P,,,,,,,,,,,,,,,
Chris Myers,,P,P,P,P,P,P,,,,P,,P,,,
Derek Newton,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Eddie Pleasant,P,,,P,P,P,P,P,,,,,,,,
DeVier Posey,P,P,P,P,P,P,P,P,,P,,,,,O,O
David Quessenberry,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brooks Reed,P,P,,,,,,,,,,,,,,P
Ed Reed,D,Q,Q,P,P,P,,,,,,,,,,
Matt Schaub,,,,P,,,D,P,,,,,,,,
Darryl Sharpton,D,P,P,Q,D,P,P,P,P,P,Q,P,P,P,P,P
Brad Smelley,,,,,,,,,,,,,,,P,IR
Antonio Smith,,P,,,,P,,,,,,,,,P,P
Wade Smith,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Jawanza Starling,,,,,,,,,,,O,O,P,,,
D.J. Swearinger,,,,,,,,,,,,,P,P,P,P
Jeff Tarpinian,,,,,,,,,,,Q,P,P,P,,
Ben Tate,,P,P,P,P,P,P,P,P,P,P,P,P,P,IR,IR
Justin Tuggle,,,,,,,,,,,,,,,P,P
Josh Victorian,,,,,,,,,,,,,,P,P,P
J.J. Watt,,P,,,P,P,,,,P,P,,,,P,
Brennan Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Trevardo Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
T.J. Yates,,,,,,,,,,,,,,P,P,P
