Player,09/13vs. KAN,09/20vs. CAR,09/27vs. TAM,10/04vs. ATL,10/08vs. IND,10/18vs. JAX,10/25vs. MIA,11/01vs. TEN,11/16vs. CIN,11/22vs. NYJ,11/29vs. NOR,12/06vs. BUF,12/13vs. NWE,12/20vs. IND,12/27vs. TEN,01/03vs. JAX,01/09vs. KAN
Oday Aboushi,,,,,,P,P,,,,,,,,,,
Jeff Adams,,P,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Lonnie Ballentine,O,O,O,O,Q,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Alfred Blue,,,,,,Q,P,,,,P,P,P,P,P,P,P
A.J. Bouye,,,,,,P,,,,,P,,,,,P,P
Brandon Brooks,,,,P,,,Q,Q,,,,,P,,,,
Duane Brown,P,Q,O,Q,P,P,P,,P,,,,P,,,,IR
Max Bullough,,,,,P,,,,P,P,P,P,P,P,P,P,P
Chris Clark,,,P,,,,,,,,,,,,,,
Reshard Cliett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jadeveon Clowney,P,,,P,P,O,Q,P,O,P,P,,P,P,P,O,Q
Christian Covington,P,P,,,,,,,,,P,,P,O,P,,
Jared Crick,,,,,,Q,,,,P,,,,,Q,P,
Brian Cushing,,,,,P,P,P,,,P,,,,P,,,
B.J. Daniels,,,,,,,,,,,,,,,P,P,
Quintin Demps,,,,,O,O,Q,P,,,,,,P,,,P
Akeem Dent,,,,O,O,P,P,O,P,Q,P,P,,,,,
Kurtis Drummond,,,,,,,,,P,,,,,,,,
C.J. Fiedorowicz,,,Q,,,P,,,,,,,,,,,
Arian Foster,O,O,O,Q,P,P,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ryan Griffin,,IR,IR,IR,IR,IR,IR,IR,,,,,,P,P,P,P
Jonathan Grimes,,,Q,O,O,P,P,,,,,,,,,,
Andre Hal,,,,,,,P,,,,,,,,,,
DeAndre Hopkins,,,P,,,,,,,P,,P,P,,,,P
Brian Hoyer,,,,,,,,,,O,P,,,O,Q,P,
Kareem Jackson,,,,,,P,O,O,O,O,P,P,P,P,P,P,P
Charles James,,,,,,,,Q,P,P,P,P,P,,,IR,IR
Kevin Johnson,,P,,,,,,,,P,,,,,,P,P
Ben Jones,,,,,,,P,P,P,P,P,P,P,P,P,P,P
Johnathan Joseph,,,,P,P,,,,,P,P,P,P,,,,
Shane Lechler,,,,,,,,,,,,,,,,,P
Ryan Mallett,,,,P,P,,,,,,,,,,,,
Greg Mancz,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Benardrick McKinney,P,,,,,,O,O,P,,,,,,,,
Whitney Mercilus,,,,,Q,,,,,,P,P,P,P,P,P,P
Mike Mohamed,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Rahim Moore,,,,,,,,,,,,,,,O,P,
Derek Newton,,,P,P,P,P,P,P,P,,P,P,P,,P,P,P
Nick Novak,,,,,,,,,,P,,,,,,,
Jeoffrey Pagan,,,,,,,,,,,,,,,,Q,
Brian Peters,,,,,,Q,P,,,P,,,,,,P,
Eddie Pleasant,,,,P,P,,,,,,P,,,,,,
Chris Polk,,,,,Q,P,P,P,P,Q,P,,P,P,P,P,P
Jay Prosch,,,,,,,,P,,,,,,,,,
David Quessenberry,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tom Savage,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cecil Shorts,,,,,O,P,O,O,P,,,,P,,O,O,P
John Simon,,,,,,,,,,,,P,,,,,P
Jaelen Strong,,,,,,Q,,,,,,,,,,,
Xavier Su'a-Filo,O,O,Q,P,P,,,,,,,P,,,P,P,
Carlos Thompson,O,P,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Nate Washington,,P,,,O,O,P,,P,P,P,,,,,,P
J.J. Watt,,,,,,,,Q,,,,P,P,P,P,P,P
Vince Wilfork,,,,,P,,,,,,,,,,,,
T.J. Yates,,,,,,,,,,,,,,,IR,IR,IR
