Player,09/11vs. CHI,09/18vs. KAN,09/22vs. NWE,10/02vs. TEN,10/09vs. MIN,10/16vs. IND,10/24vs. DEN,10/30vs. DET,11/13vs. JAX,11/21vs. OAK,11/27vs. SDG,12/04vs. GNB,12/11vs. IND,12/18vs. JAX,12/24vs. CIN,01/01vs. TEN,01/07vs. OAK,01/14vs. NWE
Jeff Allen,,Q,,,,O,,,,,,,,O,,,,
Stephen Anderson,,,,O,O,O,,,,,,,,,,,,
Lonnie Ballentine,IR,IR,IR,IR,IR,IR,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Alfred Blue,,,,,,,,,,O,O,Q,,,,,,
Duane Brown,O,O,O,O,Q,,,,,,,,,,,,,
Jadeveon Clowney,,,,,,,,Q,,,,Q,Q,,,O,,
Christian Covington,,Q,,,,,,,,,,,,,,,,
Brian Cushing,,O,O,Q,,,,,,,,Q,Q,,,Q,,
K.J. Dillon,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kurtis Drummond,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tyler Ervin,,,,,,,,,,,O,O,O,Q,,,,
Ka'imi Fairbairn,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
C.J. Fiedorowicz,,,,,,,,,,,,,,O,,,,
Dalton Freeman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Will Fuller,,,,,,Q,,,Q,Q,,,,,,,,
Jonathan Grimes,,,,O,O,O,,Q,Q,O,,,,,,,,
Andre Hal,,,,,,,,,,,,Q,,,,,,
Kareem Jackson,,,,,Q,Q,,,,,,,,,,,,
Kevin Johnson,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Johnathan Joseph,,,,,,,,,,,,,Q,Q,Q,Q,,
Nick Martin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Whitney Mercilus,,,,,,,,,,,,,,Q,,,,
Braxton Miller,,,O,O,,,,,,,,,IR,IR,IR,IR,IR,IR
Lamar Miller,,,,,,,,Q,,,,,,,Q,O,,
Derek Newton,,Q,,,,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brian Peters,,,,,,O,,O,Q,,,,,,,,,
Jay Prosch,,,,,,,,,,Q,Q,,,,,O,,
Gerald Rivers,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tom Savage,,,,,,,,,,,,,O,,,,O,
Brennan Scarlett,,,,,,,IR,IR,IR,IR,IR,IR,IR,,IR,,,
Devon Still,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jaelen Strong,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Soma Vainuku,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tony Washington,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,IR
J.J. Watt,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Vince Wilfork,,,,,,,,,Q,Q,,,,,,,,
