,index,Player,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Year,Salary
0,0,Mark Brunell,8.0,25.0,QB,13,10.0,215.0,6-1,Washington,9/17/1970,1,9.0,Green Bay Packers / 5th / 118th pick / 1993,1995,
1,1,Brian DeMarco,73.0,23.0,G,16,16.0,323.0,6-7,Michigan St.,4/9/1972,Rook,7.0,Jacksonville Jaguars / 2nd / 40th pick / 1995,1995,
2,2,Dave Widell,79.0,30.0,C,16,16.0,303.0,6-7,Boston Col.,5/14/1965,7,7.0,Dallas Cowboys / 4th / 94th pick / 1988,1995,
3,3,Keith Goganious,54.0,27.0,LLB,16,15.0,239.0,6-2,Penn St.,12/7/1968,3,6.0,Buffalo Bills / 3rd / 83rd pick / 1992,1995,
4,4,Joel Smeenge,99.0,27.0,DE,15,15.0,262.0,6-6,Western Michigan,4/1/1968,5,6.0,New Orleans Saints / 3rd / 71st pick / 1990,1995,
5,5,Don Davey,92.0,27.0,DT,16,16.0,273.0,6-4,Wisconsin,4/8/1968,4,6.0,Green Bay Packers / 3rd / 67th pick / 1991,1995,
6,6,Mickey Washington,25.0,27.0,DB,16,16.0,195.0,5-9,Texas A&M,7/8/1968,5,6.0,Phoenix Cardinals / 8th / 199th pick / 1990,1995,
7,7,Jeff Novak,67.0,28.0,G,16,13.0,297.0,6-6,Texas St.,7/27/1967,1,6.0,San Diego Chargers / 7th / 172nd pick / 1990,1995,
8,8,Kelvin Pritchett,94.0,26.0,DT,16,16.0,322.0,6-3,Mississippi,10/24/1969,4,6.0,Dallas Cowboys / 1st / 20th pick / 1991,1995,
9,9,Willie Jackson,80.0,24.0,WR,14,10.0,212.0,6-1,Florida,8/16/1971,Rook,5.0,Dallas Cowboys / 4th / 109th pick / 1994,1995,
10,10,Harry Colon,24.0,26.0,DB,16,16.0,203.0,6-0,Missouri,2/14/1969,4,5.0,New England Patriots / 8th / 196th pick / 1991,1995,
11,11,Vinnie Clark,27.0,26.0,DB,16,16.0,202.0,6-0,Ohio St.,1/22/1969,4,5.0,Green Bay Packers / 1st / 19th pick / 1991,1995,
12,12,James Stewart,33.0,24.0,RB,14,8.0,224.0,6-1,Tennessee,12/27/1971,Rook,5.0,Jacksonville Jaguars / 1st / 19th pick / 1995,1995,
13,13,Tony Boselli,71.0,23.0,T,13,12.0,324.0,6-7,USC,4/17/1972,Rook,5.0,Jacksonville Jaguars / 1st / 2nd pick / 1995,1995,
