,G#,Opp,Spread,Over/Under,Result,vs. Line,OU Result,Year
0,1,HOU,4.0,35.0,"L, 3-10",Lost,Under,1995
1,2,@CIN,8.0,37.0,"L, 17-24",Won,Over,1995
2,3,@NYJ,7.0,36.0,"L, 10-27",Lost,Over,1995
3,4,GNB,10.5,37.0,"L, 14-24",Won,Over,1995
4,5,@HOU,9.5,34.5,"W, 17-16",Won,Under,1995
5,6,PIT,10.5,36.5,"W, 20-16",Won,Under,1995
6,7,CHI,7.5,37.0,"L, 27-30",Won,Over,1995
7,8,@CLE,13.5,37.0,"W, 23-15",Won,Over,1995
8,9,@PIT,10.0,38.0,"L, 7-24",Lost,Under,1995
9,10,SEA,2.0,38.0,"L, 30-47",Lost,Over,1995
10,11,@TAM,7.0,37.0,"L, 16-17",Won,Under,1995
11,12,CIN,2.5,43.0,"L, 13-17",Lost,Under,1995
12,13,@DEN,11.0,42.5,"L, 23-31",Won,Over,1995
13,14,IND,5.0,37.5,"L, 31-41",Lost,Over,1995
14,15,@DET,13.0,46.5,"L, 0-44",Lost,Under,1995
15,16,CLE,4.0,39.5,"W, 24-21",Won,Over,1995
16,1,PIT,4.5,38.0,"W, 24-9",Won,Under,1996
17,2,HOU,-2.5,39.0,"L, 27-34",Lost,Over,1996
18,3,@OAK,6.5,39.0,"L, 3-17",Lost,Under,1996
19,4,@NWE,8.0,39.0,"L, 25-28",Won,Over,1996
20,5,CAR,2.5,39.0,"W, 24-14",Won,Under,1996
21,6,@NOR,2.0,40.5,"L, 13-17",Lost,Under,1996
22,7,NYJ,-7.5,38.5,"W, 21-17",Lost,Under,1996
23,8,@STL,0.0,40.0,"L, 14-17",Lost,Under,1996
24,9,@CIN,2.5,41.0,"L, 21-28",Lost,Over,1996
25,10,BAL,-3.5,44.5,"W, 30-27",Lost,Over,1996
26,11,@PIT,11.0,41.0,"L, 3-28",Lost,Under,1996
27,12,@BAL,4.0,46.0,"W, 28-25",Won,Over,1996
28,13,CIN,-3.0,45.0,"W, 30-27",Push,Over,1996
29,14,@HOU,6.0,42.5,"W, 23-17",Won,Under,1996
30,15,SEA,-5.0,43.0,"W, 20-13",Won,Under,1996
31,16,ATL,-8.5,45.0,"W, 19-17",Lost,Under,1996
32,17,@BUF,8.5,38.0,"W, 30-27",Won,Over,1996
33,18,@DEN,12.5,43.5,"W, 30-27",Won,Over,1996
34,19,@NWE,7.5,44.0,"L, 6-20",Lost,Under,1996
35,1,@BAL,-3.0,43.0,"W, 28-27",Lost,Over,1997
36,2,NYG,-5.5,42.0,"W, 40-13",Won,Over,1997
37,3,PIT,-3.0,40.5,"W, 30-21",Won,Over,1997
38,4,@WAS,1.0,43.5,"L, 12-24",Lost,Under,1997
39,5,CIN,-7.0,45.0,"W, 21-13",Won,Under,1997
40,6,PHI,-3.0,42.0,"W, 38-21",Won,Over,1997
41,7,@DAL,4.5,43.0,"L, 22-26",Won,Over,1997
42,8,@PIT,3.0,44.5,"L, 17-23",Lost,Under,1997
43,9,@TEN,-1.0,43.5,"W, 30-24",Won,Over,1997
44,10,KAN,-5.0,42.0,"W, 24-10",Won,Under,1997
45,11,TEN,-6.0,42.5,"W, 17-9",Won,Under,1997
46,12,@CIN,-6.0,40.5,"L, 26-31",Lost,Over,1997
47,13,BAL,-8.0,43.5,"W, 29-27",Lost,Over,1997
48,14,NWE,-3.5,44.5,"L, 20-26",Lost,Over,1997
49,15,@BUF,-5.0,38.5,"W, 20-14",Won,Under,1997
50,16,@OAK,-2.5,44.0,"W, 20-9",Won,Under,1997
51,17,@DEN,6.5,45.5,"L, 17-42",Lost,Over,1997
52,1,@CHI,-10.0,41.0,"W, 24-23",Lost,Over,1998
53,2,KAN,-3.5,42.5,"W, 21-16",Won,Under,1998
54,3,BAL,-7.0,42.0,"W, 24-10",Won,Under,1998
55,4,@TEN,-3.0,41.0,"W, 27-22",Won,Over,1998
56,5,MIA,-6.5,40.0,"W, 28-21",Won,Over,1998
57,6,@BUF,-3.0,42.5,"L, 16-17",Lost,Under,1998
58,7,@DEN,8.0,48.0,"L, 24-37",Lost,Over,1998
59,8,@BAL,-3.5,42.0,"W, 45-19",Won,Over,1998
60,9,CIN,-10.5,46.5,"W, 24-11",Won,Under,1998
61,10,TAM,-6.5,39.5,"W, 29-24",Lost,Over,1998
62,11,@PIT,2.5,41.0,"L, 15-30",Lost,Over,1998
63,12,@CIN,-7.0,45.0,"W, 34-17",Won,Over,1998
64,13,DET,-7.0,44.5,"W, 37-22",Won,Over,1998
65,14,TEN,-4.0,40.0,"L, 13-16",Lost,Under,1998
66,15,@MIN,13.5,48.0,"L, 10-50",Lost,Over,1998
67,16,PIT,-3.0,41.0,"W, 21-3",Won,Under,1998
68,17,NWE,-8.5,41.0,"W, 25-10",Won,Under,1998
69,18,@NYJ,9.0,43.0,"L, 24-34",Lost,Over,1998
70,1,SFO,-5.5,49.0,"W, 41-3",Won,Under,1999
71,2,@CAR,-9.5,44.0,"W, 22-20",Lost,Under,1999
72,3,TEN,-9.5,45.0,"L, 19-20",Lost,Under,1999
73,4,@PIT,-3.0,42.0,"W, 17-3",Won,Under,1999
74,5,@NYJ,-3.0,40.0,"W, 16-6",Won,Under,1999
75,6,CLE,-17.5,37.5,"W, 24-7",Lost,Under,1999
76,7,@CIN,-12.5,38.0,"W, 41-10",Won,Over,1999
77,8,@ATL,-6.0,41.0,"W, 30-7",Won,Under,1999
78,9,BAL,-13.0,37.0,"W, 6-3",Lost,Under,1999
79,10,NOR,-12.5,35.0,"W, 41-23",Won,Over,1999
80,11,@BAL,-7.0,36.5,"W, 30-23",Push,Over,1999
81,12,PIT,-10.5,37.0,"W, 20-6",Won,Under,1999
82,13,DEN,-9.0,37.5,"W, 27-24",Lost,Over,1999
83,14,@CLE,-14.5,39.0,"W, 24-14",Lost,Under,1999
84,15,@TEN,-3.0,39.0,"L, 14-41",Lost,Over,1999
85,16,CIN,-9.0,39.5,"W, 24-7",Won,Under,1999
86,17,MIA,-8.0,37.5,"W, 62-7",Won,Over,1999
87,18,TEN,-7.0,39.5,"L, 14-33",Lost,Over,1999
88,1,@CLE,-10.5,38.5,"W, 27-7",Won,Under,2000
89,2,@BAL,3.0,36.5,"L, 36-39",Push,Over,2000
90,3,CIN,-13.0,41.0,"W, 13-0",Push,Under,2000
91,4,@IND,3.5,45.0,"L, 14-43",Lost,Over,2000
92,5,PIT,-11.0,38.5,"L, 13-24",Lost,Under,2000
93,6,BAL,-2.5,37.5,"L, 10-15",Lost,Under,2000
94,7,@TEN,6.0,38.0,"L, 13-27",Lost,Over,2000
95,8,WAS,4.0,36.0,"L, 16-35",Lost,Over,2000
96,9,@DAL,4.0,44.5,"W, 23-17",Won,Under,2000
97,10,SEA,-7.5,40.5,"L, 21-28",Lost,Over,2000
