Player,09/08vs. KAN,09/15vs. OAK,09/22vs. SEA,09/29vs. IND,10/06vs. STL,10/13vs. DEN,10/20vs. SDG,10/27vs. SFO,11/10vs. TEN,11/17vs. ARI,11/24vs. HOU,12/01vs. CLE,12/05vs. HOU,12/15vs. BUF,12/22vs. TEN,12/29vs. IND
Russell Allen,,,,,,,Q,P,,,,,,,IR,IR
Tyson Alualu,,,,,,,,,,P,,,,,,
Alan Ball,,Q,Q,P,P,,,,,,,,,Q,P,P
Justin Blackmon,,,,,P,,Q,P,,,,,,,,
Will Blackmon,,,,P,,,,,,,P,P,,,,
Cameron Bradfield,,,,,,,,,,,,P,,,,Q
Andre Branch,,,,,,,P,P,,P,,D,P,,,
Mike Brewster,,,,,,,,,,,,,,,IR,IR
Mike Brown,,Q,D,D,O,P,,,,P,D,Q,P,,,
Stephen Burton,P,,P,O,O,O,D,P,,O,D,D,O,Q,IR,IR
Johnathan Cyprien,,,,,,,Q,Q,,,,,,D,P,P
Brandon Deaderick,,,,,,,,,,,,,,,,IR
Jeremy Ebert,,,,,,,,,,,,,,,IR,IR
Josh Evans,,,,,,,,,,,,,O,P,P,P
Justin Forsett,Q,,,,,,,,,,,O,O,O,IR,IR
Blaine Gabbert,,O,D,P,,O,O,P,,,,,,,,
Dwayne Gratz,Q,O,O,O,O,O,,P,,,P,,,,Q,D
Winston Guy,,,,,,,,,,,P,P,,,,
Jeremy Harris,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mike Harris,,,,,,,,,,,,,P,,,
Geno Hayes,,,,,P,P,,,,,Q,D,P,P,O,O
Luke Joeckel,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Abry Jones,,,,,,,,,,,P,,,,,
Maurice Jones-Drew,,Q,P,P,,,,,P,P,,,,D,D,P
Marcedes Lewis,O,D,O,P,O,O,P,,,,,,P,,P,
Dwight Lowery,,,,D,O,IR,IR,IR,,,,,,,,
Sen'Derrick Marks,,,,,,P,,P,P,P,,,,,,
Stephane Milhim,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jordan Miller,,,,,,,,,,,,,,,,P
Roy Miller,Q,P,P,P,P,P,P,P,P,P,,D,P,P,Q,IR
Jeremy Mincey,Q,,,,O,O,D,P,,,,,,,,
Danny Noble,,,,,,,,,Q,P,P,,,,,
Uche Nwaneri,,P,Q,P,,,,,,,,,,P,,
Austin Pasztor,,,,,,,,,,,,,P,P,P,
Paul Posluszny,,,,,,,,,,O,P,,,,P,P
Taylor Price,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Prosinski,,,,,,,,,,,,,,P,,
Will Rackley,Q,Q,P,Q,,,,,Q,D,P,P,P,,IR,IR
Allen Reisner,,,P,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,
LaRoy Reynolds,,,,,,,,,,,,,,P,,
Denard Robinson,,,,Q,P,,,,P,,,,,,,
Ace Sanders,,,Q,,,,O,P,,,,,,,,P
Josh Scobee,,,,,,,,,,,,,,P,,
Cecil Shorts,,P,,,P,P,D,P,Q,P,P,P,P,O,IR,IR
Nathan Stupar,,,,,,,,,,,,,P,,P,
Kerry Taylor,,,,,,,,,,,P,,,,,
J.T. Thomas,,Q,Q,P,,,,,,,,P,,,,
Jordan Todman,,P,,,,,P,,,,,,,P,,
Stephen Williams,,,,,,,,,D,O,IR,IR,IR,IR,IR,IR
