Player,09/11vs. GNB,09/18vs. SDG,09/25vs. BAL,10/02vs. IND,10/16vs. CHI,10/23vs. OAK,10/27vs. TEN,11/06vs. KAN,11/13vs. HOU,11/20vs. DET,11/27vs. BUF,12/04vs. DEN,12/11vs. MIN,12/18vs. HOU,12/24vs. TEN,01/01vs. IND
Arrelious Benn,,,,,,,,,,,Q,,,,O,
Michael Bennett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Luke Bowanko,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,
Aaron Colvin,,,,,,,,Q,,,Q,,,,IR,IR
Tashaun Gipson,,,Q,,,,,,Q,,,,,,,
Corey Grant,,,,,Q,,,,,,,,,,,
Rashad Greene,,,,,Q,,,,,,,IR,IR,IR,IR,IR
Allen Hurns,,,,,,,,,Q,,,O,O,O,O,Q
Chris Ivory,Q,O,Q,,,,,,,,,O,Q,,,Q
Luke Joeckel,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Abry Jones,,,,,,,,,,,Q,,,,,
Ben Koyack,,,O,O,,,,,,,,,,,,
Marqise Lee,,,,,,,,,,,,,,,,Q
Marcedes Lewis,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Brandon Linder,,,Q,,,,,,,,,,Q,,,
Jeff Linkenbach,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Roy Miller,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Yannick Ngakoue,,,,,,,,,,,,Q,,,,
Jared Odrick,Q,,Q,O,,Q,Q,O,,,IR,IR,IR,IR,IR,IR
Patrick Omameh,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Sean Porter,,,,,,,,,,,,,,,O,
Jeremiah Poutasi,,,,,,,,,,,,,,,IR,IR
Chris Reed,,,,,,,,,,,,,,IR,IR,IR
Denard Robinson,,,,,,,,,,,,,O,O,O,
James Sample,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dan Skuta,,,,Q,,,,,,Q,O,,Q,,,
Chris Smith,,,,,,,,,Q,O,O,,,,,
Neal Sterling,,,,,Q,Q,,,,Q,,,,,O,Q
Julius Thomas,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Peyton Thompson,,,,,,,,,,,,,O,,,
Bryan Walters,,,,,,,,,O,Q,,,,,,
Josh Wells,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,IR,
Jonathan Woodard,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Shane Wynn,,,,,,,,,,,,,,Q,,
T.J. Yeldon,,,,,,,,,,,Q,,,,,IR
