Player,09/09vs. NYG,09/16vs. NWE,09/23vs. TEN,09/30vs. NYJ,10/07vs. KAN,10/14vs. DAL,10/21vs. HOU,10/28vs. PHI,11/11vs. IND,11/18vs. PIT,11/25vs. BUF,12/02vs. IND,12/06vs. TEN,12/16vs. WAS,12/23vs. MIA,12/30vs. HOU
Kenneth Acker,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Eli Ankou,,,,,,,,,D,D,Q,,,,,
A.J. Bouye,,,,,,,,O,O,,,,,,,O
Calais Campbell,,Q,,,,,Q,,,,,,,,,
A.J. Cann,,,Q,Q,,,,,,Q,Q,,,,,
Don Carey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
DJ Chark,,,,,,,,,,,O,O,O,O,O,
Zach Conque,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marcell Dareus,,,,,,,,,,Q,Q,,,,,
Cody Davis,Q,,,,,,,,,,,Q,Q,,,
Kaleb Eulls,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Leonard Fournette,,Q,Q,Q,O,O,O,O,,,,,,,,D
Tashaun Gipson,,,,,,,,,,,,Q,,,,
DeAndre Goolsby,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Corey Grant,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
David Grinnage,IR,IR,IR,IR,IR,,,,Q,IR,IR,IR,IR,IR,IR,IR
Ronnie Harrison,,,,,,,,,,,,,,,O,IR
D.J. Hayden,,,Q,O,O,O,O,D,,,,,,,,Q
Michael Hughes,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Carlos Hyde,,,,,,,,,,,,,,,,Q
Leon Jacobs,,,,,,,,,,,,,,O,IR,IR
Abry Jones,,,,,,,,,,,,,O,,,
Josh Lambo,,,,,,,,,,,,,,IR,IR,O
Marqise Lee,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kapron Lewis-Moore,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Linder,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Lerentee McCray,,,,,,,,,Q,,O,Q,,Q,,
Quenton Meeks,,,,,,,,,O,O,O,Q,,,,
Jaydon Mickens,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Andrew Norwell,,,,,,,,,,,,IR,IR,IR,IR,IR
James O'Shaughnessy,,,,,,,O,O,Q,,,,,,,
Jermey Parnell,,,,,,,,,,,,,,IR,O,IR
Tyler Patmon,,,,,,,,O,,,,,,,,
Niles Paul,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Donald Payne,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,
Jalen Ramsey,,,Q,,,Q,,,,,,Q,,,,
Will Richardson,,,,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cam Robinson,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR
Austin Seferian-Jenkins,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Telvin Smith,,,,,,,,,Q,,,,,,,
Tevaun Smith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Thomas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Carson Tinker,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Josh Walker,,,,,,,,,,IR,IR,IR,IR,O,IR,IR
Josh Wells,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,O
T.J. Yeldon,,,Q,,,,,,,,,,,,,
