Player,09/08vs. KAN,09/15vs. HOU,09/19vs. TEN,09/29vs. DEN,10/06vs. CAR,10/13vs. NOR,10/20vs. CIN,10/27vs. NYJ,11/03vs. HOU,11/17vs. IND,11/24vs. TEN,12/01vs. TAM,12/08vs. LAC,12/15vs. OAK,12/22vs. ATL,12/29vs. IND
D.J. Alexander,,,O,O,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dakota Allen,,,,,,,,,,,,,,,,Q
Alfred Blue,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,
A.J. Bouye,,Q,Q,,,,,,,,,,,,,O
Cody Brown,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,
DJ Chark,,,,,,,,,,,,,,O,Q,
Marcell Dareus,Q,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Seth Devalve,,,,,,,,,,D,O,O,D,,,
Nick Foles,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,
Leonard Fournette,,,,,,,,,,,,,,,,D
Najee Goode,,,,,,,,O,,,,IR,IR,IR,IR,IR
Donnell Greene,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ronnie Harrison,,,,,,,,,,,,O,Q,,,
D.J. Hayden,,,,,Q,,,,Q,,,,,,,
Tre Herndon,,,,,,,,,,,,Q,,,,
Ben Ijalana,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Myles Jack,,,,,,,,,,,,Q,IR,IR,IR,IR
Leon Jacobs,,,,,,,,O,O,,,,,,,
Marqise Lee,,Q,,,,,O,,IR,IR,IR,IR,IR,IR,IR,IR
Devante Mays,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Lerentee McCray,,,,,Q,Q,,,,,IR,IR,IR,IR,IR,IR
KC McDermott,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Taj McGowan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Gardner Minshew II,,,,,,,,,,,,,,,,Q
Yannick Ngakoue,,O,,,,,,,,,,,,,,
Nick O'Leary,,,,,,,,,,,,,,,,Q
James O'Shaughnessy,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cedric Ogbuehi,O,O,,,,,,,,,,,,,,
Josh Oliver,O,O,O,O,O,O,,,,,IR,IR,IR,IR,IR,IR
James Onwualu,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jalen Ramsey,,,,Q,O,Q,,,,,,,,,,
Cam Robinson,D,Q,,,,,,,,,,,,,,
Josh Robinson,,,Q,,,,,,,,,,,,,
Jake Ryan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR
Marcus Simms,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,
Geoff Swaim,,,,Q,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Thomas,,,,,,,,,,,,,,IR,IR,IR
Michael Walker,,,,,,,,,,,,,,,,IR
Dede Westbrook,,,,,,,Q,Q,Q,,,,,,,Q
Leonard Wester,IR,,,,,,,,,,,,,,,
Quincy Williams,,,,,,,,O,O,,,,,IR,IR,IR
