,Division Placement,Points For,Points for Per Game,Points For Ranking,Points Against,Points Against Per Game,Points Against Ranking,Expected Wins,Expected Losses,Team Rating SRS,SRS rank,Strength of Schedule
1960,2,362,25.9,4,253,18.1,1,9.8,4.2,6.81,3,-0.97
1961,2,334,23.9,4,343,24.5,5,6.8,7.2,-0.56,12,.08
1962,1,389,27.8,1,233,16.6,1,10.8,3.2,9.75,3,-1.39
1963,3,347,24.8,3,263,18.8,3,9.2,4.8,5.25,5,-0.75
1964,2,366,26.1,2,306,21.9,4,8.5,5.5,3.75,8,-0.54
1965,3,322,23.0,2,285,20.4,4,8.0,6.0,2.31,11,-0.33
1966,1,448,32.0,1,276,19.7,2,10.6,3.4,11.00,2,-1.28
1967,2,408,29.1,2,254,18.1,3,10.6,3.4,10.27,4,-0.73
1968,1,371,26.5,4,170,12.1,1,12.1,1.9,13.96,3,-0.40
1969,2,359,25.6,2,177,12.6,1,11.8,2.2,11.87,2,-1.13
1970,2,272,19.4,15,244,17.4,8,7.9,6.1,1.52,10,-0.48
1971,1,302,21.6,8,208,14.9,5,9.9,4.1,5.06,8,-1.65
1972,2,287,20.5,15,254,18.1,13,8.0,6.0,2.58,12,.22
1973,2,231,16.5,19,192,13.7,5,8.5,5.5,.95,12,-1.84
1974,3,233,16.6,18,293,20.9,21,5.1,8.9,-2.38,17,1.90
1975,3,282,20.1,13,341,24.4,19,5.5,8.5,-4.25,17,-0.03
1976,4,290,20.7,12,376,26.9,25,4.9,9.1,-4.70,21,1.44
1977,5,225,16.1,17,349,24.9,27,3.7,10.3,-4.95,21,3.91
1978,5,243,15.2,24,327,20.4,22,5.3,10.7,-4.38,25,.87
1979,5,238,14.9,26,262,16.4,5,7.1,8.9,1.41,13,2.91
1980,3,319,19.9,14,336,21.0,19,7.5,8.5,-0.49,16,.57
1981,3,343,21.4,12,290,18.1,10,9.6,6.4,3.20,9,-0.11
1982,4,176,19.6,16,184,20.4,18,4.3,4.7,-0.23,16,.66
1983,5,386,24.1,8,367,22.9,21,8.5,7.5,2.05,8,.86
1984,4,314,19.6,17,324,20.3,15,7.7,8.3,.83,14,1.45
1985,5,317,19.8,18,360,22.5,18,6.8,9.2,-1.60,18,1.09
1986,2,358,22.4,12,326,20.4,13,8.9,7.1,1.05,13,-0.96
1987,5,273,18.2,23,388,25.9,27,4.5,10.5,-8.00,26,-0.34
1988,5,254,15.9,23,320,20.0,15,5.9,10.1,-5.68,26,-1.56
1989,2,318,19.9,17,286,17.9,8,9.0,7.0,1.97,12,-0.03
1990,2,369,23.1,6,257,16.1,5,11.2,4.8,6.72,3,-0.28
1991,2,322,20.1,10,252,15.8,7,10.3,5.7,6.38,5,2.00
1992,2,348,21.8,7,282,17.6,13,10.0,6.0,3.44,10,-0.68
1993,1,328,20.5,8,291,18.2,14,9.1,6.9,2.89,9,.57
1994,2,319,19.9,14,298,18.6,7,8.6,7.4,.87,11,-0.44
1995,1,358,22.4,12,241,15.1,1,11.5,4.5,7.65,3,.33
1996,2,297,18.6,24,300,18.8,11,7.9,8.1,1.84,10,2.02
1997,1,375,23.4,5,232,14.5,1,12.1,3.9,8.40,2,-0.54
1998,4,327,20.4,14,363,22.7,22,7.0,9.0,-3.10,18,-0.85
1999,2,390,24.4,8,322,20.1,13,9.8,6.2,6.82,3,2.57
2000,3,355,22.2,9,354,22.1,19,8.0,8.0,.64,19,.58
2001,4,320,20.0,16,344,21.5,23,7.3,8.7,-1.16,17,.34
2002,4,467,29.2,1,399,24.9,28,9.5,6.5,6.11,4,1.86
2003,1,484,30.3,1,332,20.8,19,11.4,4.6,8.31,1,-1.19
2004,3,483,30.2,2,435,27.2,29,9.0,7.0,5.28,10,2.28
2005,2,403,25.2,6,325,20.3,16,10.0,6.0,7.01,7,2.13
2006,2,331,20.7,15,315,19.7,11,8.5,7.5,.99,15,-0.01
2007,3,226,14.1,31,335,20.9,14,4.5,11.5,-5.46,25,1.36
2008,4,291,18.2,26,440,27.5,29,4.4,11.6,-9.23,30,.09
2009,4,294,18.4,23,424,26.5,29,4.7,11.3,-8.43,28,-0.30
2010,1,366,22.9,14,326,20.4,11,9.1,6.9,-0.69,18,-3.19
2011,4,212,13.3,31,338,21.1,12,4.0,12.0,-8.10,29,-0.23
2012,4,211,13.2,32,425,26.6,25,2.6,13.4,-13.99,32,-0.61
2013,2,430,26.9,6,305,19.1,5,11.1,4.9,6.08,7,-1.74
2014,2,353,22.1,16,281,17.6,2,10.1,5.9,5.65,5,1.15
2015,2,405,25.3,9,287,17.9,3,11.1,4.9,9.00,4,1.62
2016,1,389,24.3,13,311,19.4,7,10.1,5.9,5.60,4,.72
2017,1,415,25.9,6,339,21.2,15,9.9,6.1,3.42,11,-1.33
2018,1,565,35.3,1,421,26.3,24,10.7,5.3,8.89,2,-0.11
2019,1,451,28.2,5,308,19.3,7,11.4,4.6,9.14,4,.20
2020,1,473,29.6,6,362,22.6,10,10.5,5.5,6.80,6,-0.14
2021,3,68,34.0,3,65,32.5,28,1.1,0.9,25.76,5,24.26
