,G#,Opp,Spread,Over/Under,Result,vs. Line,OU Result,Year
0,1,@CIN,8.0,0.0,"W, 24-23",Won,Over,1978
1,2,HOU,4.5,0.0,"L, 17-20",Won,Over,1978
2,3,@NYG,4.5,0.0,"L, 10-26",Lost,Over,1978
3,4,DEN,7.0,0.0,"L, 17-23",Won,Over,1978
4,5,@BUF,3.0,0.0,"L, 13-28",Lost,Over,1978
5,6,TAM,-4.5,0.0,"L, 13-30",Lost,Over,1978
6,7,@OAK,13.5,0.0,"L, 6-28",Lost,Over,1978
7,8,CLE,5.5,0.0,"W, 17-3",Won,Over,1978
8,9,@PIT,14.0,0.0,"L, 24-27",Won,Over,1978
9,10,OAK,6.5,0.0,"L, 10-20",Lost,Over,1978
10,11,@SDG,9.5,0.0,"L, 23-29",Won,Over,1978
11,12,SEA,-2.0,0.0,"L, 10-13",Lost,Over,1978
12,13,SDG,4.5,0.0,"W, 23-0",Won,Over,1978
13,14,BUF,-6.0,0.0,"W, 14-10",Lost,Over,1978
14,15,@DEN,8.0,0.0,"L, 3-24",Lost,Over,1978
15,16,@SEA,6.5,0.0,"L, 19-23",Won,Over,1978
16,1,BAL,-1.0,37.0,"W, 14-0",Won,Under,1979
17,2,CLE,0.0,36.0,"L, 24-27",Lost,Over,1979
18,3,@HOU,5.0,37.0,"L, 6-20",Lost,Under,1979
19,4,OAK,3.0,41.0,"W, 35-7",Won,Over,1979
20,5,@SEA,6.0,43.0,"W, 24-6",Won,Under,1979
21,6,@CIN,0.0,38.0,"W, 10-7",Won,Under,1979
22,7,DEN,1.0,34.0,"L, 10-24",Lost,Push,1979
23,8,NYG,-6.0,36.0,"L, 17-21",Lost,Over,1979
24,9,@DEN,7.0,34.0,"L, 3-20",Lost,Under,1979
25,10,SDG,6.0,37.0,"L, 14-20",Push,Under,1979
26,11,PIT,10.0,38.0,"L, 3-30",Lost,Under,1979
27,12,@OAK,12.0,38.0,"W, 24-21",Won,Over,1979
28,13,@SDG,10.0,38.0,"L, 7-28",Lost,Under,1979
29,14,SEA,1.0,41.0,"W, 37-21",Won,Over,1979
30,15,@BAL,0.0,36.0,"W, 10-7",Won,Under,1979
31,16,@TAM,3.0,33.0,"L, 0-3",Push,Under,1979
32,1,OAK,-3.0,42.0,"L, 14-27",Lost,Under,1980
33,2,SEA,-2.0,38.0,"L, 16-17",Lost,Under,1980
34,3,@CLE,4.0,38.0,"L, 13-20",Lost,Under,1980
35,4,SDG,6.0,42.0,"L, 7-24",Lost,Under,1980
36,5,@OAK,7.0,39.0,"W, 31-17",Won,Over,1980
37,6,HOU,4.0,36.0,"W, 21-20",Won,Over,1980
38,7,@DEN,4.0,40.0,"W, 23-17",Won,Push,1980
39,8,DET,-3.0,40.0,"W, 20-17",Push,Under,1980
40,9,BAL,-1.0,39.0,"L, 24-31",Lost,Over,1980
41,10,@SEA,3.0,40.0,"W, 31-30",Won,Over,1980
42,11,@SDG,8.0,46.0,"L, 7-20",Lost,Under,1980
43,12,@STL,2.0,42.0,"W, 21-13",Won,Under,1980
44,13,CIN,-7.0,36.0,"L, 6-20",Lost,Under,1980
45,14,DEN,2.0,39.0,"W, 31-14",Won,Over,1980
46,15,@PIT,8.0,41.0,"L, 16-21",Won,Under,1980
47,16,@BAL,3.0,42.0,"W, 38-28",Won,Over,1980
48,1,@PIT,10.0,37.0,"W, 37-33",Won,Over,1981
49,2,TAM,-3.0,38.0,"W, 19-10",Won,Under,1981
50,3,SDG,4.0,41.0,"L, 31-42",Lost,Over,1981
51,4,@SEA,2.0,42.0,"W, 20-14",Won,Under,1981
52,5,@NWE,6.0,45.0,"L, 17-33",Lost,Over,1981
53,6,OAK,1.0,37.0,"W, 27-0",Won,Under,1981
54,7,DEN,0.0,37.0,"W, 28-14",Won,Over,1981
55,8,@OAK,3.0,36.0,"W, 28-17",Won,Over,1981
56,9,@SDG,6.0,49.0,"L, 20-22",Won,Under,1981
57,10,CHI,-8.0,40.0,"L, 13-16",Lost,Under,1981
58,11,HOU,-5.0,37.0,"W, 23-10",Won,Under,1981
59,12,SEA,-7.0,41.0,"W, 40-13",Won,Over,1981
60,13,@DET,3.0,44.0,"L, 10-27",Lost,Under,1981
61,14,@DEN,3.5,40.0,"L, 13-16",Won,Under,1981
62,15,MIA,-2.0,39.0,"L, 7-17",Lost,Under,1981
63,16,@MIN,2.5,45.0,"W, 10-6",Won,Under,1981
64,1,@BUF,3.5,35.0,"L, 9-14",Lost,Under,1982
65,2,SDG,3.0,40.0,"W, 19-12",Won,Under,1982
66,3,@NOR,-2.5,31.0,"L, 17-27",Lost,Over,1982
67,4,@RAM,2.0,39.0,"L, 14-20",Lost,Under,1982
68,5,@PIT,6.5,41.0,"L, 14-35",Lost,Over,1982
69,6,RAI,3.0,40.0,"L, 16-21",Lost,Under,1982
70,7,@DEN,6.5,38.0,"W, 37-16",Won,Over,1982
71,8,SFO,3.0,41.0,"L, 13-26",Lost,Under,1982
72,9,NYJ,5.0,42.0,"W, 37-13",Won,Over,1982
73,1,SEA,-2.0,36.5,"W, 17-13",Won,Under,1983
74,2,SDG,3.5,46.0,"L, 14-17",Won,Under,1983
75,3,@WAS,7.0,38.0,"L, 12-27",Lost,Over,1983
76,4,@MIA,7.5,37.0,"L, 6-14",Lost,Under,1983
77,5,STL,-2.5,37.0,"W, 38-14",Won,Over,1983
78,6,@RAI,9.0,40.5,"L, 20-21",Won,Over,1983
79,7,NYG,-2.0,37.5,"W, 38-17",Won,Over,1983
80,8,@HOU,-3.5,43.5,"W, 13-10",Lost,Under,1983
81,9,@DEN,2.5,35.0,"L, 24-27",Lost,Over,1983
82,10,RAI,3.5,45.0,"L, 20-28",Lost,Over,1983
83,11,CIN,2.0,44.0,"W, 20-15",Won,Under,1983
84,12,@DAL,9.0,47.0,"L, 21-41",Lost,Over,1983
85,13,@SEA,3.5,46.5,"L, 48-51",Won,Over,1983
86,14,BUF,-1.0,44.0,"L, 9-14",Lost,Under,1983
87,15,@SDG,4.0,53.5,"L, 38-41",Won,Over,1983
88,16,DEN,2.5,43.0,"W, 48-17",Won,Over,1983
89,1,@PIT,6.5,40.5,"W, 37-27",Won,Over,1984
90,2,@CIN,4.0,47.0,"W, 27-22",Won,Over,1984
91,3,RAI,4.0,47.0,"L, 20-22",Won,Under,1984
92,4,@DEN,0.0,42.5,"L, 0-21",Lost,Under,1984
93,5,CLE,-5.0,40.0,"W, 10-6",Lost,Under,1984
94,6,NYJ,-4.5,41.5,"L, 16-17",Lost,Under,1984
95,7,SDG,2.5,47.0,"W, 31-13",Won,Under,1984
96,8,@NYJ,2.5,43.0,"L, 7-28",Lost,Under,1984
97,9,TAM,-6.0,39.0,"W, 24-20",Lost,Over,1984
98,10,@SEA,5.0,45.0,"L, 0-45",Lost,Push,1984
99,11,HOU,-13.5,41.0,"L, 16-17",Lost,Under,1984
100,12,@RAI,9.0,45.0,"L, 7-17",Lost,Under,1984
101,13,@NYG,7.5,36.5,"L, 27-28",Won,Over,1984
102,14,DEN,4.0,39.0,"W, 16-13",Won,Under,1984
103,15,SEA,4.5,38.0,"W, 34-7",Won,Over,1984
104,16,@SDG,2.0,43.0,"W, 42-21",Won,Over,1984
105,1,@NOR,0.0,43.0,"W, 47-27",Won,Over,1985
106,2,RAI,1.5,45.0,"W, 36-20",Won,Over,1985
107,3,@MIA,4.0,45.0,"L, 0-31",Lost,Under,1985
108,4,SEA,2.0,47.0,"W, 28-7",Won,Under,1985
109,5,@RAI,3.0,41.5,"L, 10-19",Lost,Under,1985
110,6,@SDG,-3.5,46.0,"L, 20-31",Lost,Over,1985
111,7,RAM,0.0,41.0,"L, 0-16",Lost,Under,1985
112,8,DEN,1.0,41.0,"L, 10-30",Lost,Under,1985
113,9,@HOU,1.0,39.0,"L, 20-23",Lost,Over,1985
114,10,PIT,-1.5,38.5,"L, 28-36",Lost,Over,1985
115,11,@SFO,13.0,42.5,"L, 3-31",Lost,Under,1985
116,12,IND,-4.0,41.0,"W, 20-7",Won,Under,1985
117,13,@SEA,8.0,40.5,"L, 6-24",Lost,Under,1985
