Player,09/13vs. BAL,09/20vs. OAK,09/27vs. PHI,10/04vs. NYG,10/11vs. DAL,10/18vs. WAS,10/25vs. SDG,11/08vs. JAX,11/15vs. OAK,11/22vs. PIT,11/29vs. SDG,12/06vs. DEN,12/13vs. BUF,12/20vs. CLE,12/27vs. CIN,01/03vs. DEN
Branden Albert,,,,,,O,O,P,,,,,,,,
Jackie Battle,P,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jovan Belcher,,,,,,,,,P,,,,,,,
Dwayne Bowe,,,O,P,,,,,,,,,,P,,
Colin Brown,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Matt Cassel,O,P,P,,,,,,,,,,,,,
Chris Chambers,,,,,,,,,P,,,,,,,
Jamaal Charles,,,,,,,,,,,,,,,,
Terrance Copper,P,,,,,,,,,,,,,,,
Brad Cottam,,,,,,,,,,,,,,,IR,IR
Devard Darling,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Glenn Dorsey,,,,,,,,,,,,,,O,P,
Brandon Flowers,O,P,P,,,,,,,,,,P,,P,P
Wallace Gilberry,,,,,P,,,,,,,,P,P,,
Mike Goff,,,,,,,,P,IR,IR,IR,IR,IR,IR,IR,IR
David Herron,,,,,,,,,O,D,O,P,,,,
Derrick Johnson,,,O,P,,,,,,,,,,,,
Larry Johnson,,,,,,,,P,,,,,,,,
Maurice Leggett,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Lance Long,,,,,,,,,,,,,,,,
Alex Magee,,,,,P,,,,,,,,,,O,P
Jon McGraw,,,,,,,,D,P,,,,,O,,
DaJuan Morgan,,,,,,,,,,,,P,,,D,IR
Ikechuku Ndukwe,,,,,O,,,,,,,,,,,
Rudy Niswanger,,,,,,,,P,,,,,,,,
Ryan O'Callaghan,,,,,,,P,,,,,,,,P,
Jake O'Connell,,,O,,,,,,,,,,,,,
Jarrad Page,,,,,,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mike Richardson,,,,,,,,P,,,,,,,,
Justin Rogers,,,,,,,,,,D,O,O,O,,D,IR
Dantrell Savage,,,,,,,,,,D,O,D,O,IR,IR,IR
Kolby Smith,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,P,IR,IR,IR,IR,IR
Wade Smith,,,,,,,,,P,,,,,,,
Mike Vrabel,,,,,,,,,P,D,O,P,,,,
Brian Waters,,,P,,,,P,,,,,,,D,P,
