Player,09/13vs. SDG,09/19vs. CLE,09/26vs. SFO,10/10vs. IND,10/17vs. HOU,10/24vs. JAX,10/31vs. BUF,11/07vs. OAK,11/14vs. DEN,11/21vs. ARI,11/28vs. SEA,12/05vs. DEN,12/12vs. SDG,12/19vs. STL,12/26vs. TEN,01/02vs. OAK,01/09vs. BAL
Branden Albert,,,,,Q,,,,,,O,,,,,,
Jackie Bates,,,,,,,,,,,,O,,,,,
Dwayne Bowe,,,,,,,,,,,,,,,,,P
Matt Cassel,,,,,,,,,,,,,D,P,,,
Chris Chambers,,,,,,O,,,,,,,,,,,
Jamaal Charles,,,,,,,,,,,,P,,,,,
Dustin Colquitt,,,,,P,,,,,,,,,,,,
Brandon Flowers,,,,,,,,,,,D,P,,,,,
Wallace Gilberry,,P,P,,,,,,,,,,,,,,
Cory Greenwood,,,,,,,,,,,,,,,P,,
Tamba Hali,Q,P,P,,,,,,,,,,,,,,
Tyson Jackson,,O,D,O,O,P,,,,,,,,,,,
Tervaris Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Reshard Langford,,,O,D,O,O,O,,,,,,,,,,
Quinten Lawrence,,,,,,,,,,,,,,,,,P
Maurice Leggett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kendrick Lewis,,,,,,P,,P,O,P,,O,P,,,,
Ryan Lilja,,,,,,,O,P,,,P,P,,,,,
Dexter McCluster,D,,,,,,O,O,O,O,O,,,,,,
Jon McGraw,,O,P,,,,,,Q,O,O,P,,,,,
Tony Moeaki,,,,,,,,,,O,P,,,,,,
Ryan O'Callaghan,O,P,D,O,O,P,,,,,,,,,,,
Cameron Sheffield,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mark Simoneau,,,,,,,,,,IR,,,,,,,
Jerheme Urban,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Donald Washington,,,,,,,,,,,,,O,,O,D,IR
Brian Waters,,,,,,,,,,P,,,,,,,P
