Player,09/07vs. TEN,09/14vs. DEN,09/21vs. MIA,09/29vs. NWE,10/05vs. SFO,10/19vs. SDG,10/26vs. STL,11/02vs. NYJ,11/09vs. BUF,11/16vs. SEA,11/20vs. OAK,11/30vs. DEN,12/07vs. ARI,12/14vs. OAK,12/21vs. PIT,12/28vs. SDG
Husain Abdullah,,P,P,,,,,,,,,,,P,,
Jeff Allen,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Donnie Avery,,,,,D,O,O,O,O,O,D,P,P,O,,
Allen Bailey,,,,,,,,,,,,,O,O,P,
Eric Berry,P,,O,D,O,O,O,P,P,,,O,O,O,O,O
Dwayne Bowe,S,P,P,,,,,,,,,,,,P,P
Tyler Bray,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mike Catapano,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jamaal Charles,,,O,P,P,,P,P,,P,,,P,,P,P
Dustin Colquitt,,,,,,,,,,,,P,P,,,
Sanders Commings,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marcus Cooper,Q,P,,,Q,,,,,,,,,,,
Mike DeVito,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Anthony Fasano,,,,,,,,P,,D,P,P,P,P,P,P
Jamell Fleming,,,,,,,,O,O,O,P,O,O,,,
Dee Ford,,,,,,,,,,,,,P,,,
Jerry Franklin,,,,,,,,,O,,,,,,,
Zach Fulton,,,,,,,,,,,P,,,,P,Q
Phillip Gaines,,,,,,P,,P,P,Q,P,,,D,P,O
Cyrus Gray,,,P,,,Q,P,P,P,IR,IR,IR,IR,IR,IR,IR
Tamba Hali,P,Q,P,P,P,,,,P,P,P,P,P,Q,P,P
Frankie Hammond,,P,P,,,,,,,,,,,,,
Demetrius Harris,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Junior Hemingway,P,P,P,,,,Q,P,P,,,O,O,P,,
Justin Houston,,,,,,,P,,,,,,,,,
Jaye Howard,,,,,,,,,,,,,,,P,
A.J. Jenkins,P,,,,,,,,,O,O,IR,IR,IR,IR,IR
Derrick Johnson,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
James-Michael Johnson,,,,,,,,,,,,,P,P,,
Travis Kelce,,,,,,,P,P,P,P,P,,,,,
Eric Kush,Q,P,O,,,,,,,,,,,,,
Josh Martin,P,P,P,,,,,O,O,P,,,,,,P
Josh Mauga,,,,,,,,,,P,,,P,,P,
Joe Mays,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,P,P,P
Mike McGlynn,,,,,,,,P,,,P,,P,,,
Joe McKnight,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Owens,,,,,P,O,O,O,Q,O,O,Q,P,P,P,
Alex Smith,,,,,,,,P,,,,,,,,O
Sean Smith,,,,P,P,Q,P,P,P,P,P,P,P,P,P,
Donald Stephenson,S,S,S,S,P,,,,,,,P,,,,
De'Anthony Thomas,D,O,O,O,P,,,,,,,,,,,
Kevin Vickerson,,,,,,,,,,,,Q,,,,Q
Vance Walker,P,,,P,,,,,,,,,,,,
Albert Wilson,P,O,O,,,,,,,,,,,,,
Frank Zombo,P,,,,P,,,,,,,,,,,
