Player,09/13vs. HOU,09/17vs. DEN,09/28vs. GNB,10/04vs. CIN,10/11vs. CHI,10/18vs. MIN,10/25vs. PIT,11/01vs. DET,11/15vs. DEN,11/22vs. SDG,11/29vs. BUF,12/06vs. OAK,12/13vs. SDG,12/20vs. BAL,12/27vs. CLE,01/03vs. OAK,01/09vs. HOU,01/16vs. NWE
Husain Abdullah,,P,,,,,P,,,,,O,O,O,O,Q,Q,
D.J. Alexander,,P,,,,,,,,,,,,,,,,
Jeff Allen,Q,P,P,,,,,,,,,Q,Q,Q,P,P,P,P
Jason Avant,P,P,,P,,,,,,,,,,,,,,
Allen Bailey,,,,,,,,,O,O,O,Q,P,,,,,
Tyvon Branch,,,,,,,,,,Q,,,,,,,,
Tyler Bray,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jamaal Charles,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dustin Colquitt,,,,,,,,,,,,P,P,,,,,
Chris Conley,P,,,P,,,,,,,P,P,,,,,P,
Marcus Cooper,,,,,,,,,,,,P,,,,,,
Chase Daniel,,,,,,,,,,,,,,P,,,,
Mike DeVito,,,,,,,O,O,P,,P,P,O,P,,,,
Paul Fanaika,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Eric Fisher,Q,P,P,,,,,,,,,P,,,,,,
Jamell Fleming,,,,P,,P,,,,,P,,,,,,,
Dee Ford,,,,,,,,,,,O,P,,,P,P,Q,
Zach Fulton,,,,,,,,,,,,,,,,,,P
Phillip Gaines,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Richard Gordon,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ben Grubbs,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tamba Hali,,P,,,,Q,Q,Q,P,P,P,P,P,P,Q,Q,Q,Q
Demetrius Harris,P,P,P,,,,,,,,,,,,,,,
Justin Houston,,,,,,,P,,,,,O,O,O,O,Q,P,Q
Travis Kelce,P,P,,,P,P,P,P,P,P,Q,P,P,P,P,P,P,P
Jeremy Maclin,,P,,,,,Q,P,,,,,,,,,P,Q
Justin March,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Josh Mauga,P,P,P,P,O,O,Q,P,,,,P,,,,,,P
Mitch Morse,,,,,,,,,,,,O,P,,,,O,O
Rakeem Nunez-Roches,P,,,,,,,,,,,,,,,,,
James O'Shaughnessy,,,,,P,P,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brian Parker,,,,,,P,,,,,P,,,,,,,
Dontari Poe,P,P,,,,O,Q,P,,,,,,,,,,
Jah Reid,,,,,,,,,,,,,,,,Q,P,P
Cairo Santos,,,,,,,P,,,,,,,,,,,
Alex Smith,,,,,,,P,P,,,,,,,,,,
Sean Smith,,,,,,,,,,P,,,,,,,,
Donald Stephenson,,,P,,,,,,,,,,,,,,,
De'Anthony Thomas,P,P,P,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Spencer Ware,,,,,,,,,,,,P,,Q,P,P,P,Q
Charcandrick West,,P,P,,,,,P,,,Q,P,,,,,,
Albert Wilson,P,P,P,Q,Q,,,,,,,,,,,P,,Q
Ramik Wilson,,,,,,,D,O,Q,Q,P,,,,,,,
