Player,09/07vs. NWE,09/17vs. PHI,09/24vs. LAC,10/02vs. WAS,10/08vs. HOU,10/15vs. PIT,10/19vs. OAK,10/30vs. DEN,11/05vs. DAL,11/19vs. NYG,11/26vs. BUF,12/03vs. NYJ,12/10vs. OAK,12/16vs. LAC,12/24vs. MIA,12/31vs. DEN,01/06vs. TEN
Kenneth Acker,,,,,,,,,,,,,,,,Q,
Allen Bailey,,,,,,,,,,O,Q,,,,,,
Isaiah Battle,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Eric Berry,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Reshard Cliett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Conley,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Laurent Duvernay-Tardif,,,,,O,O,O,Q,,,,,,,,,
Parker Ehinger,D,D,D,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR
Cameron Erving,,,,,,,,,,,,,,,,Q,
Eric Fisher,,,,Q,,,,,,,,,,,,,
Dee Ford,,,,O,O,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Phillip Gaines,,,,,,,,,,,,,,,,,IR
Antwan Goodley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tamba Hali,IR,IR,IR,IR,IR,IR,IR,IR,,O,Q,Q,Q,Q,,Q,Q
Tyreek Hill,,,,,,,,,,,,,,,,O,
Justin Houston,,,,,,,,Q,Q,,,,,,Q,,
Akeem Hunt,,,,,,,,,,,,,,,,Q,IR
Jarvis Jenkins,,,,,,,,,,,,,,,,,Q
Ashton Lampkin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Bennie Logan,,,,,,,,,,,,,,,,D,
Mitch Morse,,,O,O,O,O,O,,,,,,IR,O,IR,IR,IR
Eric Murray,,,,,,,,,,,,O,O,Q,,,
Steven Nelson,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,
Dadi Nicolas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Rakeem Nunez-Roches,,,,,,,,,,,,,,,,Q,D
Ron Parker,Q,Q,,,,,,,,,,,,,,,
Kevin Pierre-Louis,,Q,,Q,,,,,,,,,,Q,,Q,
Reggie Ragland,D,D,,,,,,,,,,,,,,,
Cairo Santos,,,,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,IR,IR,IR
Terrance Smith,,,,,,,,,,,O,,,,,,
Steven Terrell,,,,,,O,,,,,,,,IR,IR,IR,IR
De'Anthony Thomas,,,,,,,,,,,,,,,,,IR
Spencer Ware,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Charcandrick West,,,,,,,O,,,,,O,,,,Q,
Albert Wilson,,,,,,,Q,,O,O,Q,Q,,,,,Q
