Player,09/08vs. JAX,09/15vs. OAK,09/22vs. BAL,09/29vs. DET,10/06vs. IND,10/13vs. HOU,10/17vs. DEN,10/27vs. GNB,11/03vs. MIN,11/10vs. TEN,11/18vs. LAC,12/01vs. OAK,12/08vs. NWE,12/15vs. DEN,12/22vs. CHI,12/29vs. LAC,01/12vs. HOU,01/19vs. TEN,02/02vs. SFO
Blake Bell,,,,,,,,,,,O,,,,,,,,
Bashaud Breeland,,,,,,,Q,,,,,,,,,,,,
Morris Claiborne,,,,,,,,,,,,,O,O,O,O,O,,
Frank Clark,,,,,,,,O,Q,Q,,,Q,Q,,,,,
Felton Davis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Gehrig Dieter,IR,,,,,,,,,,,,,,,,,,
Laurent Duvernay-Tardif,,,,,,,,,O,Q,,,,,,,,,
Cameron Erving,,,,,,,,,,,,,,,,Q,,,
Rashad Fenton,,,,,,,,,,,,,O,O,,,,,
Eric Fisher,,Q,O,O,O,O,O,O,O,O,,,,,,,,,
Kendall Fuller,,,,,,,O,O,Q,Q,Q,,,,,,,,
Davon Grayson,IR,IR,IR,IR,IR,,,,,,,,,,,,,,
Darius Harris,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chad Henne,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,
Tyreek Hill,,O,O,O,O,Q,,,,,,,,,,,,,
Anthony Hitchens,,,,,,Q,,,,,,,,,,,,,
Chris Jones,,,,,,O,O,O,Q,,,,,,,,Q,Q,
Travis Kelce,,,,,,,,,,,,,,,,,Q,,
Marcus Kemp,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Anthony Lanier,,,,,,,,,,,,,,,,,/,/,/
Darron Lee,,,,,,,,Q,,,,,,,,,,,
John Lovett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jordan Lucas,Q,,,,,,,,,,,,Q,,,,,,
Alize Mack,,,,,,,,,,,,,,,,,/,/,/
Patrick Mahomes,,,,,,,,O,Q,,,,,,,,,,
Marcus Marshall,,,,,,,,,,,,,,,,,/,/,/
LeSean McCoy,,,Q,,,,,,,,,,,,,,,Q,
Matt Moore,,,,,,,,,,,,,,,,,,Q,
Dorian O'Daniel,,,,,O,O,,,,,,,,,,,,,
Emmanuel Ogbah,,,,,,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR
Alex Okafor,,,,,Q,,,,O,O,O,,,,IR,IR,IR,IR,IR
Martinas Rankin,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Keith Reaser,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Greg Senat,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Breeland Speaks,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,IR,IR,IR
Juan Thornhill,,,,,,,,,,,,,,,,,IR,IR,IR
Tim Ward,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Spencer Ware,,,,,,,,,,,,,,,,IR,IR,IR,IR
Sammy Watkins,,,,,Q,D,O,,,,,,,,,,,,
David Wells,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Damien Williams,,,O,O,Q,,,,,,Q,O,O,Q,,,,,
Darrel Williams,,,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Xavier Williams,Q,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,Q,,,
Andrew Wylie,,,,,,D,O,O,,,,,,,O,Q,,,
