,Division Placement,Points For,Points for Per Game,Points For Ranking,Points Against,Points Against Per Game,Points Against Ranking,Expected Wins,Expected Losses,Team Rating SRS,SRS rank,Strength of Schedule
1966,4,213,15.2,8,362,25.9,7,3.1,10.9,-9.73,21,.92
1967,3,219,15.6,9,407,29.1,8,2.6,11.4,-12.18,24,1.25
1968,3,276,19.7,6,355,25.4,7,5.0,9.0,-6.53,19,-0.89
1969,5,233,16.6,9,332,23.7,7,4.2,9.8,-6.64,21,.43
1970,2,297,21.2,11,228,16.3,5,9.1,4.9,-1.33,16,-6.26
1971,1,315,22.5,4,174,12.4,3,11.2,2.8,7.69,3,-2.38
1972,1,385,27.5,1,171,12.2,1,12.2,1.8,11.02,1,-4.27
1973,1,343,24.5,5,150,10.7,1,12.3,1.7,13.31,2,-0.47
1974,1,327,23.4,3,216,15.4,6,10.2,3.8,6.13,4,-1.80
1975,2,357,25.5,6,222,15.9,4,10.6,3.4,9.33,2,-0.31
1976,3,263,18.8,15,264,18.9,15,7.0,7.0,-0.08,15,-0.01
1977,2,313,22.4,3,197,14.1,5,10.5,3.5,7.83,5,-0.46
1978,2,372,23.3,2,254,15.9,6,11.4,4.6,7.56,3,.18
1979,1,341,21.3,11,257,16.1,4,10.6,5.4,4.33,5,-0.92
1980,3,266,16.6,24,305,19.1,9,6.7,9.3,-1.56,19,.88
1981,1,345,21.6,11,275,17.2,5,10.1,5.9,2.87,11,-1.50
1982,1,198,22.0,10,131,14.6,2,6.5,2.5,8.24,2,.79
1983,1,389,24.3,7,250,15.6,1,11.8,4.2,7.72,4,-0.97
1984,1,513,32.1,1,298,18.6,7,12.5,3.5,10.55,2,-2.89
1985,1,428,26.8,4,320,20.0,12,10.7,5.3,7.02,4,.27
1986,3,430,26.9,1,405,25.3,26,8.6,7.4,.48,14,-1.09
1987,3,362,24.1,7,335,22.3,16,8.2,6.8,2.09,9,.29
1988,5,319,19.9,17,380,23.8,24,6.4,9.6,-2.82,17,.99
1989,3,331,20.7,15,379,23.7,22,6.7,9.3,-4.81,22,-1.81
1990,2,336,21.0,14,242,15.1,4,11.0,5.0,4.70,9,-1.18
1991,3,343,21.4,6,349,21.8,24,7.8,8.2,-4.12,21,-3.74
1992,1,340,21.3,8,281,17.6,11,9.8,6.2,1.47,12,-2.22
1993,2,349,21.8,5,351,21.9,24,7.9,8.1,-0.45,17,-0.33
1994,1,389,24.3,3,327,20.4,17,9.6,6.4,4.21,6,.34
1995,3,398,24.9,7,332,20.8,10,9.7,6.3,2.72,9,-1.40
1996,4,339,21.2,13,325,20.3,17,8.4,7.6,.29,14,-0.59
1997,2,339,21.2,13,327,20.4,16,8.3,7.7,1.32,13,.57
1998,2,321,20.1,16,265,16.6,1,9.8,6.2,5.88,6,2.38
1999,3,326,20.4,13,336,21.0,19,7.7,8.3,1.89,16,2.52
2000,1,323,20.2,16,226,14.1,3,11.2,4.8,7.11,6,1.05
2001,2,344,21.5,8,290,18.1,11,9.6,6.4,2.72,11,-0.66
2002,3,378,23.6,12,301,18.8,4,10.1,5.9,6.06,5,1.25
2003,2,311,19.4,17,261,16.3,3,9.6,6.4,3.43,11,.31
2004,4,275,17.2,28,354,22.1,20,5.7,10.3,-2.23,18,2.71
2005,2,318,19.9,16,317,19.8,15,8.0,8.0,-0.77,15,-0.83
2006,4,260,16.3,29,283,17.7,5,7.2,8.8,.68,16,2.12
2007,4,267,16.7,26,437,27.3,30,3.8,12.2,-8.37,29,2.25
2008,1,345,21.6,21,317,19.8,9,8.8,7.2,-0.53,19,-2.28
2009,3,360,22.5,15,390,24.4,25,7.2,8.8,1.68,15,3.56
2010,3,273,17.1,30,333,20.8,14,6.2,9.8,.30,15,4.05
2011,3,329,20.6,20,313,19.6,6,8.5,7.5,.95,14,-0.05
2012,2,288,18.0,27,317,19.8,7,7.1,8.9,-2.62,22,-0.81
2013,3,317,19.8,26,335,20.9,8,7.5,8.5,-0.84,16,.29
2014,3,388,24.3,11,373,23.3,20,8.4,7.6,2.56,11,1.62
2015,4,310,19.4,27,389,24.3,19,5.9,10.1,-6.82,28,-1.88
2016,2,363,22.7,17,380,23.8,18,7.6,8.4,-2.40,25,-1.34
2017,3,281,17.6,28,393,24.6,29,5.0,11.0,-6.26,27,.74
2018,2,319,19.9,26,433,27.1,27,5.2,10.8,-8.83,30,-1.71
2019,4,306,19.1,25,494,30.9,32,3.9,12.1,-11.56,32,.19
2020,2,404,25.3,15,338,21.1,6,9.7,6.3,2.97,10,-1.16
2021,1,17,8.5,32,51,25.5,18,0.1,1.9,10.80,9,27.80
