,G#,Opp,Spread,Over/Under,Result,vs. Line,OU Result,Year
0,1,@NYJ,-4.0,0.0,"L, 20-33",Lost,Over,1978
1,2,@BAL,-3.0,0.0,"W, 42-0",Won,Over,1978
2,3,BUF,-12.0,0.0,"W, 31-24",Lost,Over,1978
3,4,@PHI,-2.5,0.0,"L, 3-17",Lost,Over,1978
4,5,STL,-9.0,0.0,"W, 24-10",Won,Over,1978
5,6,CIN,-10.5,0.0,"W, 21-0",Won,Over,1978
6,7,@SDG,4.0,0.0,"W, 28-21",Won,Over,1978
7,8,@NWE,4.5,0.0,"L, 24-33",Lost,Over,1978
8,9,BAL,-12.5,0.0,"W, 26-8",Won,Over,1978
9,10,DAL,-1.0,0.0,"W, 23-16",Won,Over,1978
10,11,@BUF,-7.5,0.0,"W, 25-24",Lost,Over,1978
11,12,@HOU,2.0,0.0,"L, 30-35",Lost,Over,1978
12,13,NYJ,-7.5,0.0,"L, 13-24",Lost,Over,1978
13,14,@WAS,-3.0,0.0,"W, 16-0",Won,Over,1978
14,15,OAK,-6.0,0.0,"W, 23-6",Won,Over,1978
15,16,NWE,-3.5,0.0,"W, 23-3",Won,Over,1978
16,17,HOU,-6.5,0.0,"L, 9-17",Lost,Over,1978
17,1,@BUF,-5.0,39.0,"W, 9-7",Lost,Under,1979
18,2,SEA,-7.0,40.5,"W, 19-10",Won,Under,1979
19,3,@MIN,-7.0,37.0,"W, 27-12",Won,Over,1979
20,4,CHI,-6.0,37.0,"W, 31-16",Won,Over,1979
21,5,@NYJ,-4.0,43.0,"L, 27-33",Lost,Over,1979
22,6,@OAK,-1.0,39.0,"L, 3-13",Lost,Under,1979
23,7,BUF,-6.0,40.0,"W, 17-7",Won,Under,1979
24,8,@NWE,5.0,38.0,"L, 13-28",Lost,Over,1979
25,9,GNB,-11.0,36.0,"W, 27-7",Won,Under,1979
26,10,HOU,-3.0,39.0,"L, 6-9",Lost,Under,1979
27,11,BAL,-6.0,38.0,"W, 19-0",Won,Under,1979
28,12,@CLE,0.0,40.0,"L, 24-30",Lost,Over,1979
29,13,@BAL,-4.0,37.0,"W, 28-24",Push,Over,1979
30,14,NWE,-6.0,38.0,"W, 39-24",Won,Over,1979
31,15,@DET,-7.0,36.0,"W, 28-10",Won,Over,1979
32,16,NYJ,-6.0,45.0,"L, 24-27",Lost,Over,1979
33,17,@PIT,9.5,0.0,"L, 14-34",Lost,Over,1979
34,1,@BUF,-3.0,35.0,"L, 7-17",Lost,Under,1980
35,2,CIN,-7.0,35.0,"W, 17-16",Lost,Under,1980
36,3,@ATL,3.0,40.0,"W, 20-17",Won,Under,1980
37,4,NOR,-7.0,39.0,"W, 21-16",Lost,Under,1980
38,5,BAL,-1.0,36.0,"L, 17-30",Lost,Over,1980
39,6,@NWE,7.0,43.0,"L, 0-34",Lost,Under,1980
40,7,BUF,2.0,35.0,"W, 17-14",Won,Under,1980
41,8,@NYJ,1.0,37.0,"L, 14-17",Lost,Under,1980
42,9,@OAK,7.0,42.0,"L, 10-16",Won,Under,1980
43,10,@RAM,11.0,41.0,"W, 35-14",Won,Over,1980
44,11,SFO,-8.0,43.0,"W, 17-13",Lost,Under,1980
45,12,SDG,4.0,40.0,"L, 24-27",Won,Over,1980
46,13,@PIT,6.0,41.0,"L, 10-23",Lost,Under,1980
47,14,NWE,3.0,43.0,"W, 16-13",Won,Under,1980
48,15,@BAL,3.0,40.0,"W, 24-14",Won,Under,1980
49,16,NYJ,-6.0,40.0,"L, 17-24",Lost,Over,1980
50,1,@STL,0.0,38.0,"W, 20-7",Won,Under,1981
51,2,PIT,-2.0,41.0,"W, 30-10",Won,Under,1981
52,3,@HOU,3.0,37.0,"W, 16-10",Won,Under,1981
53,4,@BAL,-3.0,38.0,"W, 31-28",Push,Over,1981
54,5,NYJ,-6.0,42.0,"T, 28-28",Lost,Over,1981
55,6,@BUF,4.0,39.0,"L, 21-31",Lost,Over,1981
56,7,WAS,-7.0,40.0,"W, 13-10",Lost,Under,1981
57,8,@DAL,6.0,42.0,"L, 27-28",Won,Over,1981
58,9,BAL,-7.0,48.0,"W, 27-10",Won,Under,1981
59,10,@NWE,3.0,46.0,"W, 30-27",Won,Over,1981
60,11,OAK,-5.0,39.0,"L, 17-33",Lost,Over,1981
61,12,@NYJ,2.5,45.0,"L, 15-16",Won,Under,1981
62,13,PHI,3.0,45.0,"W, 13-10",Won,Under,1981
63,14,NWE,-6.5,44.0,"W, 24-14",Won,Under,1981
64,15,@KAN,2.0,39.0,"W, 17-7",Won,Under,1981
65,16,BUF,-3.0,36.0,"W, 16-6",Won,Under,1981
66,17,SDG,2.5,43.0,"L, 38-41",Lost,Over,1981
67,1,@NYJ,2.0,37.0,"W, 45-28",Won,Over,1982
68,2,BAL,-12.5,45.0,"W, 24-20",Lost,Under,1982
69,3,@BUF,1.0,35.0,"W, 9-7",Won,Under,1982
70,4,@TAM,-2.0,33.0,"L, 17-23",Lost,Over,1982
71,5,MIN,-6.0,38.0,"W, 22-14",Won,Under,1982
72,6,@NWE,-6.0,37.0,"L, 0-3",Lost,Under,1982
73,7,NYJ,0.0,35.0,"W, 20-19",Won,Over,1982
74,8,BUF,-3.0,36.0,"W, 27-10",Won,Over,1982
75,9,@BAL,-8.0,36.0,"W, 34-7",Won,Over,1982
76,10,NWE,-7.5,36.0,"W, 28-13",Won,Over,1982
77,11,SDG,1.5,53.0,"W, 34-13",Won,Under,1982
78,12,NYJ,-1.0,38.5,"W, 14-0",Won,Under,1982
79,13,WAS,-3.0,36.5,"L, 17-27",Lost,Over,1982
80,1,@BUF,-4.0,36.5,"W, 12-0",Won,Under,1983
81,2,NWE,-9.5,36.0,"W, 34-24",Won,Over,1983
82,3,@RAI,1.5,39.5,"L, 14-27",Lost,Over,1983
83,4,KAN,-7.5,37.0,"W, 14-6",Won,Under,1983
84,5,@NOR,-3.0,38.5,"L, 7-17",Lost,Under,1983
85,6,BUF,-6.0,34.5,"L, 35-38",Lost,Over,1983
86,7,@NYJ,3.0,40.0,"W, 32-14",Won,Over,1983
87,8,@BAL,-3.5,39.0,"W, 21-7",Won,Under,1983
88,9,RAM,-3.0,45.0,"W, 30-14",Won,Under,1983
89,10,@SFO,2.0,45.0,"W, 20-17",Won,Under,1983
90,11,@NWE,-2.5,42.0,"L, 6-17",Lost,Under,1983
91,12,BAL,-8.5,38.0,"W, 37-0",Won,Under,1983
92,13,CIN,-5.5,43.0,"W, 38-14",Won,Over,1983
93,14,@HOU,-9.0,44.0,"W, 24-17",Lost,Under,1983
94,15,ATL,-8.5,43.5,"W, 31-24",Lost,Over,1983
95,16,NYJ,-8.0,41.5,"W, 34-14",Won,Over,1983
96,17,SEA,-8.0,44.0,"L, 20-27",Lost,Over,1983
97,1,@WAS,4.5,46.0,"W, 35-17",Won,Over,1984
98,2,NWE,-6.0,43.0,"W, 28-7",Won,Under,1984
99,3,@BUF,-8.5,41.0,"W, 21-17",Lost,Under,1984
100,4,IND,-11.0,45.0,"W, 44-7",Won,Over,1984
101,5,@STL,-3.5,50.5,"W, 36-28",Won,Over,1984
102,6,@PIT,-4.5,46.0,"W, 31-7",Won,Under,1984
103,7,HOU,-17.0,44.0,"W, 28-10",Won,Under,1984
104,8,@NWE,-4.0,42.0,"W, 44-24",Won,Over,1984
105,9,BUF,-17.0,45.0,"W, 38-7",Won,Push,1984
106,10,@NYJ,-6.5,45.0,"W, 31-17",Won,Over,1984
107,11,PHI,-14.0,44.0,"W, 24-23",Lost,Over,1984
108,12,@SDG,-7.0,51.0,"L, 28-34",Lost,Over,1984
109,13,NYJ,-13.5,45.0,"W, 28-17",Lost,Push,1984
110,14,RAI,-5.5,42.5,"L, 34-45",Lost,Over,1984
111,15,@IND,-12.0,46.0,"W, 35-17",Won,Over,1984
112,16,DAL,-6.5,47.0,"W, 28-21",Won,Over,1984
113,17,SEA,-5.5,45.0,"W, 31-10",Won,Under,1984
114,18,PIT,-10.0,44.0,"W, 45-28",Won,Over,1984
115,19,SFO,3.0,53.5,"L, 16-38",Lost,Over,1984
116,1,@HOU,-7.5,45.5,"L, 23-26",Lost,Over,1985
117,2,IND,-17.0,45.0,"W, 30-13",Push,Under,1985
118,3,KAN,-4.0,45.0,"W, 31-0",Won,Under,1985
119,4,@DEN,-1.0,47.0,"W, 30-26",Won,Over,1985
120,5,PIT,-7.0,47.5,"W, 24-20",Lost,Under,1985
121,6,@NYJ,-4.0,48.0,"L, 7-23",Lost,Under,1985
122,7,TAM,-13.0,46.0,"W, 41-38",Lost,Over,1985
123,8,@DET,-6.5,47.0,"L, 21-31",Lost,Over,1985
124,9,@NWE,0.0,46.5,"L, 13-17",Lost,Under,1985
125,10,NYJ,-3.5,43.5,"W, 21-17",Won,Under,1985
126,11,@IND,-7.5,47.0,"W, 34-20",Won,Over,1985
127,12,@BUF,-8.5,41.5,"W, 23-14",Won,Under,1985
128,13,CHI,2.0,43.0,"W, 38-24",Won,Over,1985
129,14,@GNB,-4.0,43.0,"W, 34-24",Won,Over,1985
130,15,NWE,-5.0,44.0,"W, 30-27",Lost,Over,1985
131,16,BUF,-17.5,41.0,"W, 28-0",Won,Under,1985
132,17,CLE,-10.5,45.0,"W, 24-21",Lost,Push,1985
133,18,NWE,-5.5,48.0,"L, 14-31",Lost,Under,1985
134,1,@SDG,-1.0,56.0,"L, 28-50",Lost,Over,1986
135,2,IND,-14.0,43.0,"W, 30-10",Won,Under,1986
136,3,@NYJ,-2.0,44.0,"L, 45-51",Lost,Over,1986
137,4,SFO,-3.0,50.5,"L, 16-31",Lost,Under,1986
138,5,@NWE,6.0,48.0,"L, 7-34",Lost,Under,1986
139,6,BUF,-6.5,49.0,"W, 27-14",Won,Under,1986
140,7,RAI,1.0,44.0,"L, 28-30",Lost,Over,1986
141,8,@IND,-9.0,45.0,"W, 17-13",Lost,Under,1986
142,9,HOU,-7.5,46.0,"W, 28-7",Won,Under,1986
143,10,@CLE,3.0,45.0,"L, 16-26",Lost,Under,1986
144,11,@BUF,-1.5,43.5,"W, 34-24",Won,Over,1986
145,12,NYJ,2.0,53.0,"W, 45-3",Won,Under,1986
146,13,ATL,-8.5,44.5,"L, 14-20",Lost,Under,1986
147,14,@NOR,3.5,41.0,"W, 31-27",Won,Over,1986
148,15,@RAM,6.5,44.0,"W, 37-31",Won,Over,1986
149,16,NWE,-3.5,48.0,"L, 27-34",Lost,Over,1986
150,1,@NWE,6.0,47.0,"L, 21-28",Lost,Over,1987
151,2,@IND,-5.0,46.5,"W, 23-10",Won,Under,1987
152,3,@SEA,-3.0,0.0,"L, 20-24",Lost,Over,1987
153,4,KAN,-9.5,0.0,"W, 42-0",Won,Over,1987
154,5,@NYJ,-3.0,0.0,"L, 31-37",Lost,Over,1987
155,6,BUF,-9.5,48.5,"L, 31-34",Lost,Over,1987
156,7,PIT,-6.5,45.0,"W, 35-24",Won,Over,1987
157,8,@CIN,2.0,55.0,"W, 20-14",Won,Under,1987
158,9,IND,-7.0,46.0,"L, 21-40",Lost,Over,1987
159,10,@DAL,2.0,48.0,"W, 20-14",Won,Under,1987
160,11,@BUF,-1.5,46.0,"L, 0-27",Lost,Under,1987
161,12,NYJ,-3.5,45.0,"W, 37-28",Won,Over,1987
162,13,@PHI,1.5,44.0,"W, 28-10",Won,Under,1987
163,14,WAS,-3.0,49.0,"W, 23-21",Lost,Under,1987
164,15,NWE,-5.5,49.0,"L, 10-24",Lost,Under,1987
165,1,@CHI,3.5,46.0,"L, 7-34",Lost,Under,1988
166,2,@BUF,3.0,44.0,"L, 6-9",Push,Under,1988
167,3,GNB,-10.0,43.0,"W, 24-17",Lost,Under,1988
168,4,@IND,2.5,42.0,"L, 13-15",Won,Under,1988
169,5,MIN,3.0,42.0,"W, 24-7",Won,Under,1988
170,6,@RAI,2.5,45.0,"W, 24-14",Won,Under,1988
171,7,SDG,-9.5,40.0,"W, 31-28",Lost,Over,1988
172,8,NYJ,-6.5,43.0,"L, 30-44",Lost,Over,1988
173,9,@TAM,-4.0,46.0,"W, 17-14",Lost,Under,1988
174,10,@NWE,3.5,41.0,"L, 10-21",Lost,Under,1988
175,11,BUF,1.0,41.0,"L, 6-31",Lost,Under,1988
176,12,NWE,-3.0,41.0,"L, 3-6",Lost,Under,1988
177,13,@NYJ,2.5,38.0,"L, 34-38",Lost,Over,1988
178,14,IND,1.0,42.0,"L, 28-31",Lost,Over,1988
179,15,CLE,5.0,44.0,"W, 38-31",Won,Over,1988
180,16,@PIT,2.0,41.0,"L, 24-40",Lost,Over,1988
181,1,BUF,4.0,39.5,"L, 24-27",Won,Over,1989
182,2,@NWE,6.5,43.5,"W, 24-10",Won,Under,1989
183,3,NYJ,-4.0,47.0,"L, 33-40",Lost,Over,1989
184,4,@HOU,7.0,51.5,"L, 7-39",Lost,Under,1989
185,5,CLE,3.5,46.5,"W, 13-10",Won,Under,1989
186,6,@CIN,7.5,45.0,"W, 20-13",Won,Under,1989
187,7,GNB,-3.5,45.5,"W, 23-20",Lost,Under,1989
188,8,@BUF,4.0,41.0,"L, 17-31",Lost,Over,1989
189,9,IND,-3.0,43.0,"W, 19-13",Won,Under,1989
190,10,@NYJ,-3.0,44.0,"W, 31-23",Won,Over,1989
191,11,@DAL,-7.0,44.0,"W, 17-14",Lost,Under,1989
192,12,PIT,-7.5,41.0,"L, 14-34",Lost,Over,1989
193,13,@KAN,4.5,36.0,"L, 21-26",Lost,Over,1989
194,14,NWE,-5.0,43.0,"W, 31-10",Won,Under,1989
195,15,@IND,-1.0,40.5,"L, 13-42",Lost,Over,1989
196,16,KAN,-3.0,41.0,"L, 24-27",Lost,Over,1989
197,1,@NWE,-1.5,39.0,"W, 27-24",Won,Over,1990
198,2,BUF,2.0,42.0,"W, 30-7",Won,Under,1990
199,3,@NYG,6.5,40.0,"L, 3-20",Lost,Under,1990
200,4,@PIT,-2.0,36.0,"W, 28-6",Won,Under,1990
201,5,NYJ,-6.5,45.0,"W, 20-16",Lost,Under,1990
202,6,NWE,-10.0,42.0,"W, 17-10",Lost,Under,1990
203,7,@IND,-2.5,41.0,"W, 27-7",Won,Under,1990
204,8,PHO,-9.5,39.0,"W, 23-3",Won,Under,1990
205,9,@NYJ,-3.5,38.0,"W, 17-3",Won,Under,1990
206,10,RAI,-3.5,37.0,"L, 10-13",Lost,Under,1990
207,11,@CLE,-5.0,36.0,"W, 30-13",Won,Over,1990
208,12,@WAS,3.0,39.0,"L, 20-42",Lost,Over,1990
209,13,PHI,-1.0,42.0,"W, 23-20",Won,Over,1990
210,14,SEA,-4.5,37.0,"W, 24-17",Won,Over,1990
211,15,@BUF,3.5,35.0,"L, 14-24",Lost,Over,1990
212,16,IND,-8.0,41.0,"W, 23-17",Lost,Under,1990
213,17,KAN,-2.5,41.0,"W, 17-16",Lost,Under,1990
214,18,@BUF,7.0,34.0,"L, 34-44",Lost,Over,1990
215,1,@BUF,7.0,42.0,"L, 31-35",Won,Over,1991
216,2,IND,-8.0,42.0,"W, 17-6",Won,Under,1991
217,3,@DET,-3.0,44.0,"L, 13-17",Lost,Under,1991
218,4,GNB,-7.0,38.0,"W, 16-13",Lost,Under,1991
219,5,@NYJ,-2.0,38.0,"L, 23-41",Lost,Over,1991
220,6,@NWE,-6.5,35.0,"W, 20-10",Won,Under,1991
221,7,@KAN,7.0,35.0,"L, 7-42",Lost,Over,1991
222,8,HOU,5.5,42.0,"L, 13-17",Won,Under,1991
223,9,@IND,-9.0,36.0,"W, 10-6",Lost,Under,1991
224,10,NWE,-6.5,35.0,"W, 30-20",Won,Over,1991
225,11,BUF,4.0,46.0,"L, 27-41",Lost,Over,1991
226,12,@CHI,8.0,36.0,"W, 16-13",Won,Under,1991
227,13,TAM,-9.0,38.0,"W, 33-14",Won,Over,1991
228,14,CIN,-8.0,46.0,"W, 37-13",Won,Over,1991
229,15,@SDG,-1.0,38.0,"L, 30-38",Lost,Over,1991
230,16,NYJ,-5.5,44.0,"L, 20-23",Lost,Under,1991
231,1,@CLE,-2.5,38.0,"W, 27-23",Won,Over,1992
232,2,RAM,-8.5,38.0,"W, 26-10",Won,Under,1992
233,3,@SEA,-6.0,35.0,"W, 19-17",Lost,Over,1992
234,4,@BUF,10.5,50.0,"W, 37-10",Won,Under,1992
235,5,ATL,-8.0,44.0,"W, 21-17",Lost,Under,1992
236,6,NWE,-15.0,39.0,"W, 38-17",Won,Over,1992
237,7,IND,-13.5,39.0,"L, 20-31",Lost,Over,1992
238,8,@NYJ,-6.5,39.0,"L, 14-26",Lost,Over,1992
239,9,@IND,-6.5,38.0,"W, 28-0",Won,Under,1992
240,10,BUF,1.0,46.5,"L, 20-26",Lost,Under,1992
241,11,HOU,-3.5,41.0,"W, 19-16",Lost,Under,1992
242,12,@NOR,4.0,37.0,"L, 13-24",Lost,Push,1992
243,13,@SFO,8.0,42.0,"L, 3-27",Lost,Under,1992
244,14,RAI,-6.5,37.0,"W, 20-7",Won,Under,1992
245,15,NYJ,-11.5,37.0,"W, 19-17",Lost,Under,1992
