Player,09/12vs. BUF,09/19vs. MIN,09/26vs. NYJ,10/04vs. NWE,10/17vs. GNB,10/24vs. PIT,10/31vs. CIN,11/07vs. BAL,11/14vs. TEN,11/18vs. CHI,11/28vs. OAK,12/05vs. CLE,12/12vs. NYJ,12/19vs. BUF,12/26vs. DET,01/02vs. NWE
Ikaika Alama-Francis,,O,,,,,,,,,,,,,,
Will Allen,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Deon Anderson,,,,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR
Yeremiah Bell,,,,,,,,P,P,P,,,,,,
Joe Berger,,,,,,,,,,O,P,P,,P,,
Vernon Carey,,,,,,,,,,P,P,,O,IR,IR,IR
Nolan Carroll,,,,P,,,O,,,,,,,P,,D
Chris Clemons,,,,,,,,,P,O,P,,,,P,
Patrick Cobbs,,,,,,,,Q,,,,,,,,
Channing Crowder,D,D,O,D,P,,,P,,P,,D,P,,,
Tyrone Culver,,,,,,,,,O,P,P,,,,,
Karlos Dansby,,,,,,P,,,P,P,P,P,P,,O,O
Tim Dobbins,,,,,,,,,,P,,,,,,
Anthony Fasano,,,,,,,,,P,,,,,,,O
Nate Garner,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jake Grove,P,,,,,,,,,,,,,,,
Al Harris,,,,,,,,,,,,D,IR,IR,IR,IR
Brian Hartline,,,,,,,,,,,,,IR,IR,IR,IR
Chad Henne,,,,,,,,,,D,P,,,,,
John Jerry,,,D,O,Q,Q,,,,,,,,,,
Reshad Jones,,,,,,,O,,,,O,P,,P,,
Kendall Langford,,,,,,,,,,P,,,P,,,
Jake Long,P,,,P,P,,,,P,D,P,P,P,,,
Brandon Marshall,P,,P,,,,,,,,D,O,P,,,
Tony McDaniel,,,,,P,,,,,,,,,,,
Phillip Merling,O,O,O,O,O,O,O,O,O,O,O,P,,,,
Lydon Murtha,,,,,,,,,,,,,,,,O
Jared Odrick,,O,O,O,O,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chad Pennington,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Lousaka Polite,,,,,,P,,,,,,,,,,
Cory Procter,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Sean Smith,,,,,,,,,,,,,P,P,,
Cameron Wake,,,,,,,,,,P,,,,,,
Roberto Wallace,,,,,,,,,O,O,P,,,,,
