Player,09/12vs. NWE,09/18vs. HOU,09/25vs. CLE,10/02vs. SDG,10/17vs. NYJ,10/23vs. DEN,10/30vs. NYG,11/06vs. KAN,11/13vs. WAS,11/20vs. BUF,11/24vs. DAL,12/04vs. OAK,12/11vs. PHI,12/18vs. BUF,12/24vs. NWE,01/01vs. NYJ
Will Allen,,,P,P,,,,,,,,,,,P,
Allen Barbre,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Yeremiah Bell,,,,,,,,P,,,,P,P,P,,
Reggie Bush,,,P,,,P,P,,,,,,,,,O
Vernon Carey,,,,P,,,,,,,,D,P,P,,
Dan Carpenter,,,,,,,,,,O,O,P,,,,
Nolan Carroll,,,,,P,P,P,,O,P,,,,,,
Charles Clay,O,O,P,,,,,,,,,,,,,
Chris Clemons,,O,P,,O,P,P,,,,,,,,,
Marc Colombo,,,,,,,P,P,,,,,,,,P
Ryan Cook,,,,,,,,,,,,,,,,
Karlos Dansby,,,P,,,,,,,,,,,,,
Vontae Davis,,,O,O,P,P,D,O,P,,,,,P,,P
Anthony Fasano,,,,,,,,,,P,,,,P,O,P
Clyde Gates,,,,,,,O,P,P,,,,,,,Q
Chad Henne,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Richie Incognito,,,,,,,O,P,,,,,,,,
Reshad Jones,,,,,,D,P,,,,,,,,,
Kendall Langford,,,,,,,P,P,,,,,,,,
Jake Long,,,,,,,,,,,,,,O,P,IR
Brandon Marshall,,P,P,,,P,,,,,,,,,P,P
Tony McDaniel,,D,O,O,P,,,,,,,,,,,
Koa Misi,,,,O,P,,,,,,,,,O,IR,IR
Marlon Moore,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Matt Moore,,,,,,,P,P,,,,,,P,,
Lydon Murtha,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jared Odrick,,,,,,,P,,,,,,,,,
Igor Olshansky,,,,,,,,,,,O,,,,,
Mike Pouncey,,,,,,,,P,,,,,,,,
Sage Rosenfels,,,,,,,,,,,,O,,,,
Jason Taylor,,P,,,,,,P,,,,,,,,
Daniel Thomas,O,P,,O,P,P,O,P,,,,,,,,P
Cameron Wake,,,,,,P,,,,,,,,,,
Roberto Wallace,,O,D,O,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jimmy Wilson,,,,,,,,,,,,,,,,D
Will Yeatman,,,,,O,O,,,,,,,,,,
