Player,09/08vs. CLE,09/15vs. IND,09/22vs. ATL,09/30vs. NOR,10/06vs. BAL,10/20vs. BUF,10/27vs. NWE,10/31vs. CIN,11/11vs. TAM,11/17vs. SDG,11/24vs. CAR,12/01vs. NYJ,12/08vs. PIT,12/15vs. NWE,12/22vs. BUF,12/29vs. NYJ
Armon Binns,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Sam Brenner,,,,,,,,,,,,P,,,,
Nolan Carroll,,,,,P,,,,P,,,,,Q,P,
Tyson Clabo,,,,,,,,,,P,,,,,,
Chris Clemons,,,Q,Q,P,P,,,P,P,P,Q,P,P,P,P
Will Davis,D,O,P,,,,,,,,,,,,,
John Denney,,,,,,,,,,,,,,,P,
Pat Devlin,D,D,Q,,,,,,,,,,,,,
Michael Egnew,,,,,,,,,,P,,,P,,,
Dannell Ellerbe,,P,P,P,P,D,P,,P,,P,,,,,
Brandon Fields,,,,,,P,,,,P,,,,,,
Jonathan Freeny,P,P,,Q,P,,,,,,,,,,,
Nate Garner,,,P,,,P,,,P,,,,,P,,
Brandon Gibson,,P,,P,Q,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brent Grimes,,,,,,,P,P,,,,,,,P,
Brian Hartline,,,,,,,,,,,,,,,,P
Richie Incognito,,,,,,,,Q,,,,,,,,
Jelani Jenkins,,,,,,,,,Q,P,Q,,,,,
John Jerry,,,P,,,,,,,,,,P,,,
Don Jones,,,,,Q,,,,,,,,,,,P
Reshad Jones,,P,,,,,,,,P,P,,,Q,P,
Dion Jordan,P,P,P,,,P,,,,,,,,,,
Josh Kaddu,,P,Q,,,,,,,,,,,,,
Dustin Keller,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jonathan Martin,,,,,,,,D,O,O,O,O,O,O,O,O
Vaughn Martin,P,,,IR,IR,IR,IR,IR,IR,,,,,,,
Rishard Matthews,,,,,,,,,,,P,P,,,,
Bryant McKinnie,,,,,,,P,P,,,,,,,,
Lamar Miller,,,,,,,,,,,,,,P,,
Koa Misi,,,Q,Q,P,P,P,,Q,P,P,P,,,,P
Marlon Moore,,,,,,,,,,,,P,,,,P
Jared Odrick,,,,,,,,,,,,P,,,,P
Dimitri Patterson,P,Q,O,O,O,Q,P,,D,Q,D,O,Q,IR,IR,IR
Mike Pouncey,,,Q,P,,P,,,,Q,D,P,,,,
Derrick Shelby,,,,,,,,,,,P,,,,,
Dion Sims,P,P,,,,,,D,P,,,,,,,
Paul Soliai,,,D,Q,P,,,,,,,,,P,P,P
Austin Spitler,,,,,,,,,,,,,P,,,
R.J. Stanford,,,,,,,,,,,,,,IR,IR,IR
Caleb Sturgis,,,,,,,,,P,P,,,,,,
Ryan Tannehill,,,P,P,,,P,,,,,,P,,Q,P
Jamar Taylor,O,O,P,,,,,,,,,O,O,O,P,P
Marcus Thigpen,,,,,,,,,,,,P,,,,
Dallas Thomas,,,,,,,,,,,,,,,Q,
Daniel Thomas,,,,,,,,,,P,Q,O,,,,Q
Jason Trusnik,,,,,Q,P,,,,,,,,,,
Olivier Vernon,,,P,,,,,P,,,,,,,P,
Cameron Wake,,,Q,O,,P,P,,,,,,,,,
Mike Wallace,,,P,,,,,,,P,P,,,,,
Philip Wheeler,,,,P,,,,,,,,,,,,
Jimmy Wilson,P,,P,P,,,,,,,P,P,,,,
Will Yeatman,,,,,,P,,,,IR,IR,IR,IR,IR,IR,IR
