Player,09/07vs. NWE,09/14vs. BUF,09/21vs. KAN,09/28vs. OAK,10/12vs. GNB,10/19vs. CHI,10/26vs. JAX,11/02vs. SDG,11/09vs. DET,11/13vs. BUF,11/23vs. DEN,12/01vs. NYJ,12/07vs. BAL,12/14vs. NWE,12/21vs. MIN,12/28vs. NYJ
Walt Aikens,P,P,P,P,,,,,,,,,,P,,
Branden Albert,,,P,P,P,P,P,,,IR,IR,IR,IR,IR,IR,IR
Charles Clay,P,P,Q,P,P,P,P,P,P,P,P,D,Q,P,P,P
Daryn Colledge,,,,,,,,O,D,O,Q,P,P,,,
Will Davis,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Louis Delmas,,,P,,,P,,,,,,,,IR,IR,IR
John Denney,,,,,,P,P,P,,Q,,,,,,
Dannell Ellerbe,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Terrence Fede,O,O,D,P,,,,,,,,,,,,
Cortland Finnegan,,,,P,Q,P,P,P,,O,D,D,D,Q,P,P
A.J. Francis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jonathan Freeny,,,P,P,,,,,,,O,O,O,D,P,P
Nate Garner,,,,,,,,P,,,,D,D,O,O,O
Bruce Gaston,,,P,,,,,,,,,,,,,
Brandon Gibson,,,,P,D,O,P,,,,,,,,,
Mike Gillislee,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brent Grimes,,,,,,,P,,,,,,,,,
Brian Hartline,,,,,,P,,,,,,,P,,,
Ja'Wuan James,,,,,,,,,,,,Q,P,,,
Jelani Jenkins,,,P,Q,P,,,,,,,,P,D,Q,Q
Anthony Johnson,,,,P,,,,,O,O,O,,,IR,IR,IR
Kamal Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Don Jones,,,,,,,,,,,,,,,O,P
Reshad Jones,S,S,S,S,P,,P,,,,,,,,,
Dion Jordan,S,S,S,S,S,P,,,,P,,,,P,,
Jarvis Landry,,,,,,,,,,,P,P,,,,
Arthur Lynch,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Rishard Matthews,,,,,,,,,,,,P,,,,
Chris McCain,P,P,,,,,,O,P,,,,D,O,O,
Lamar Miller,,P,P,,P,P,,,P,P,P,P,,,,
Koa Misi,,O,O,D,P,P,O,Q,Q,P,P,P,,D,P,P
Earl Mitchell,,,,,,,,,Q,P,,,,,,P
Knowshon Moreno,P,,O,O,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jared Odrick,,,,,,,P,,,P,,P,,,,P
Mike Pouncey,O,O,D,D,,,,P,P,P,P,,,,,
Lowell Rose,,,,,,,,,,,,P,,,,
Samson Satele,,,,,P,Q,P,,,,,P,P,,,
Sammy Seamster,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Derrick Shelby,P,,,,,,,S,S,S,,,,,,Q
Kelvin Sheppard,,,,,,,,,O,Q,P,,,,,
Dion Sims,,P,,,,,P,O,O,Q,,,,P,,
Shelley Smith,,,O,D,O,O,,,,,,,,,,
Randy Starks,,P,,O,P,,,,,,,,,,,
Caleb Sturgis,P,,,,,,,,,,,,,,,
Ryan Tannehill,,,,,,P,,,,P,P,P,,,,
Jamar Taylor,P,,,,,,,,,,,O,O,O,P,IR
Dallas Thomas,,,,P,P,P,,,,,,,,,D,O
Daniel Thomas,,,,Q,,,,,,,,,,,D,P
Michael Thomas,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Jordan Tripp,D,O,D,P,,,,,P,,P,,,,P,
Billy Turner,D,D,O,P,,,,,,,,,,,,
Mike Wallace,,P,,P,P,,,,,,P,P,P,,,P
Philip Wheeler,O,P,P,P,P,P,P,,,,,,,,,
Damian Williams,,,,,,P,,,,,,,,,,
Damien Williams,,,,Q,,,,,,,,,,,,
Jimmy Wilson,,,,P,,D,D,P,Q,P,P,P,P,P,P,
