Player,09/08vs. BAL,09/15vs. NWE,09/22vs. DAL,09/29vs. LAC,10/13vs. WAS,10/20vs. BUF,10/28vs. PIT,11/03vs. NYJ,11/10vs. IND,11/17vs. BUF,11/24vs. CLE,12/01vs. PHI,12/08vs. NYJ,12/15vs. NYG,12/22vs. CIN,12/29vs. NWE
Walt Aikens,,,,,,,,Q,,,,,,O,,
Chase Allen,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Johnson Bademosi,Q,,,,Q,,,,,,,,,,,
Kalen Ballage,,,,,Q,,,,,,,,IR,IR,IR,IR
Vince Biegel,,,,,,,,,,,,,,,,Q
Evan Boehm,,,,,,,,,Q,,,,,,Q,
Taco Charlton,,,,,,,,,,Q,Q,,,,Q,Q
Chandler Cox,,,,,,,,,,,,,,D,Q,
James Crawford,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ken Crawley,,,,,,,,,,,,Q,IR,IR,IR,
Julie'n Davenport,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,
Jesse Davis,,,,Q,Q,,,,,,,,,,,
Trevor Davis,,,,,,,,,,,,,O,,,
Andrew Donnal,,,,,,,O,,,,,,,,,
Kenyan Drake,,,,,,,O,,,,,,,,,
Myles Gaskin,,,,,,,,,,,,,,,,IR
Davon Godchaux,,,,,,,,,Q,,,,,,,
Jakeem Grant,,,,,Q,Q,,,,,,IR,IR,IR,IR,IR
Charles Harris,Q,Q,Q,,,,,,,,,,,,,
Trent Harris,Q,Q,Q,Q,Q,,,,,,,,,,,
Tae Hayes,,,,,,,,,,,,,,O,,
Xavien Howard,,,,,Q,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mike Hull,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP
Allen Hurns,,,,O,,,,,,,,,,,,Q
Danny Isidora,Q,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Gary Jennings Jr,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Reshad Jones,,O,O,Q,Q,O,O,D,O,Q,IR,IR,IR,IR,IR,IR
Daniel Kilgore,,Q,,,,O,O,D,Q,,,,,,,
Chris Lammons,,,,,Q,,Q,,,,,,,,,
Jonathan Ledbetter,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ryan Lewis,,,,,,,,Q,,,,Q,,IR,IR,IR
Ricardo Louis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Bobby McCain,Q,Q,Q,Q,Q,,,,,,IR,IR,IR,IR,IR,IR
Raekwon McMillan,,,,,,,,,,Q,,,,,IR,IR
Avery Moss,,,,,,O,Q,Q,Q,Q,,,,,,
Nik Needham,,,,,,,Q,,,,,,,,,
Robert Nkemdiche,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,,
Kendrick Norton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
DeVante Parker,,,,,,,,,,,,,,Q,,
Steven Parker,,,,,,,,,,,,Q,,,,
Jamal Perry,,,,O,Q,,,,,,,,,,,O
Jason Sanders,,,,,,,,,,,,,,,Q,
Zach Sieler,,,,,,,,,,,,,O,,Q,Q
Aqib Talib,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cordrea Tankersley,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP
Andrew Van Ginkel,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,
Clive Walford,,,,,,,,,,,,,,,,O
J'Marcus Webb,,,,,,,,Q,,,,,,,,
Ken Webster,,,,,,,,O,O,O,D,Q,,IR,IR,IR
Christian Wilkins,,,,,,,,,,,,,,,,Q
Preston Williams,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Gerald Willis,,,,,,,,,,,,,,O,IR,IR
Albert Wilson,Q,O,O,Q,Q,,,,,,,,,Q,,
Jonathan Woodard,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
