,index,Player,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Year,Salary
0,0,Fran Tarkenton,10.0,21.0,QB,14,10.0,190.0,6-0,Georgia,2/3/1940,Rook,11.0,"Minnesota Vikings / 3rd / 29th pick / 1961, Boston Patriots / 5th / 35th pick / 1961",1961,
1,1,Jerry Reichow,89.0,27.0,E,14,9.0,217.0,6-2,Iowa,5/19/1934,5,10.0,Detroit Lions / 4th / 38th pick / 1956,1961,
2,2,Grady Alderman,67.0,23.0,T,14,14.0,247.0,6-2,Detroit Mercy,12/10/1938,1,9.0,Detroit Lions / 10th / 111th pick / 1960,1961,
3,3,Jerry Huth,65.0,28.0,G,14,14.0,226.0,6-0,Wake Forest,7/23/1933,5,9.0,New York Giants / 24th / 285th pick / 1956,1961,
4,4,Mike Rabold,64.0,24.0,G,14,14.0,239.0,6-2,Indiana,3/12/1937,2,9.0,Detroit Lions / 2nd / 19th pick / 1959,1961,
5,5,Hugh McElhenny,39.0,33.0,HB,13,13.0,195.0,6-1,Washington,12/31/1928,9,9.0,San Francisco 49ers / 1st / 9th pick / 1952,1961,
6,6,Bill Lapham,52.0,27.0,C,14,13.0,238.0,6-5,"Drake,Iowa",2/2/1934,1,8.0,Philadelphia Eagles / 14th / 160th pick / 1958,1961,
7,7,Frank Youso,72.0,25.0,T,14,13.0,257.0,6-4,Minnesota,7/5/1936,3,8.0,New York Giants / 2nd / 23rd pick / 1958,1961,
8,8,Clancy Osborne,31.0,27.0,LB,14,11.0,218.0,6-3,Arizona St.,11/23/1934,2,5.0,Los Angeles Rams / 27th / 315th pick / 1957,1961,
9,9,Jim Marshall,70.0,24.0,DE,14,14.0,248.0,6-4,Ohio St.,12/30/1937,1,5.0,Cleveland Browns / 4th / 44th pick / 1960,1961,
10,10,Charlie Sumner,26.0,31.0,DB,13,12.0,194.0,6-1,William & Mary,10/19/1930,6,5.0,Chicago Bears / 22nd / 258th pick / 1954,1961,
11,11,Ed Culpepper,71.0,27.0,DT,14,14.0,255.0,6-1,Alabama,1/21/1934,3,5.0,Green Bay Packers / 9th / 101st pick / 1955,1961,
12,12,Jim Prestel,79.0,24.0,DT,14,14.0,275.0,6-5,Idaho,6/28/1937,1,5.0,Cleveland Browns / 6th / 70th pick / 1959,1961,
13,13,Jack Morris,40.0,30.0,DB,14,14.0,189.0,6-0,Oregon,11/1/1931,3,5.0,Los Angeles Rams / 7th / 84th pick / 1956,1961,
14,14,Dave Middleton,84.0,28.0,E,12,12.0,194.0,6-1,Auburn,11/23/1933,6,5.0,Detroit Lions / 1st / 12th pick / 1955,1961,
15,15,Rip Hawkins,58.0,22.0,LB,14,13.0,235.0,6-3,North Carolina,4/21/1939,Rook,5.0,"Boston Patriots / 2nd / 12th pick / 1961, Minnesota Vikings / 2nd / 15th pick / 1961",1961,
16,16,Gordie Smith,87.0,22.0,TE,9,8.0,220.0,6-2,"Arizona St.,Missouri",4/9/1939,Rook,4.0,,1961,
17,17,Mel Triplett,33.0,30.0,FB,14,8.0,215.0,6-1,Toledo,12/24/1931,6,4.0,New York Giants / 5th / 56th pick / 1955,1961,
18,18,Karl Rubke,54.0,26.0,LB,13,13.0,240.0,6-4,USC,12/6/1935,4,4.0,San Francisco 49ers / 5th / 56th pick / 1957,1961,
19,19,Dick Pesonen,22.0,23.0,DB,11,11.0,190.0,6-0,"Minnesota,Minnesota-Duluth",6/10/1938,1,4.0,,1961,
20,20,Rich Mostardo,24.0,23.0,DB,11,9.0,188.0,5-11,"Charleston (WV),Kent St.",7/1/1938,1,4.0,Cleveland Browns / 12th / 141st pick / 1960,1961,
21,21,Ray Hayes,32.0,26.0,FB,13,4.0,235.0,6-3,"Md-Eastern Shore,Central Oklahoma",2/25/1935,Rook,4.0,Minnesota Vikings / 13th / 169th pick / 1961,1961,
22,22,Dean Derby,25.0,26.0,DB,8,8.0,185.0,6-0,Washington,6/11/1935,4,3.0,Los Angeles Rams / 5th / 51st pick / 1957,1961,
23,23,Tommy Mason,20.0,22.0,RB,13,4.0,196.0,6-1,Tulane,7/8/1939,Rook,3.0,"Minnesota Vikings / 1st / 1st pick / 1961, Boston Patriots / 1st / 3rd pick / 1961",1961,
24,24,Don Joyce,83.0,32.0,DE,14,7.0,253.0,6-3,Tulane,10/8/1929,10,3.0,Chicago Cardinals / 2nd / 18th pick / 1951,1961,
25,25,Jim Leo,59.0,24.0,DE,14,7.0,225.0,6-1,Cincinnati,6/18/1937,1,3.0,New York Giants / 3rd / 36th pick / 1960,1961,
26,26,Justin Rowland,47.0,24.0,DB,5,0.0,188.0,6-2,TCU,5/10/1937,1,2.0,Chicago Bears / 12th / 140th pick / 1959,1961,
27,27,A.D. Williams,82.0,28.0,E,13,2.0,210.0,6-2,Pacific,11/21/1933,2,2.0,Los Angeles Rams / 3rd / 32nd pick / 1956,1961,
28,28,Lebron Shields,77.0,24.0,DE,6,0.0,250.0,6-4,Tennessee,7/23/1937,1,2.0,Detroit Lions / 22nd / 256th pick / 1959,1961,
29,29,Will Sherman,43.0,34.0,DB,8,3.0,190.0,6-2,St. Mary's (CA),10/20/1927,9,2.0,New York Yanks / 26th / 311th pick / 1951,1961,
30,30,George Shaw,14.0,28.0,QB,8,4.0,183.0,6-1,Oregon,7/25/1933,6,2.0,Baltimore Colts / 1st / 1st pick / 1955,1961,
31,31,Paul Dickson,76.0,24.0,DT,7,0.0,252.0,6-5,Baylor,2/26/1937,2,2.0,Los Angeles Rams / 1st / 9th pick / 1959,1961,
32,32,Dick Grecni,50.0,23.0,LB,12,5.0,230.0,6-1,Ohio,3/27/1938,Rook,2.0,Cleveland Browns / 13th / 152nd pick / 1960,1961,
33,33,Ken Petersen,66.0,22.0,G,12,1.0,235.0,6-2,Utah,3/26/1939,Rook,2.0,Minnesota Vikings / 14th / 183rd pick / 1961,1961,
34,34,Bill Bishop,73.0,30.0,DT,10,0.0,248.0,6-4,North Texas,5/8/1931,9,2.0,Chicago Bears / 8th / 90th pick / 1952,1961,
35,35,Mike Mercer,18.0,26.0,K,14,0.0,220.0,6-0,"Minnesota,Hardin-Simmons,Arizona St.",11/21/1935,Rook,2.0,Minnesota Vikings / 15th / 197th pick / 1961,1961,
36,36,Bob Schnelker,85.0,33.0,E,6,6.0,214.0,6-3,Bowling Green,10/17/1928,8,1.0,Cleveland Browns / 29th / 377th pick / 1950,1961,
37,37,Dick Haley,25.0,24.0,DB,4,2.0,183.0,5-10,Pittsburgh,10/2/1937,2,1.0,Washington Redskins / 9th / 100th pick / 1959,1961,
38,38,Doug Mayberry,35.0,24.0,FB,4,0.0,220.0,6-1,"California,Utah St.",3/23/1937,Rook,1.0,Minnesota Vikings / 10th / 127th pick / 1961,1961,
39,39,Bob Denton,62.0,27.0,DE,14,1.0,244.0,6-3,Pacific,7/24/1934,1,1.0,Cleveland Browns / 6th / 71st pick / 1959,1961,
40,40,Billy Gault,44.0,25.0,HB,4,0.0,185.0,6-1,TCU,12/19/1936,Rook,0.0,Cleveland Browns / 11th / 153rd pick / 1961,1961,
41,41,Ed Sharockman,45.0,22.0,DB,1,0.0,200.0,6-0,Pittsburgh,11/4/1939,Rook,0.0,"Minnesota Vikings / 5th / 57th pick / 1961, Dallas Texans / 22nd / 174th pick / 1961",1961,
42,42,Fred Murphy,88.0,23.0,E,13,0.0,205.0,6-3,Georgia Tech,2/20/1938,1,0.0,,1961,
43,43,Gene Johnson,27.0,26.0,DB,4,1.0,187.0,6-0,Cincinnati,9/18/1935,2,0.0,Philadelphia Eagles / 9th / 99th pick / 1959,1961,
44,44,Jamie Caleb,23.0,25.0,HB,10,0.0,210.0,6-1,Grambling St.,10/29/1936,1,0.0,Cleveland Browns / 16th / 191st pick / 1959,1961,
45,45,Team Total,,25.9,,14,,218.2,6-1.8,,,2.7,,,1961,
46,0,Tommy Mason,20.0,23.0,RB,14,11.0,196.0,6-1,Tulane,7/8/1939,1,10.0,"Minnesota Vikings / 1st / 1st pick / 1961, Boston Patriots / 1st / 3rd pick / 1961",1962,
47,1,Fran Tarkenton,10.0,22.0,QB,14,14.0,190.0,6-0,Georgia,2/3/1940,1,10.0,"Minnesota Vikings / 3rd / 29th pick / 1961, Boston Patriots / 5th / 35th pick / 1961",1962,
48,2,Jim Marshall,70.0,25.0,DE,14,14.0,248.0,6-4,Ohio St.,12/30/1937,2,7.0,Cleveland Browns / 4th / 44th pick / 1960,1962,
49,3,Rip Hawkins,58.0,23.0,LB,14,14.0,235.0,6-3,North Carolina,4/21/1939,1,6.0,"Boston Patriots / 2nd / 12th pick / 1961, Minnesota Vikings / 2nd / 15th pick / 1961",1962,
50,4,Mick Tingelhoff,53.0,22.0,C,14,14.0,237.0,6-2,Nebraska,5/22/1940,Rook,6.0,,1962,
51,5,Ed Sharockman,45.0,23.0,DB,14,14.0,200.0,6-0,Pittsburgh,11/4/1939,1,6.0,"Minnesota Vikings / 5th / 57th pick / 1961, Dallas Texans / 22nd / 174th pick / 1961",1962,
52,6,Mike Rabold,64.0,25.0,G,14,14.0,239.0,6-2,Indiana,3/12/1937,3,6.0,Detroit Lions / 2nd / 19th pick / 1959,1962,
53,7,Jim Prestel,79.0,25.0,DT,14,14.0,275.0,6-5,Idaho,6/28/1937,2,6.0,Cleveland Browns / 6th / 70th pick / 1959,1962,
54,8,Clancy Osborne,31.0,28.0,LB,14,13.0,218.0,6-3,Arizona St.,11/23/1934,3,6.0,Los Angeles Rams / 27th / 315th pick / 1957,1962,
55,9,Grady Alderman,67.0,24.0,T,14,14.0,247.0,6-2,Detroit Mercy,12/10/1938,2,6.0,Detroit Lions / 10th / 111th pick / 1960,1962,
56,10,Cliff Livingston,55.0,32.0,LB,12,12.0,218.0,6-3,UCLA,7/2/1930,8,6.0,,1962,
57,11,Jim Leo,51.0,25.0,DE,14,14.0,225.0,6-1,Cincinnati,6/18/1937,2,6.0,New York Giants / 3rd / 36th pick / 1960,1962,
58,12,Frank Youso,72.0,26.0,T,13,13.0,257.0,6-4,Minnesota,7/5/1936,4,6.0,New York Giants / 2nd / 23rd pick / 1958,1962,
59,13,Bill Butler,22.0,25.0,DB,14,13.0,189.0,5-10,Chattanooga,7/10/1937,3,6.0,Green Bay Packers / 19th / 217th pick / 1959,1962,
60,14,Paul Dickson,76.0,25.0,DT,14,14.0,252.0,6-5,Baylor,2/26/1937,3,6.0,Los Angeles Rams / 1st / 9th pick / 1959,1962,
61,15,Jerry Huth,65.0,29.0,G,14,12.0,226.0,6-0,Wake Forest,7/23/1933,6,5.0,New York Giants / 24th / 285th pick / 1956,1962,
62,16,Chuck Lamson,21.0,23.0,DB,14,14.0,190.0,6-0,"Iowa St.,Wyoming",3/14/1939,Rook,5.0,Minnesota Vikings / 4th / 43rd pick / 1961,1962,
63,17,Jerry Reichow,89.0,28.0,E,12,12.0,217.0,6-2,Iowa,5/19/1934,6,5.0,Detroit Lions / 4th / 38th pick / 1956,1962,
64,18,Tom Franckhauser,40.0,25.0,DB,14,6.0,195.0,6-0,Purdue,5/26/1937,3,4.0,Los Angeles Rams / 3rd / 33rd pick / 1959,1962,
65,19,Dean Derby,25.0,27.0,DB,11,9.0,185.0,6-0,Washington,6/11/1935,5,4.0,Los Angeles Rams / 5th / 51st pick / 1957,1962,
66,20,Jim Christopherson,36.0,24.0,LB,14,2.0,218.0,6-0,Concordia-Moorhead (MN),2/17/1938,Rook,4.0,,1962,
67,21,Roy Winston,60.0,22.0,LB,13,0.0,222.0,5-11,LSU,9/15/1940,Rook,3.0,"San Diego Chargers / 6th / 42nd pick / 1962, Minnesota Vikings / 4th / 45th pick / 1962",1962,
68,22,Charley Ferguson,88.0,23.0,WR,10,9.0,217.0,6-5,Tennessee St.,11/13/1939,1,3.0,,1962,
69,23,Larry Bowie,71.0,23.0,G,14,0.0,245.0,6-2,Purdue,10/13/1939,Rook,3.0,"Dallas Texans / 8th / 59th pick / 1962, Minnesota Vikings / 6th / 73rd pick / 1962",1962,
70,24,Doug Mayberry,35.0,25.0,FB,13,10.0,220.0,6-1,"California,Utah St.",3/23/1937,1,3.0,Minnesota Vikings / 10th / 127th pick / 1961,1962,
71,25,Hugh McElhenny,39.0,34.0,HB,11,3.0,195.0,6-1,Washington,12/31/1928,10,3.0,San Francisco 49ers / 1st / 9th pick / 1952,1962,
72,26,Charlie Sumner,26.0,32.0,DB,14,0.0,194.0,6-1,William & Mary,10/19/1930,7,3.0,Chicago Bears / 22nd / 258th pick / 1954,1962,
73,27,Bill Brown,30.0,24.0,RB,14,2.0,228.0,5-11,Illinois,6/29/1938,1,2.0,"Chicago Bears / 2nd / 20th pick / 1961, New York Titans / 6th / 42nd pick / 1961",1962,
74,28,Steve Stonebreaker,82.0,24.0,LB,14,10.0,223.0,6-3,Detroit Mercy,10/28/1938,Rook,2.0,"Denver Broncos / 34th / 266th pick / 1962, Minnesota Vikings / 12th / 155th pick / 1961",1962,
75,29,Bob Denton,62.0,28.0,DE,14,2.0,244.0,6-3,Pacific,7/24/1934,2,2.0,Cleveland Browns / 6th / 71st pick / 1959,1962,
76,30,Oscar Donahue,84.0,25.0,WR,13,6.0,195.0,6-3,San Jose St.,6/7/1937,Rook,2.0,"Green Bay Packers / 6th / 84th pick / 1962, Oakland Raiders / 12th / 94th pick / 1962",1962,
77,31,Gordie Smith,87.0,23.0,TE,5,4.0,220.0,6-2,"Arizona St.,Missouri",4/9/1939,1,1.0,,1962,
78,32,John McCormick,15.0,25.0,QB,13,0.0,208.0,6-1,"Boston Col.,Massachusetts",5/26/1937,Rook,1.0,,1962,
79,33,Mel Triplett,33.0,31.0,FB,14,2.0,215.0,6-1,Toledo,12/24/1931,7,1.0,New York Giants / 5th / 56th pick / 1955,1962,
80,34,Errol Linden,73.0,25.0,T,12,1.0,258.0,6-5,Houston,10/21/1937,1,1.0,"Detroit Lions / 10th / 135th pick / 1961, Houston Oilers / 29th / 232nd pick / 1961",1962,
81,35,Bobby Reed,27.0,23.0,HB,6,1.0,187.0,5-11,Pacific,11/14/1939,Rook,0.0,,1962,
82,36,Mike Mercer,18.0,27.0,K,4,0.0,220.0,6-0,"Minnesota,Hardin-Simmons,Arizona St.",11/21/1935,1,0.0,Minnesota Vikings / 15th / 197th pick / 1961,1962,
83,37,Tom Adams,85.0,22.0,WR,6,1.0,215.0,6-5,Minnesota-Duluth,4/26/1940,Rook,0.0,,1962,
84,38,Team Total,,25.4,,14,,220.1,6-1.7,,,2.3,,,1962,
85,0,Fran Tarkenton,10.0,23.0,QB,14,13.0,190.0,6-0,Georgia,2/3/1940,2,10.0,"Minnesota Vikings / 3rd / 29th pick / 1961, Boston Patriots / 5th / 35th pick / 1961",1963,
86,1,Tommy Mason,20.0,24.0,RB,13,13.0,196.0,6-1,Tulane,7/8/1939,2,10.0,"Minnesota Vikings / 1st / 1st pick / 1961, Boston Patriots / 1st / 3rd pick / 1961",1963,
87,2,Grady Alderman,67.0,25.0,T,14,14.0,247.0,6-2,Detroit Mercy,12/10/1938,3,9.0,Detroit Lions / 10th / 111th pick / 1960,1963,
88,3,Paul Flatley,85.0,22.0,WR,14,14.0,187.0,6-1,Northwestern,1/30/1941,Rook,9.0,"Minnesota Vikings / 4th / 44th pick / 1963, Denver Broncos / 7th / 53rd pick / 1963",1963,
