,Division Placement,Points For,Points for Per Game,Points For Ranking,Points Against,Points Against Per Game,Points Against Ranking,Expected Wins,Expected Losses,Team Rating SRS,SRS rank,Strength of Schedule
1961,7,285,20.4,9,407,29.1,14,4.2,9.8,-6.64,18,2.08
1962,6,254,18.1,13,410,29.3,14,3.4,10.6,-6.75,17,4.39
1963,4,309,22.1,8,390,27.9,12,5.1,8.9,-5.40,16,.39
1964,2,355,25.4,4,296,21.1,6,8.5,5.5,5.77,4,1.56
1965,5,383,27.4,4,403,28.8,14,6.6,7.4,5.11,7,6.54
1966,6,292,20.9,9,304,21.7,8,6.7,7.3,2.19,10,3.05
1967,4,233,16.6,14,294,21.0,7,5.1,8.9,-2.09,14,2.26
1968,1,282,20.1,8,242,17.3,6,8.3,5.7,2.66,11,-0.20
1969,1,379,27.1,1,133,9.5,1,12.9,1.1,17.58,1,.01
1970,1,335,23.9,3,143,10.2,1,12.4,1.6,15.07,1,1.36
1971,1,245,17.5,18,139,9.9,1,11.1,2.9,6.51,5,-1.07
1972,3,301,21.5,12,252,18.0,11,8.5,5.5,6.06,8,2.56
1973,1,296,21.1,9,168,12.0,2,11.1,2.9,8.60,4,-0.54
1974,1,310,22.1,5,195,13.9,3,10.5,3.5,6.09,5,-2.13
1975,1,377,26.9,3,180,12.9,3,11.9,2.1,8.91,4,-5.16
1976,1,305,21.8,9,176,12.6,2,11.0,3.0,9.35,5,.13
1977,1,231,16.5,16,227,16.2,13,7.1,6.9,-1.57,17,-1.86
1978,1,294,18.4,12,306,19.1,20,7.6,8.4,-0.16,11,.60
1979,3,259,16.2,24,337,21.1,17,5.6,10.4,-7.54,27,-2.67
1980,1,317,19.8,15,308,19.3,11,8.3,7.7,-0.31,15,-0.88
1981,4,325,20.3,13,369,23.1,21,6.8,9.2,-2.04,18,.71
1982,2,187,20.8,13,198,22.0,20,4.2,4.8,1.16,12,2.38
1983,4,316,19.8,18,348,21.8,17,7.1,8.9,-3.06,22,-1.06
1984,5,276,17.3,24,484,30.3,28,3.3,12.7,-10.86,25,2.14
1985,3,346,21.6,14,359,22.4,17,7.7,8.3,-1.19,16,-0.37
1986,2,398,24.9,4,273,17.1,5,11.4,4.6,6.47,4,-1.34
1987,2,336,22.4,13,335,22.3,16,7.5,7.5,-2.62,21,-2.69
1988,2,406,25.4,4,233,14.6,2,12.6,3.4,10.85,1,.04
1989,1,351,21.9,11,275,17.2,6,10.3,5.7,4.31,10,-0.45
1990,5,351,21.9,9,326,20.4,16,8.7,7.3,2.44,12,.87
1991,3,301,18.8,13,306,19.1,16,7.8,8.2,-2.00,17,-1.69
1992,1,374,23.4,4,249,15.6,7,11.6,4.4,7.70,5,-0.12
1993,2,277,17.3,20,290,18.1,12,7.6,8.4,-0.12,14,.69
1994,1,356,22.3,7,314,19.6,13,9.2,6.8,3.22,9,.60
1995,4,412,25.8,4,385,24.1,27,8.6,7.4,3.71,7,2.02
1996,2,298,18.6,23,315,19.7,15,7.5,8.5,-0.15,16,.92
1997,4,354,22.1,11,359,22.4,19,7.9,8.1,-0.11,16,.21
1998,1,556,34.8,1,296,18.5,6,13.1,2.9,14.89,1,-1.36
1999,2,399,24.9,5,335,20.9,18,9.6,6.4,4.37,8,.37
2000,1,397,24.8,5,371,23.2,24,8.6,7.4,1.91,14,.29
2001,4,290,18.1,24,390,24.4,26,5.3,10.7,-4.73,26,1.52
2002,2,390,24.4,8,442,27.6,30,6.8,9.2,-3.01,23,.24
2003,2,416,26.0,6,353,22.1,23,9.5,6.5,2.91,13,-1.03
2004,2,405,25.3,6,395,24.7,26,8.2,7.8,-1.69,16,-2.31
2005,2,306,19.1,19,344,21.5,19,6.9,9.1,-3.52,21,-1.15
2006,3,282,17.6,26,327,20.4,14,6.6,9.4,-4.09,24,-1.28
2007,2,365,22.8,15,311,19.4,12,9.5,6.5,3.79,10,.42
2008,1,379,23.7,12,333,20.8,13,9.2,6.8,4.04,10,1.16
2009,1,470,29.4,2,312,19.5,10,11.6,4.4,7.17,6,-2.71
2010,4,281,17.6,29,348,21.8,18,6.0,10.0,-1.60,21,2.59
2011,4,340,21.3,19,449,28.1,31,5.5,10.5,-5.73,28,1.09
2012,2,379,23.7,14,348,21.8,14,8.8,7.2,3.35,11,1.42
2013,4,391,24.4,14,480,30.0,32,6.1,9.9,-6.62,27,-1.05
2014,3,325,20.3,20,343,21.4,11,7.5,8.5,-1.66,20,-0.53
2015,1,365,22.8,16,302,18.9,5,9.8,6.2,5.82,8,1.88
2016,3,327,20.4,23,307,19.2,6,8.6,7.4,.94,17,-0.31
2017,1,382,23.9,10,252,15.8,1,11.7,4.3,9.12,4,.99
2018,2,360,22.5,19,341,21.3,9,8.5,7.5,.59,15,-0.60
2019,2,407,25.4,8,303,18.9,5,10.7,5.3,5.40,6,-1.10
2020,3,430,26.9,11,475,29.7,29,7.1,8.9,-2.41,21,.40
2021,3,57,28.5,11,61,30.5,27,0.9,1.1,5.38,12,7.38
