,G#,Opp,Spread,Over/Under,Result,vs. Line,OU Result,Year
0,1,@NOR,-6.5,0.0,"L, 24-31",Lost,Over,1978
1,2,DEN,0.0,0.0,"W, 12-9",Won,Over,1978
2,3,TAM,-10.0,0.0,"L, 10-16",Lost,Over,1978
3,4,@CHI,3.0,0.0,"W, 24-20",Won,Over,1978
4,5,@TAM,-6.0,0.0,"W, 24-7",Won,Over,1978
5,6,@SEA,-5.0,0.0,"L, 28-29",Lost,Over,1978
6,7,RAM,4.0,0.0,"L, 17-34",Lost,Over,1978
7,8,GNB,-3.5,0.0,"W, 21-7",Won,Over,1978
8,9,@DAL,7.5,0.0,"W, 21-10",Won,Over,1978
9,10,DET,-7.0,0.0,"W, 17-7",Won,Over,1978
10,11,CHI,-8.0,0.0,"W, 17-14",Lost,Over,1978
11,12,SDG,-3.5,0.0,"L, 7-13",Lost,Over,1978
12,13,@GNB,-3.5,0.0,"T, 10-10",Lost,Over,1978
13,14,PHI,-3.0,0.0,"W, 28-27",Lost,Over,1978
14,15,@DET,-2.5,0.0,"L, 14-45",Lost,Over,1978
15,16,@OAK,3.0,0.0,"L, 20-27",Lost,Over,1978
16,17,@RAM,7.5,0.0,"L, 10-34",Lost,Over,1978
17,1,SFO,-7.0,32.0,"W, 28-22",Lost,Over,1979
18,2,@CHI,6.0,31.5,"L, 7-26",Lost,Over,1979
19,3,MIA,7.0,37.0,"L, 12-27",Lost,Over,1979
20,4,GNB,-1.0,34.0,"W, 27-21",Won,Over,1979
21,5,@DET,3.0,39.0,"W, 13-10",Won,Under,1979
22,6,DAL,7.0,39.0,"L, 20-36",Lost,Over,1979
23,7,@NYJ,4.0,42.0,"L, 7-14",Lost,Under,1979
24,8,CHI,-2.0,36.0,"W, 30-27",Won,Over,1979
25,9,TAM,0.0,37.0,"L, 10-12",Lost,Under,1979
26,10,@STL,5.0,39.0,"L, 7-37",Lost,Over,1979
27,11,@GNB,2.0,37.0,"L, 7-19",Lost,Under,1979
28,12,DET,-4.0,37.0,"W, 14-7",Won,Under,1979
29,13,@TAM,8.0,36.0,"W, 23-22",Won,Over,1979
30,14,@RAM,7.0,38.0,"L, 21-27",Won,Over,1979
31,15,BUF,-2.0,36.0,"W, 10-3",Won,Under,1979
32,16,@NWE,5.0,40.0,"L, 23-27",Won,Over,1979
33,1,ATL,-4.0,42.0,"W, 24-23",Lost,Over,1980
34,2,PHI,-4.0,40.0,"L, 7-42",Lost,Over,1980
35,3,@CHI,6.0,39.0,"W, 34-14",Won,Over,1980
36,4,@DET,6.0,43.0,"L, 7-27",Lost,Under,1980
37,5,PIT,8.0,46.0,"L, 17-23",Won,Under,1980
38,6,CHI,-3.0,38.0,"W, 13-7",Won,Under,1980
39,7,@CIN,4.0,36.0,"L, 0-14",Lost,Under,1980
40,8,@GNB,1.0,36.0,"L, 3-16",Lost,Under,1980
41,9,@WAS,9.0,33.0,"W, 39-14",Won,Over,1980
42,10,DET,-2.0,39.0,"W, 34-0",Won,Under,1980
43,11,TAM,-4.0,37.0,"W, 38-30",Won,Over,1980
