Player,09/09vs. NOR,09/19vs. MIA,09/26vs. DET,10/11vs. NYJ,10/17vs. DAL,10/24vs. GNB,10/31vs. NWE,11/07vs. ARI,11/14vs. CHI,11/21vs. GNB,11/28vs. WAS,12/05vs. BUF,12/13vs. NYG,12/20vs. CHI,12/28vs. PHI,01/02vs. DET
Husain Abdullah,,,,,,D,P,,,,P,P,,,,
Asher Allen,,,,,,,,P,D,P,,,,P,,O
Jared Allen,,,,,,,,,,,P,,,,,
Bernard Berrian,,,P,,,,,,O,,O,P,P,,,P
Chris Cook,O,O,P,O,O,P,P,P,,P,O,O,O,IR,IR,IR
Ryan Cook,,,,,,P,,,,,,,,,,
Chris DeGeare,,,,,O,O,O,O,,,,,,,,
Ray Edwards,,,,,,,,,,,,O,O,P,,
Brett Favre,P,P,P,P,P,P,P,P,P,P,P,P,O,,D,D
Eric Frampton,,,,,,,,,Q,O,O,P,,,,
Toby Gerhart,O,P,,,,,,,,,,,P,,,
Chad Greenway,,,,,,,,,,,P,,,,,
Everson Griffen,,,,,,,,,P,,,,,,,
Cedric Griffin,O,O,P,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Letroy Guion,,,,,,P,P,,,,,,,,,
Percy Harvin,,,P,,,P,P,P,Q,P,,P,D,P,,
E.J. Henderson,,,,,,P,,,,,,,,,,
Erin Henderson,,,,,,,,,,,,,,,,O
Anthony Herrera,,,,,,,,,,Q,IR,IR,IR,IR,IR,IR
Steve Hutchinson,,,,,,,Q,,,,,O,O,IR,IR,IR
Tarvaris Jackson,,,,,,,,,,,,,,IR,IR,IR
Tyrell Johnson,,,,,,,,,,,,,O,O,O,D
Jimmy Kennedy,O,O,P,,,,,,,,,,,,,
Jim Kleinsasser,,,,,,P,,,,,,,,,,
Ben Leber,,,P,,,,,P,,,,,,,,
J Leman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Greg Lewis,,,,,,,,,,,,O,P,,,
Phil Loadholt,,,,,,,,,P,,,,,,,
Bryant McKinnie,,P,P,P,,,,,,,,,,,,
Adrian Peterson,,,,,,,,,,,,P,P,O,Q,P
Sidney Rice,PUP,PUP,PUP,PUP,PUP,PUP,PUP,O,O,,P,P,P,,,D
Brian Robison,,,,,P,P,,,,,,,,,,
Jamarca Sanford,P,,,,P,,,,D,P,O,O,P,,P,
Lito Sheppard,,,,,,O,O,P,P,,,,,,,
Visanthe Shiancoe,,,,P,P,,,,,,,,,,,
John Sullivan,P,P,P,Q,O,P,P,P,Q,P,P,,,,,
Naufahu Tahi,,,,,,,,,,,,,,,,Q
Frank Walker,,,,,,,,O,P,,,,,,P,
Joe Webb,,,,,,,,,,,,,Q,P,,
Madieu Williams,,,,,P,,,,,,,,,,Q,IR
Pat Williams,,,,,,,Q,P,P,,,,,,,
