Player,09/11vs. SDG,09/18vs. TAM,09/25vs. DET,10/02vs. KAN,10/09vs. ARI,10/16vs. CHI,10/23vs. GNB,10/30vs. CAR,11/14vs. GNB,11/20vs. OAK,11/27vs. ATL,12/04vs. DEN,12/11vs. DET,12/18vs. NOR,12/24vs. WAS,01/01vs. CHI
Husain Abdullah,,,,,P,P,,P,,D,O,IR,IR,IR,IR,IR
Asher Allen,P,P,P,P,,,,,,,,O,P,P,O,P
Jared Allen,,,P,,,P,,,,,,,,,,
Adrian Awasom,,O,,,,,,,,,,,,,,
Remi Ayodele,,,,,,,,P,,,,,,,,
Christian Ballard,,,,,,,,,,,P,,,,,
Lorenzo Booker,,,,,,,,O,Q,,,,,,,
Jasper Brinkley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Stephen Burton,,,,,,,,,,,,,,IR,IR,IR
Greg Camarillo,,,,,,,,,,,,,,P,,
Chris Cook,P,,P,P,,,O,,O,,,,,,,
Chad Greenway,,,,,,,,,,,,,P,,,
Everson Griffen,,,,,,,,,,,,,P,,,
Letroy Guion,,,,,,,,,,,,,,P,,
Percy Harvin,,,,,,P,P,P,,,P,P,P,,,
E.J. Henderson,,P,P,P,P,P,P,P,,,,P,P,P,,
Erin Henderson,,,,,,,,,,O,P,,,,P,
Anthony Herrera,,,,,,,,O,O,D,O,P,P,,P,P
Steve Hutchinson,,,,,,,P,,,,,,P,,O,IR
Michael Jenkins,,P,P,,,,,,,P,,IR,IR,IR,IR,IR
Charlie Johnson,,,,,P,,,,,,P,,,,,
Tyrell Johnson,,,,P,,,,,,,,IR,IR,IR,IR,IR
Jim Kleinsasser,,,,P,,,,,,,,,,,,
Chris Kluwe,,,,,Q,,,,,,,,,,,
Phil Loadholt,,,,,,,P,,P,,,,,,,
Cullen Loeffler,,,,,,,,,,D,,IR,IR,IR,IR,IR
Donovan McNabb,P,,,,,,,,,,,,,,,
Kenny Onatolu,,,,,,P,P,,,,,,,,,
Jarrad Page,,,,,,,,,,,,,,P,P,
Adrian Peterson,,,,P,,,,P,,,D,D,O,P,,IR
Christian Ponder,,,,,,,,,,P,P,,P,P,,P
Brian Robison,,,,,,,,P,,,,,P,,,
Kyle Rudolph,,,,,,,,,,,D,P,,,,
Jamarca Sanford,,,,P,P,,D,P,,,P,P,,,,P
Benny Sapp,,,,,,,,,,,,,,,,P
Marcus Sherels,,,P,,,,,,,,,,,,,
Visanthe Shiancoe,P,,,,,,,P,,P,P,P,P,,,
Mickey Shuler,,,,,,,,,,,,,,,,O
John Sullivan,,,,,P,,D,P,,,,,,,,
Kevin Williams,,,P,P,,,,,,,,,,,P,
Antoine Winfield,,,,,D,D,D,O,P,IR,IR,IR,IR,IR,IR,IR
