Player,09/08vs. DET,09/15vs. CHI,09/22vs. CLE,09/29vs. PIT,10/13vs. CAR,10/21vs. NYG,10/27vs. GNB,11/03vs. DAL,11/07vs. WAS,11/17vs. SEA,11/24vs. GNB,12/01vs. CHI,12/08vs. BAL,12/15vs. PHI,12/22vs. CIN,12/29vs. DET
Jared Allen,,,,,,,P,,,,,,P,,,
Matt Asiata,,,,P,,,O,O,O,D,P,P,P,,Q,P
McLeod Bethel-Thompson,P,,,,,,,,,,,,,,,
Desmond Bishop,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
John Carlson,,,,,,,,,,,,,Q,O,D,IR
Greg Childs,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP
Audie Cole,,,,,,,,,,,,,,,Q,IR
Chris Cook,P,,,O,P,,,O,O,P,,,,O,P,P
Larry Dean,P,P,,,,,,,,,,,Q,P,P,P
Rhett Ellison,,,O,O,Q,Q,Q,O,Q,Q,P,,,,,
Fred Evans,,,P,,,,Q,O,O,Q,P,P,P,,,Q
Bobby Felder,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,
Jerome Felton,,,,P,,,,,,P,,,,,,P
Sharrif Floyd,P,,,,,,P,,,,,,P,,,
Josh Freeman,,,,,,,D,Q,,,,,,,,
Brandon Fusco,,,P,,,,,,,,,,,D,P,P
Toby Gerhart,,,,,,,,,,,,,,O,P,D
Chad Greenway,,,,,,,P,P,P,P,P,P,P,P,P,
Everson Griffen,,,,,,,,,,,,,P,,,
Letroy Guion,P,,,,,,,,O,O,P,,,,,D
Erin Henderson,P,P,P,P,,,,,,,O,Q,Q,,,
A.J. Jefferson,,,,P,,D,P,P,,,,,,,,
Greg Jennings,,,,,,,,P,,,Q,,,,,
Charlie Johnson,,,,,,,,,D,P,,,,,,
Matt Kalil,,,,,,Q,P,,,,,,,,,
Zach Line,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Phil Loadholt,P,P,P,,,,,,D,P,,,,,,
Cullen Loeffler,,,,P,,,,,,,,,,,P,
Michael Mauti,,,,,,,,,,,P,,,,,
Seth Olsen,IR,,,,,,,,,,,,,,,
Cordarrelle Patterson,P,,,,,,,,,,,,,,,P
Adrian Peterson,,,,,P,P,P,P,,P,Q,P,,D,P,O
Christian Ponder,,,,O,P,P,,,,P,P,,O,Q,,
Shaun Prater,,,,,,,,,,,,,,,Q,Q
Mistral Raymond,P,P,P,,,,,,,,,,,,,
D'Aundre Reed,IR,,,,,,,,,,,,,,,
Xavier Rhodes,,,,,Q,Q,,,P,,,P,,D,D,O
Josh Robinson,,P,,,,,,,P,,O,O,O,IR,IR,IR
Brian Robison,,,,,,,,,,,,P,,,,
Kyle Rudolph,,,,,,,,,O,O,O,O,O,IR,IR,IR
Jamarca Sanford,,P,,O,P,,Q,P,O,P,,,Q,,,
Andrew Sendejo,,,,,,,,,,,,P,P,,,
Marcus Sherels,,,,,,,,,,,,,,,P,P
Harrison Smith,P,,P,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,P,P
Rodney Smith,,,,,,,Q,P,Q,,,,,,,
John Sullivan,,P,P,,,P,,,,,D,,,,,
Blair Walsh,,,,,P,Q,P,P,,,,,,,,
Joe Webb,,,,,P,,,,,,Q,P,,,,
Kevin Williams,D,P,P,P,P,P,P,P,,,,P,,,,
Jarius Wright,,,,,,P,,,,,,,,,,
