Player,09/07vs. STL,09/14vs. NWE,09/21vs. NOR,09/28vs. ATL,10/02vs. GNB,10/12vs. DET,10/19vs. BUF,10/26vs. TAM,11/02vs. WAS,11/16vs. CHI,11/23vs. GNB,11/30vs. CAR,12/07vs. NYJ,12/14vs. DET,12/21vs. MIA,12/28vs. CHI
Matt Asiata,,,,,,P,,,,,O,P,,,P,P
Anthony Barr,,,,,,,,,,,P,,D,O,IR,IR
Robert Blanton,,,,,,,,,,,,,,O,Q,P
Teddy Bridgewater,,,,,Q,P,,,,,,,,,,
Matt Cassel,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Scott Crichton,,,,,,,,,,O,P,,,,,
Dom DeCicco,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ahmad Dixon,Q,,,,,,,,,,,,,,,
Vlad Ducasse,,,,,,,,O,P,,,,,,,
Rhett Ellison,,,,,,,,,,,,,P,,,
Antone Exum,,,,,,,,Q,O,,,,,,,P
Jerome Felton,,,,,P,,,,,,,,,P,,
Sharrif Floyd,,Q,P,P,,P,Q,P,P,,O,,P,O,P,P
Chase Ford,,,,,,,P,P,Q,P,,O,O,,,P
Brandon Fusco,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chad Greenway,,,P,O,O,D,P,,,,,,,,,O
Everson Griffen,Q,,,,,,,,,,P,,,P,,
Mike Harris,Q,O,O,,,,,,,O,P,P,,,,P
Gerald Hodges,,,,,,,O,O,P,,,,,,,
Greg Jennings,,,,,,,,,,,P,P,,,P,P
Charles Johnson,,,,,,,,,,,,,,,,
Charlie Johnson,,P,,,,,,,,,,,,O,O,P
Linval Joseph,Q,,,P,,,P,,,,,,,,P,
Matt Kalil,,,,,,,,,,,Q,P,,,,
Zach Line,O,P,,,,,,,,,,,,,,
Phil Loadholt,,,P,,,,,,,,,IR,IR,IR,IR,IR
Cullen Loeffler,,,,,,,,,,,,,,,P,
Michael Mauti,O,O,P,P,P,P,P,,,,,,,IR,IR,IR
Jerick McKinnon,,,,,P,P,,,,P,P,O,IR,IR,IR,IR
Captain Munnerlyn,,,,,P,,,,,,,,,,,
Cordarrelle Patterson,,,P,,,P,P,,,,,Q,,Q,,
Adrian Peterson,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Jabari Price,P,P,,,,,P,P,O,,,,D,P,,
Mistral Raymond,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Xavier Rhodes,Q,Q,P,,,,,,,,P,,,,P,
Josh Robinson,,,,Q,P,,,Q,P,,,,,,,
Brian Robison,,,,,,,,,P,,,,,,P,
Kyle Rudolph,,,P,O,O,O,O,O,O,P,P,P,P,,D,D
Josh Samuda,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jamarca Sanford,IR,,,,,,,,,,,,,,,
Andrew Sendejo,,,,,,,,,,,,,,,P,P
Jerome Simpson,S,S,S,S,,,,,,,,,,,,
Harrison Smith,,,,P,,Q,P,P,,,,P,,P,,
Rodney Smith,P,O,O,P,P,,,,,,,,,,,
John Sullivan,,,,,,,,P,,,,,,,,
Brandon Watts,O,O,O,P,P,,,,,,,,,,,O
Corey Wootton,,,,,,,O,P,,,,,,,,
Jarius Wright,,,,,,,,,,,Q,P,,,,Q
