Player,09/11vs. TEN,09/18vs. GNB,09/25vs. CAR,10/03vs. NYG,10/09vs. HOU,10/23vs. PHI,10/31vs. CHI,11/06vs. DET,11/13vs. WAS,11/20vs. ARI,11/24vs. DET,12/01vs. DAL,12/11vs. JAX,12/18vs. IND,12/24vs. GNB,01/01vs. CHI
Mackensie Alexander,,,,,,,,,,,,D,,Q,IR,IR
Matt Asiata,,,,,,,,,,,,,,Q,,
Joe Berger,,,,,,,,,,,,O,O,Q,,
Alex Boone,,,,,,,,O,,,,,,,,D
Teddy Bridgewater,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Scott Crichton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Stefon Diggs,,,,,D,Q,,,,,Q,Q,,,Q,D
Nick Easton,O,,,,,,,,,,,,,,,
Antone Exum,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Sharrif Floyd,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Fusco,,,,,,,,,,,,,,O,O,
Michael Griffin,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,IR,,IR,,
Mike Harris,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Taylor Heinicke,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tom Johnson,,,,,,,,Q,,,,,,,IR,IR
Linval Joseph,,,,,,,,,Q,,,,,,,
Matt Kalil,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Eric Kendricks,,,,,,,,O,,Q,Q,,,,,
Zac Kerin,,,,,,,O,O,Q,,,,,,,
Zach Line,,,,,,,,,,,,,,,O,
Jake Long,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Jerick McKinnon,Q,,,,,,O,Q,,,,,,,,
David Morgan,,,,O,O,,,,,,,,,,,
Terence Newman,,,,,,,,,,,D,Q,,,,
Adrian Peterson,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,O,O
Jabari Price,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Xavier Rhodes,,O,Q,,,,,,,,,,,,,
Edmond Robinson,,,,,,,,,,,,,Q,,,
Andrew Sendejo,,,,,,,O,Q,,,,,,,,O
Marcus Sherels,,,,,,,Q,,O,Q,O,O,Q,,,
Andre Smith,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Harrison Smith,,,,,,,,,,,Q,,O,O,Q,
Laquon Treadwell,,,,,,Q,,,Q,,,,,O,O,D
Trae Waynes,,,,,,,,,,,,,,O,,
Jarius Wright,,,,,,D,Q,,,,,,,,,
