Player,09/11vs. NOR,09/17vs. PIT,09/24vs. TAM,10/01vs. DET,10/09vs. CHI,10/15vs. GNB,10/22vs. BAL,10/29vs. CLE,11/12vs. WAS,11/19vs. LAR,11/23vs. DET,12/03vs. ATL,12/10vs. CAR,12/17vs. CIN,12/23vs. GNB,12/31vs. CHI,01/14vs. NOR,01/21vs. PHI
Mackensie Alexander,,,,,,,Q,Q,,,,,,O,Q,,,Q
Anthony Barr,,Q,,,,,,,,,,,,,,,,
Blake Bell,,,,,,,,,,,,,,O,IR,IR,IR,IR
Sam Bradford,,Q,O,O,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Teddy Bridgewater,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR
Tramaine Brock,Q,,,,,,Q,,,,,,,,O,O,,
Dalvin Cook,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Stefon Diggs,,,,,,O,O,Q,,,,,,,,,,
Nick Easton,,,,,,O,O,Q,,,,,,,,IR,IR,IR
Pat Elflein,,,,,,,,,,,,,Q,,,O,,
Michael Floyd,,,,,,,Q,Q,,,,,,,,,,
Sharrif Floyd,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Everson Griffen,,,,,,,,,Q,Q,,,,,,,,
Anthony Harris,,,,,,,,,Q,,,,,,,,,
Rashod Hill,,,,Q,O,,,,,,,,,,,,,
Datone Jones,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,IR,,,IR,,IR,IR
Jayron Kearse,,,,,Q,,,,,,,,,,,,,
Eric Kendricks,,,,,,,,,,,,Q,,,,,,
Emmanuel Lamur,,,,,,,,,,,,,,Q,,,,
Kevin McDermott,,,,,,,,,,,,,,,,O,IR,IR
David Morgan,,,,,,,,,,,,,O,,,,,
Terence Newman,,,,,,,,,,,,,,,,,Q,
Riley Reiff,,,,,,,Q,Q,,,,,,D,Q,,,
Mike Remmers,,,,,,,,,O,O,Q,O,O,,,,,
Xavier Rhodes,,Q,,,,,,,,,,,,,,,,
Brian Robison,,,,,,,,,,Q,Q,,,,,,,
Kyle Rudolph,,,,,,,,,,,,,,D,,,,
Bishop Sankey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Andrew Sendejo,,,,,,Q,,,,O,Q,,,,Q,,,Q
Jeremiah Sirles,,,,,,,,O,O,,,,,,,,,
Shamar Stephen,,,,,,,,,,,,,,,,O,,O
Adam Thielen,,,,,,,,,,,,,,,,,,Q
Stephen Weatherly,,,,,,,,O,Q,,,,,,,,,
