Player,09/08vs. ATL,09/15vs. GNB,09/22vs. OAK,09/29vs. CHI,10/06vs. NYG,10/13vs. PHI,10/20vs. DET,10/24vs. WAS,11/03vs. KAN,11/10vs. DAL,11/17vs. DEN,12/02vs. SEA,12/08vs. DET,12/15vs. LAC,12/23vs. GNB,12/29vs. CHI,01/05vs. NOR,01/11vs. SFO
Mackensie Alexander,,O,O,Q,O,,,,,,,,,,,Q,O,O
Ade Aruna,IR,IR,IR,,,,,,,,,,,,,,,
Anthony Barr,,,Q,,,,,,,,,,,,,,,
Chad Beebe,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tashawn Bower,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,
Kentrell Brothers,,,,O,O,Q,Q,,,,,,,,,,,
Tyler Conklin,Q,,,,,,,,,,,,,,,,,
Dalvin Cook,,,,,,,,,,,,,,,O,O,,
Stefon Diggs,Q,,,,,,,,,,,,,,,,,
Josh Doctson,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,
Pat Elflein,,Q,Q,,,,,,,,,,,,,,,
Mark Fields II,,Q,,,,,,,,,,,,,,,,
Ben Gedeon,,Q,Q,,,O,O,,,,,O,IR,IR,IR,IR,IR,IR
Anthony Harris,,,,,,,,,,,O,Q,,,,,,
Jalyn Holmes,,,,,,,,Q,,,,,,,,,,
Mike Hughes,O,D,Q,,,,,,,,,,,,,,IR,IR
Olabisi Johnson,,,,,,,,,,,,,,Q,,,,
Brett Jones,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Linval Joseph,,,,,,,,,,O,O,Q,,,,,,
Jayron Kearse,,,,,,,,,,,,,,O,,Q,,O
Eric Kendricks,,,,,,,,,,,,,,,,O,,
Josh Kline,,,,O,,O,,,,,O,,,,,,,
Alexander Mattison,,,,,,,,,,,,,,O,Q,Q,,
David Morgan,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP
Ifeadi Odenigbo,,,,,,,,,,,,,,,,,Q,
Riley Reiff,,,,,,,,,,,,,Q,,,,,
Xavier Rhodes,,,,,,,,,,,,,,Q,,,,
Marcus Sayles,,,,,,,,,,,,,,,,,,/
Andrew Sendejo,,,,,,,,,,O,Q,,,,,,,
Harrison Smith,,,,,,,,,,,,Q,,,,,,
Shamar Stephen,,,,,,,,,,,,Q,,,,,,
Adam Thielen,,,,,,,,O,Q,O,O,Q,D,,,,,Q
Armon Watts,,,,,,,,,,,,,,,,,IR,IR
Trae Waynes,,,,,,,,,,Q,,,,,,,,
Stephen Weatherly,,,,,,,,,,Q,,,,,,,,
Isaiah Wharton,IR,IR,IR,IR,IR,,,,,,,,,,,,,
