Player,09/13vs. DET,09/20vs. PHI,09/27vs. BUF,10/04vs. NYJ,10/18vs. NYG,10/25vs. MIA,11/02vs. ATL,11/08vs. CAR,11/15vs. STL,11/22vs. TAM,11/30vs. NWE,12/06vs. WAS,12/13vs. ATL,12/19vs. DAL,12/27vs. TAM,01/03vs. CAR,01/16vs. ARI,01/24vs. MIN,02/07vs. IND
Stanley Arnoux,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mike Bell,,,D,O,P,,,,,P,,P,O,P,,,,,
Drew Brees,,,P,,,,,,,,,,,,,,,,
Jammal Brown,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Reggie Bush,,,,,,,,,,O,O,P,P,Q,P,,,,
Jermon Bushrod,P,P,,O,P,,P,,,,,D,P,P,P,P,,,P
Dan Campbell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
John Carney,,,,,,,P,,,,,,,,,,,,
Jonathan Casillas,,,,,,P,P,,,,,,,,,,,,P
Jeff Charleston,,,,,,P,,,,,,,,,,,,,
Kendrick Clancy,,O,O,O,O,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marques Colston,,,,,,,,,P,,,,,,,,,,
Darnell Dinkins,D,O,O,O,O,,,,,,,,P,,P,P,,,P
Jo-Lonn Dunbar,,,O,,,,,,,,,P,IR,IR,IR,IR,IR,IR,IR
Kyle Eckel,,,,,,,,,,,,,,,,,Q,,
Sedrick Ellis,,,,,,,O,O,O,O,P,,P,O,P,O,,,
Heath Evans,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jahri Evans,,,,,P,P,P,,,,,D,P,P,P,P,,,P
Scott Fujita,,,,,,O,Q,O,P,,,O,O,Q,P,,,,P
Randall Gay,,,,,,,,,,,P,D,P,Q,O,P,,,Q
Jonathan Goodwin,,,,,,,P,P,P,P,Q,P,P,P,P,,,P,
Charles Grant,,,P,,,,,,,,,,,,,,IR,IR,IR
Jabari Greer,,,,,,,,,O,D,O,O,O,O,O,P,,,P
Lynell Hamilton,,,,,,,,,,,,P,P,,,P,,,Q
Rod Harper,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Roman Harper,,P,P,,,,,,,,,,,,,,,,
Garrett Hartley,,,,,P,,,D,O,,,,,Q,,,,,
Malcolm Jenkins,,,,O,P,O,P,P,,,,,,,,,P,O,P
Reggie Jones,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jason Kyle,,,,P,P,P,,,,,,,,,,P,,,
Rodney Leisle,,,,,,,,,,,,,,,,,IR,IR,IR
Marcus Mailei,,,,,,,,,,,,,,,IR,IR,IR,IR,IR
Chris McAlister,,,,,,,,,,,,P,,,,,,,
Bobby McCray,,,P,P,,,,,,,P,P,P,P,P,P,P,P,P
Robert Meachem,,,,,,,,,,,,,,,,,,P,P
Billy Miller,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marvin Mitchell,,,,,,,P,P,P,,,D,D,P,,,,,
Lance Moore,,,O,P,,,,O,O,D,D,O,O,P,O,D,P,,P
Thomas Morstead,,,,,,P,,,,,,,,,,,,,
Carl Nicks,,,,,,,,,,,P,,,P,,,,,
Tracy Porter,,P,,,,,Q,,,O,D,O,D,P,,,,,P
Pierson Prioleau,,,,,,,,,,,,,,,,,,,P
Courtney Roby,,,,,,,,,,,,,,,,,,,P
Scott Shanle,,,,,,,,,,,,,,,O,D,,,
Darren Sharper,,,,,,,,,O,P,,,,,P,O,,P,P
Jeremy Shockey,P,P,P,,,P,P,,,,,P,P,O,O,P,Q,P,P
Mark Simoneau,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Will Smith,,,,,,,,,,,,,,,,,,,P
Olaniyi Sobomehin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jon Stinchcomb,,,,,,,P,,,,,,,P,P,,,,
David Thomas,,,,,,,,,,P,,,,,,D,,,
Pierre Thomas,D,P,P,,P,,,,,,,P,P,P,,O,P,,
Leigh Torrence,,,,,O,O,P,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chip Vaughn,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jonathan Vilma,,,,,,,,,,,P,P,P,P,P,P,,,P
Usama Young,P,P,,,,,P,,,,,,Q,O,O,O,,,
