Player,09/08vs. GNB,09/18vs. CHI,09/25vs. HOU,10/02vs. JAX,10/09vs. CAR,10/16vs. TAM,10/23vs. IND,10/30vs. STL,11/06vs. TAM,11/13vs. ATL,11/28vs. NYG,12/04vs. DET,12/11vs. TEN,12/18vs. MIN,12/26vs. ATL,01/01vs. CAR,01/07vs. DET,01/14vs. SFO
Jonathon Amaya,,,P,P,,,,,,,,,,,,,P,
Adrian Arrington,Q,,P,O,,,,,,,,,,,,,,
Joique Bell,Q,,,,,,,,,,,,,,,,,
Charles Brown,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jermon Bushrod,,,,,,,,,,P,,,,,,,,
Jonathan Casillas,,,P,P,,,,P,P,,,,O,O,D,,O,P
Patrick Cobbs,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marques Colston,,O,O,P,,,,,,,,,,,,,,
Sedrick Ellis,,,,,,,P,P,P,,,,O,P,P,,,
Jahri Evans,,,,,,,,,,,,,,,P,,,
Aubrayo Franklin,P,,,P,,,,,,,,,,,P,,,
Junior Galette,,,P,,,,,,P,,,,,,,,,
John Gilmore,,,,,,P,P,P,,P,,,,,,Q,O,O
Jimmy Graham,,,,,,,P,P,,,,,,P,,,,P
Jabari Greer,,,,,,,,,,,,P,,,,,,
Roman Harper,,P,P,P,,,,,,,,,,,,,,P
Garrett Hartley,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Devery Henderson,,,,,P,P,,,,,,,,,,,,
Will Herring,,,,O,O,O,O,O,P,,,,,,,,IR,IR
Ramon Humber,,,,,,,,,,,,,,,P,,,
Mark Ingram,,,,,,,,D,O,P,,,D,D,D,D,IR,IR
Chris Ivory,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,O,Q,,,,,,,
Malcolm Jenkins,,,,,,,,,,,,,,,,O,P,
Tom Johnson,O,O,O,P,,,,,,,,P,,,,,,
Cameron Jordan,P,,,,,,,,,,P,,,,,,,
Olin Kreutz,,,,O,O,P,O,O,O,O,O,O,O,O,O,O,O,O
Turk McBride,,,,,,,O,O,P,O,O,O,O,O,,,,
Robert Meachem,,,,,,,,,,,,,,,,,P,P
Lance Moore,D,P,P,,,,,,,P,,,,,,O,O,D
Joe Morgan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Carl Nicks,,P,,,,,,,,,,,,,,,,
Paul Oliver,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Johnny Patrick,Q,,,,,,,,,,,,,,,,,
Tracy Porter,,O,O,P,,,,,,D,,,,P,,,,
Patrick Robinson,,,,,,,,,,O,P,,,,,P,,
Shaun Rogers,,,,P,,,,,P,,,,,,,,,
Greg Romeus,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP
Scott Shanle,,,,,,,,,,,,,P,P,,,,
Will Smith,,,P,,,,,,,,,,,,,,,
Zach Strief,,,,O,O,O,O,O,P,,,,,,,,,
David Thomas,,,,D,O,O,O,O,P,,IR,IR,IR,IR,IR,IR,IR,IR
Pierre Thomas,,,,,,,,,,,,,,,,,,
Jonathan Vilma,,,D,P,P,P,P,P,O,O,O,P,P,P,P,O,P,P
Fabian Washington,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Martez Wilson,,,,O,D,P,,,,,,,,,,,,
