Player,09/13vs. ARI,09/20vs. TAM,09/27vs. CAR,10/04vs. DAL,10/11vs. PHI,10/15vs. ATL,10/25vs. IND,11/01vs. NYG,11/08vs. TEN,11/15vs. WAS,11/29vs. HOU,12/06vs. CAR,12/13vs. TAM,12/21vs. DET,12/27vs. JAX,01/03vs. ATL
Stephone Anthony,,,,,,,,,,,P,,,,,
Terron Armstead,,,,,O,D,P,P,P,Q,P,Q,P,P,Q,Q
Delvin Breaux,,,,,,,,,P,,,,P,,,
Drew Brees,,,O,P,,,,,,,,,,,Q,P
Rafael Bush,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jairus Byrd,O,O,O,P,P,P,P,,,,,,,P,P,P
Marques Colston,,,,,P,D,P,P,P,P,,P,P,P,Q,O
Brandin Cooks,,,P,P,P,,,,,,,,P,,,
Brian Dixon,,,,,,,,,,P,,,P,,,
Dannell Ellerbe,O,O,Q,P,,,P,D,O,O,O,Q,P,,O,O
Jahri Evans,,,O,O,Q,P,,P,P,P,,Q,O,P,,
David Hawthorne,,,,,,,,O,P,O,O,P,,,,
Tim Hightower,P,,,,,,,,,,,,,,,
Josh Hill,,,,,,,,,,,,,,,,P
Ramon Humber,,,,,,,P,,O,O,P,,,,,
Kendall Hunter,,,,,,,,,,,,,,,,IR
Mark Ingram,,,,,,,,,,,P,P,IR,IR,IR,IR
John Jenkins,,,,,,P,,,,,,O,O,P,,
Cameron Jordan,,,,P,,,,,,,,,,,,P
Hau'oli Kikaha,,,,,,,,,O,P,P,P,,,,
Tim Lelito,,,,,P,O,P,,,P,,,,,,
Keenan Lewis,O,O,Q,P,P,P,O,Q,P,P,IR,IR,IR,IR,IR,IR
Michael Mauti,,,,,,,P,,,,,,,,,
Luke McCown,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Mike McGlynn,,,,,,,,P,,,,,,,,
Thomas Morstead,,,,,O,O,P,,,,,,,,,
Marcus Murphy,,,,,,,,,,,,,,IR,IR,IR
Andrus Peat,,,,,,,O,O,P,,,,,,,O
Bobby Richardson,,,,,Q,Q,,,,,,,P,,,
Khiry Robinson,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Jamarca Sanford,,,,,,,,,,,,P,,,,
Willie Snead,,,,,,,,,P,P,P,D,P,,,
Anthony Spencer,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
C.J. Spiller,O,Q,,,,,,,,,,,,,IR,IR
Zach Strief,,,,,,,,,,,,,P,P,Q,P
Damian Swann,,,,,,O,O,P,O,O,O,P,,IR,IR,IR
Davis Tull,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ben Watson,,,,,,,,,,,,,,,Q,
Kevin Williams,,,,,P,,,P,P,P,,,,,,
P.J. Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
