Player,09/11vs. MIN,09/17vs. NWE,09/24vs. CAR,10/01vs. MIA,10/15vs. DET,10/22vs. GNB,10/29vs. CHI,11/05vs. TAM,11/12vs. BUF,11/19vs. WAS,11/26vs. LAR,12/03vs. CAR,12/07vs. ATL,12/17vs. NYJ,12/24vs. ATL,12/31vs. TAM,01/07vs. CAR,01/14vs. MIN
Stephone Anthony,Q,Q,,,,,,,,,,,,,,,,
Alex Anzalone,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Terron Armstead,O,O,O,Q,Q,Q,,,Q,,,Q,Q,,,O,Q,
Dan Arnold,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Bryan Braman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,IR,IR
Delvin Breaux,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Coleman,,,,,,,,,,,,,,,,,,O
Ken Crawley,,,,,,,,,,,O,,,,,,,
Jon Dorenbos,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dannell Ellerbe,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,,IR,IR
Nick Fairley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Coby Fleener,,,,,,,,,,,,O,IR,IR,IR,IR,IR,IR
Corey Fuller,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ted Ginn Jr.,,,,,,,,,,,,,,Q,,,,
Garrett Griffin,,,,,,,,,,,,,,,O,,IR,IR
Clay Harbor,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ben Heeney,,,,O,,,,,,,,,,,,,,
Taysom Hill,,,,,,,,,,,,,,,,,,Q
Michael Hoomanawanui,,,,,,,,,,,,,,,O,O,,
John Hughes,,,,,,,,,,,,,,,,IR,IR,IR
Mark Ingram,,,,,,,,,,,,,Q,,,,,
Hau'oli Kikaha,,,,,,,,,,,,,,,,IR,IR,IR
A.J. Klein,,,,,,,,,,Q,,,,IR,IR,IR,IR,IR
John Kuhn,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Daniel Lasco,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marshon Lattimore,,,O,,,,,,,,O,Q,Q,,,,,
DeMarcus Lawrence,IR,,IR,,IR,,,,,,IR,IR,IR,,,,IR,IR
Devaroe Lawrence,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mitchell Loewen,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Michael Mauti,,,,,,,,,,,,,,,,,,Q
Tony McDaniel,,,,,,,,,,,,,,,,,,IR
Sterling Moore,,,O,Q,,,,,,,,,,,,,,
Alex Okafor,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
David Parry,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Andrus Peat,,,,,Q,,,,,,,,O,Q,,,,IR
John Phillips,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR
Willie Snead,,,,Q,Q,Q,,,,,,,,,,,,
Zach Strief,,O,O,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Nathan Stupar,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Damian Swann,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kenny Vaccaro,,,,,,,,,O,Q,,,,,IR,IR,IR,IR
Martin Wallace,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Larry Warford,,,,,,,O,O,Q,,,,,,,,,
Marcus Williams,,,,,,,,,,,,O,Q,,,,,
P.J. Williams,,,,,,,,,,,,Q,,,,,,
Jordan Williams-Lambert,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
