Player,09/09vs. TAM,09/16vs. CLE,09/23vs. ATL,09/30vs. NYG,10/08vs. WAS,10/21vs. BAL,10/28vs. MIN,11/04vs. LAR,11/11vs. CIN,11/18vs. PHI,11/22vs. ATL,11/29vs. DAL,12/09vs. TAM,12/17vs. CAR,12/23vs. PIT,12/30vs. CAR,01/13vs. PHI,01/20vs. LAR
Terron Armstead,,,,,,,,,,O,O,O,O,O,,O,,
Jay Bromley,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dez Bryant,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jermon Bushrod,Q,,,,,Q,,,,,,,,,O,O,,
Simmie Cobbs,,,,,,,,,,,,,,,,,IR,IR
Brandon Coleman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marcus Davenport,,,,Q,,,,O,O,O,Q,,,,,,,
Tyeler Davison,,O,O,,,,,,,,,,,,,,,
Travin Dural,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
John Fullington,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ted Ginn Jr.,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,
Michael Hoomanawanui,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Rickey Jefferson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Keith Kirkwood,,,,,,,,,,,,,,,,,,O
Daniel Lasco,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Josh LeRibeus,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tommylee Lewis,,,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,,,,,
Mitchell Loewen,,,,,,,O,,,,,,,,,,,
Cameron Meredith,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Michael Ola,,,,,,,,,,,,,,IR,IR,IR,IR,IR
Andrus Peat,Q,,Q,,,O,,,,,,,,,,,,
Sheldon Rankins,,,,,,,,,,,,,,,,,,IR
Patrick Robinson,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tre'Quan Smith,,,,,,,,,,,Q,,,,,,,
Taylor Stallworth,,,,,,O,,,,,,,,,,,,
Manti Te'o,,,O,O,Q,,,,,,,,,,,,,
John Theus,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cameron Tom,,,,,Q,,,,,,,,,,,,,
Shane Vereen,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Larry Warford,,,,,,Q,,,,,,,,,,O,,
Ben Watson,,,,,,,,,,,,,,,,,,Q
