Player,09/13vs. TAM,09/21vs. LVR,09/27vs. GNB,10/04vs. DET,10/12vs. LAC,10/25vs. CAR,11/01vs. CHI,11/08vs. TAM,11/15vs. SFO,11/22vs. ATL,11/29vs. DEN,12/06vs. ATL,12/13vs. PHI,12/20vs. KAN,12/25vs. MIN,01/03vs. CAR,01/10vs. CHI,01/17vs. TAM
Kwon Alexander,,,,,,,,,,,,,,,,IR,IR,IR
Kiko Alonso,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,,,
Terron Armstead,,,,,,,,,,,C19,C19,C19,,,,,
Johnson Bademosi,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,IR
Drew Brees,,,,,,,,,,IR,IR,IR,IR,IR,,,,
Malcom Brown,,,,,,,,,,,,,O,O,Q,,,
Michael Burton,,,,,,,,,,,,,,,,C19,C19,
Marquez Callaway,,,,,,,O,,,,,O,IR,IR,IR,,,
Will Clapp,,,,,,,,,,,,,,,,,,C19
Jared Cook,,,,O,Q,,,,,,,,,,,,,
Ken Crawley,,,,,,C19,C19,,,,,,,,,,,
Jalen Dalton,//,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marcus Davenport,O,O,Q,O,Q,,,,,,,O,,,,,,
Nick Easton,,,,,,O,O,,,,,,,O,O,,IR,IR
Bennie Fowler,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chauncey Gardner-Johnson,,,,,,,,,,,,,,,,C19,C19,
Blake Gillikin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
J.T. Gray,,,,,,Q,,,,,,,,,,,,
Saquan Hampton,IR,IR,,,,,,,,,,,,,,,,
Chase Hansen,,O,O,Q,,,,IR,,,,,,,,,,
Justin Hardee,,,,,O,,,IR,IR,IR,IR,IR,IR,,,,,
Deonte Harris,,,,,O,,,,,,Q,Q,Q,IR,IR,IR,IR,
Trey Hendrickson,,,Q,,,,,,,,,,,,Q,,O,
Josh Hill,,,,,,,,,,O,,,,,,O,,
Taysom Hill,,,,,,,,,,,,,,,,,,Q
Janoris Jenkins,,,,O,O,,,,,,,O,,,,,,
Alvin Kamara,,,,,,,,,,,,,,,,C19,C19,
Derrick Kelly,,,,,,,,,,,C19,C19,C19,,,,,
Anthony Lanier,IR,IR,,,,,,,,,,,,,,,,
Marshon Lattimore,,,,O,Q,,,,,Q,,,,,,,,
Ty Montgomery,,,Q,IR,IR,IR,IR,IR,,,O,O,,,,,,
Latavius Murray,,,,,,,,,,,,,,,,C19,C19,Q
David Onyemata,,,Q,,,,,,,,,,,,,,,
Andrus Peat,,,,O,Q,,,,,,O,,,,Q,,,
Sheldon Rankins,,,,,Q,,,IR,IR,IR,IR,IR,,,,,,
Patrick Robinson,,,,,,,,,,,,Q,IR,IR,IR,IR,IR,O
Cesar Ruiz,O,,,,,,,,,,,,,,,,,
Emmanuel Sanders,,,,,,C19,C19,C19,,,,,,,,,,
Tre'Quan Smith,,,,,,,,,,,,,,,O,IR,IR,IR
Noah Spence,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
D.J. Swearinger,,,,,,,,,,,,,,,,C19,C19,
Michael Thomas,,O,O,O,Q,O,O,Q,,,,,,IR,IR,IR,IR,
Jason Vander Laan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,IR
Dwayne Washington,,,,,,,,,Q,O,,,,,,C19,C19,
Cole Wick,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marcus Williams,,,,,,,,,,,,,,,O,O,,
P.J. Williams,Q,,,,,,,,,,,,,,,,,
Jameis Winston,,,,,,,,,,,,,,,C19,,,
